onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.020	2.000	remember	0.283	updating	restudy	1	object	face	scene	target	object	competitor	forget	1	6	23	71	171	23	1.000	22
5.803	2.000	don't know	0.301	updating	retprac	1	scene	object	face	don't know	don't know	don't know	don't know	2	6	94	142	294	146	5.792	7
11.302	2.000	remember	0.289	updating	retprac	1	face	object	scene	target	face	target	remember	3	6	72	24	72	124	11.296	12
16.269	2.000	remember	0.370	updating	retprac	1	object	face	scene	target	object	competitor	forget	4	6	22	70	170	22	16.249	6
20.768	2.000	forget	0.567	updating	retprac	1	face	scene	object	competitor	scene	target	remember	5	6	118	46	94	222	20.762	9
29.285	2.000	remember	0.314	updating	restudy	1	object	scene	face	target	object	competitor	forget	6	6	143	95	195	247	29.264	13
35.051	2.000	forget	0.396	updating	retprac	1	object	face	scene	other	scene	other	forget	7	6	24	72	172	24	35.030	11
40.734	2.000	remember	0.305	updating	restudy	1	face	scene	object	target	face	target	remember	8	6	117	45	93	221	40.725	17
45.433	2.000	remember	0.230	updating	restudy	1	object	face	scene	target	object	target	remember	9	6	21	69	169	21	45.415	14
54.599	2.000	remember	0.279	updating	restudy	1	face	object	scene	target	face	target	remember	10	6	71	23	71	123	54.591	23
61.815	2.000	remember	0.519	updating	restudy	1	scene	face	object	target	scene	don't know	don't know	11	6	47	119	271	47	61.802	20
66.582	2.000	forget	0.473	updating	retprac	1	object	scene	face	competitor	scene	don't know	don't know	12	6	144	96	196	248	66.573	1
71.081	2.000	remember	0.317	updating	restudy	1	object	scene	face	target	object	competitor	forget	13	6	141	93	193	245	71.074	16
76.198	2.000	forget	0.425	updating	retprac	1	face	scene	object	competitor	scene	competitor	forget	14	6	120	48	96	224	76.191	5
84.747	2.000	forget	0.372	updating	retprac	1	scene	object	face	other	face	don't know	don't know	15	6	96	144	296	148	84.734	4
89.547	2.000	forget	0.539	updating	retprac	1	scene	face	object	other	object	other	forget	16	6	48	120	272	48	89.537	3
94.547	2.000	don't know	0.340	updating	restudy	1	scene	object	face	don't know	don't know	competitor	forget	17	6	95	143	295	147	94.531	24
100.396	2.000	don't know	0.562	updating	retprac	2	scene	object	face	don't know	don't know	don't know	don't know	18	6	94	142	294	146	100.387	7
105.146	2.000	remember	0.300	updating	restudy	1	face	object	scene	target	face	other	forget	19	6	69	21	69	121	105.137	21
109.929	2.000	remember	0.293	updating	restudy	2	face	scene	object	target	face	target	remember	20	6	117	45	93	221	109.917	17
