onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.008	2.000	no response	n/a	updating	restudy	1	object	scene	face	no response	no response	target	remember	1	1	123	75	175	227	1.000	14
6.308	2.000	don't know	0.819	updating	retprac	1	face	object	scene	don't know	don't know	competitor	forget	2	1	52	4	52	104	6.297	12
11.540	2.000	don't know	0.546	updating	retprac	1	object	face	scene	don't know	don't know	other	forget	3	1	2	50	150	2	11.526	7
17.540	2.000	no response	n/a	updating	restudy	1	face	scene	object	no response	no response	no response	no response	4	1	99	27	75	203	17.523	18
22.756	2.000	no response	n/a	updating	retprac	1	object	scene	face	no response	no response	competitor	forget	5	1	124	76	176	228	22.749	6
29.422	2.000	remember	0.392	updating	restudy	1	object	scene	face	target	object	target	remember	6	1	121	73	173	225	29.402	19
37.138	2.000	forget	0.236	updating	retprac	1	scene	face	object	other	object	other	forget	7	1	26	98	250	26	37.131	11
45.504	2.000	forget	0.702	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	8	1	4	52	152	4	45.481	4
50.703	2.000	remember	0.590	updating	restudy	1	scene	object	face	target	scene	competitor	forget	9	1	73	121	273	125	50.681	20
56.386	2.000	remember	0.491	updating	restudy	1	face	object	scene	target	face	target	remember	10	1	51	3	51	103	56.376	22
62.502	2.000	no response	n/a	updating	retprac	1	object	scene	face	no response	no response	target	remember	11	1	122	74	174	226	62.493	9
67.118	2.000	don't know	0.830	updating	retprac	1	scene	object	face	don't know	don't know	target	remember	12	1	76	124	276	128	67.096	10
77.584	2.000	no response	n/a	updating	retprac	1	face	scene	object	no response	no response	target	remember	13	1	100	28	76	204	77.567	5
82.500	2.000	remember	0.376	updating	restudy	1	scene	face	object	target	scene	target	remember	14	1	25	97	249	25	82.484	13
87.383	2.000	no response	n/a	updating	restudy	1	object	face	scene	no response	no response	competitor	forget	15	1	3	51	151	3	87.361	23
94.615	2.000	don't know	0.916	updating	restudy	1	face	scene	object	don't know	don't know	competitor	forget	16	1	97	25	73	201	94.602	15
100.048	2.000	forget	0.931	updating	retprac	2	face	object	scene	other	scene	competitor	forget	17	1	52	4	52	104	100.027	12
