onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.014	2.000	remember	0.337	updating	restudy	1	face	object	scene	target	face	other	forget	1	6	69	21	69	121	1.000	22
5.814	2.000	forget	0.497	updating	retprac	1	face	object	scene	competitor	object	competitor	forget	2	6	72	24	72	124	5.792	7
11.313	2.000	don't know	0.334	updating	retprac	1	scene	object	face	don't know	don't know	target	remember	3	6	96	144	296	148	11.296	12
16.263	2.000	forget	0.336	updating	retprac	1	scene	face	object	competitor	face	target	remember	4	6	48	120	272	48	16.249	6
20.779	2.000	don't know	0.371	updating	retprac	1	object	face	scene	don't know	don't know	target	remember	5	6	24	72	172	24	20.762	9
29.278	2.000	remember	0.400	updating	restudy	1	object	scene	face	target	object	no response	no response	6	6	141	93	193	245	29.264	13
35.044	2.000	forget	0.353	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	7	6	22	70	170	22	35.030	11
40.744	2.000	remember	0.422	updating	restudy	1	scene	face	object	target	scene	target	remember	8	6	45	117	269	45	40.725	17
45.427	2.000	remember	0.475	updating	restudy	1	object	scene	face	target	object	competitor	forget	9	6	143	95	195	247	45.415	14
54.609	2.000	remember	0.524	updating	restudy	1	object	face	scene	target	object	target	remember	10	6	23	71	171	23	54.591	23
61.825	2.000	remember	0.500	updating	restudy	1	scene	object	face	target	scene	target	remember	11	6	93	141	293	145	61.802	20
66.591	2.000	remember	0.533	updating	retprac	1	object	scene	face	target	object	target	remember	12	6	142	94	194	246	66.573	1
71.091	2.000	remember	0.330	updating	restudy	1	face	scene	object	target	face	competitor	forget	13	6	117	45	93	221	71.074	16
76.207	2.000	forget	0.477	updating	retprac	1	face	object	scene	competitor	object	competitor	forget	14	6	70	22	70	122	76.191	5
84.756	2.000	forget	0.920	updating	retprac	1	object	scene	face	competitor	scene	other	forget	15	6	144	96	196	248	84.734	4
89.555	2.000	remember	0.376	updating	retprac	1	face	scene	object	target	face	target	remember	16	6	118	46	94	222	89.537	3
94.538	2.000	remember	0.409	updating	restudy	1	scene	object	face	target	scene	other	forget	17	6	95	143	295	147	94.531	24
100.404	2.000	remember	0.359	updating	retprac	2	face	object	scene	target	face	competitor	forget	18	6	72	24	72	124	100.387	7
105.154	2.000	remember	0.337	updating	restudy	1	face	scene	object	target	face	competitor	forget	19	6	119	47	95	223	105.137	21
109.937	2.000	remember	0.338	updating	restudy	2	scene	face	object	target	scene	target	remember	20	6	45	117	269	45	109.917	17
115.253	2.000	forget	0.415	updating	retprac	1	scene	object	face	competitor	object	target	remember	21	6	94	142	294	146	115.245	8
119.836	2.000	remember	0.383	updating	retprac	1	scene	face	object	target	scene	target	remember	22	6	46	118	270	46	119.825	2
124.869	2.000	remember	0.510	updating	restudy	2	face	object	scene	target	face	other	forget	23	6	69	21	69	121	124.852	22
130.884	2.000	remember	0.277	updating	restudy	2	scene	object	face	target	scene	target	remember	24	6	93	141	293	145	130.869	20
138.567	2.000	forget	0.394	updating	retprac	2	scene	face	object	other	object	target	remember	25	6	48	120	272	48	138.559	6
143.550	2.000	remember	0.347	updating	restudy	2	face	scene	object	target	face	competitor	forget	26	6	117	45	93	221	143.538	16
149.799	2.000	forget	0.402	updating	retprac	2	face	object	scene	competitor	object	competitor	forget	27	6	70	22	70	122	149.784	5
155.082	2.000	remember	0.487	updating	restudy	2	object	scene	face	target	object	no response	no response	28	6	141	93	193	245	155.069	13
161.098	2.000	remember	0.528	updating	restudy	2	scene	object	face	target	scene	other	forget	29	6	95	143	295	147	161.086	24
166.631	2.000	remember	0.425	updating	restudy	1	face	object	scene	target	face	target	remember	30	6	71	23	71	123	166.610	15
171.331	2.000	remember	0.558	updating	restudy	1	scene	face	object	target	scene	competitor	forget	31	6	47	119	271	47	171.318	18
177.063	2.000	remember	0.649	updating	retprac	2	object	scene	face	target	object	target	remember	32	6	142	94	194	246	177.043	1
183.679	2.000	remember	0.480	updating	restudy	1	object	face	scene	target	object	target	remember	33	6	21	69	169	21	183.660	19
189.762	2.000	forget	0.389	updating	retprac	2	object	scene	face	competitor	scene	other	forget	34	6	144	96	196	248	189.756	4
195.061	2.000	forget	0.403	updating	retprac	1	face	scene	object	other	object	target	remember	35	6	120	48	96	224	195.051	10
203.394	2.000	remember	0.405	updating	retprac	2	scene	object	face	target	scene	target	remember	36	6	96	144	296	148	203.375	12
212.060	2.000	remember	0.523	updating	retprac	2	object	face	scene	target	object	competitor	forget	37	6	22	70	170	22	212.045	11
220.542	2.000	remember	0.368	updating	restudy	2	object	face	scene	target	object	target	remember	38	6	23	71	171	23	220.533	23
225.458	2.000	remember	0.613	updating	retprac	3	scene	face	object	target	scene	target	remember	39	6	48	120	272	48	225.451	6
230.074	2.000	remember	0.763	updating	restudy	3	object	scene	face	target	object	no response	no response	40	6	141	93	193	245	230.066	13
234.941	2.000	no response	n/a	updating	retprac	2	object	face	scene	no response	no response	target	remember	41	6	24	72	172	24	234.928	9
239.507	2.000	remember	0.314	updating	restudy	2	object	scene	face	target	object	competitor	forget	42	6	143	95	195	247	239.483	14
244.773	2.000	remember	0.384	updating	retprac	2	scene	object	face	target	scene	target	remember	43	6	94	142	294	146	244.759	8
254.839	2.000	remember	0.694	updating	restudy	2	face	scene	object	target	face	competitor	forget	44	6	119	47	95	223	254.816	21
260.105	2.000	remember	0.636	updating	restudy	3	scene	object	face	target	scene	target	remember	45	6	93	141	293	145	260.091	20
265.504	2.000	remember	0.468	updating	restudy	3	scene	object	face	target	scene	other	forget	46	6	95	143	295	147	265.483	24
270.654	2.000	remember	0.255	updating	retprac	2	face	scene	object	target	face	target	remember	47	6	118	46	94	222	270.646	3
275.553	2.000	forget	0.419	updating	retprac	3	face	object	scene	competitor	object	competitor	forget	48	6	70	22	70	122	275.530	5
280.703	2.000	remember	0.373	updating	restudy	2	scene	face	object	target	scene	competitor	forget	49	6	47	119	271	47	280.686	18
285.635	2.000	forget	0.312	updating	retprac	2	scene	face	object	other	object	target	remember	50	6	46	118	270	46	285.623	2
291.485	2.000	remember	0.358	updating	retprac	3	object	scene	face	target	object	target	remember	51	6	142	94	194	246	291.460	1
300.217	2.000	remember	0.402	updating	restudy	2	face	object	scene	target	face	target	remember	52	6	71	23	71	123	300.203	15
307.067	2.000	remember	0.288	updating	retprac	3	face	object	scene	target	face	competitor	forget	53	6	72	24	72	124	307.049	7
