onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.013	2.000	forget	0.338	updating	retprac	1	face	object	scene	other	scene	competitor	forget	1	5	67	19	67	119	1.000	2
5.662	2.000	forget	0.385	updating	retprac	1	face	scene	object	other	object	no response	no response	2	5	115	43	91	219	5.649	5
11.079	2.000	remember	0.344	updating	restudy	1	face	scene	object	target	face	target	remember	3	5	114	42	90	218	11.063	13
15.961	2.000	remember	0.365	updating	retprac	1	scene	object	face	target	scene	other	forget	4	5	89	137	289	141	15.948	8
22.611	2.000	remember	0.340	updating	restudy	1	face	scene	object	target	face	other	forget	5	5	116	44	92	220	22.600	24
32.260	2.000	forget	0.426	updating	retprac	1	object	face	scene	competitor	face	other	forget	6	5	17	65	165	17	32.243	9
40.742	2.000	forget	0.399	updating	retprac	1	scene	object	face	other	face	target	remember	7	5	91	139	291	143	40.727	1
49.891	2.000	remember	0.419	updating	restudy	1	object	scene	face	target	object	no response	no response	8	5	140	92	192	244	49.876	23
55.074	2.000	remember	0.651	updating	restudy	1	object	face	scene	target	object	target	remember	9	5	20	68	168	20	55.051	17
60.074	2.000	forget	0.443	updating	retprac	1	object	scene	face	competitor	scene	competitor	forget	10	5	137	89	189	241	60.057	3
69.756	2.000	remember	0.288	updating	restudy	1	object	scene	face	target	object	competitor	forget	11	5	138	90	190	242	69.745	19
74.339	2.000	remember	0.697	updating	retprac	1	face	scene	object	target	face	competitor	forget	12	5	113	41	89	217	74.317	10
84.271	2.000	remember	0.245	updating	restudy	1	scene	object	face	target	scene	competitor	forget	13	5	92	140	292	144	84.250	22
88.854	2.000	remember	0.382	updating	restudy	1	face	object	scene	target	face	other	forget	14	5	68	20	68	120	88.837	21
94.220	2.000	forget	0.319	updating	retprac	2	face	scene	object	competitor	scene	no response	no response	15	5	115	43	91	219	94.197	5
101.019	2.000	remember	0.336	updating	restudy	1	scene	face	object	target	scene	competitor	forget	16	5	42	114	266	42	101.011	15
107.802	2.000	forget	0.361	updating	retprac	2	scene	object	face	other	face	other	forget	17	5	89	137	289	141	107.794	8
112.518	2.000	remember	0.317	updating	restudy	2	face	scene	object	target	face	target	remember	18	5	114	42	90	218	112.506	13
117.568	2.000	no response	n/a	updating	retprac	1	scene	face	object	no response	no response	competitor	forget	19	5	41	113	265	41	117.545	7
122.851	2.000	remember	0.280	updating	restudy	1	scene	face	object	target	scene	other	forget	20	5	44	116	268	44	122.835	20
127.650	2.000	remember	0.400	updating	retprac	1	object	scene	face	target	object	other	forget	21	5	139	91	191	243	127.641	6
136.832	2.000	remember	0.329	updating	restudy	1	object	face	scene	target	object	other	forget	22	5	18	66	166	18	136.817	18
141.565	2.000	remember	0.500	updating	restudy	1	face	object	scene	target	face	competitor	forget	23	5	66	18	66	118	141.547	16
147.098	2.000	remember	0.767	updating	restudy	2	object	scene	face	target	object	competitor	forget	24	5	138	90	190	242	147.078	19
152.714	2.000	remember	0.303	updating	restudy	2	face	object	scene	target	face	other	forget	25	5	68	20	68	120	152.702	21
157.230	2.000	remember	0.298	updating	restudy	1	scene	object	face	target	scene	no response	no response	26	5	90	138	290	142	157.220	14
162.230	2.000	remember	0.331	updating	restudy	2	object	scene	face	target	object	no response	no response	27	5	140	92	192	244	162.211	23
167.213	2.000	remember	0.300	updating	restudy	2	object	face	scene	target	object	target	remember	28	5	20	68	168	20	167.200	17
171.729	2.000	no response	n/a	updating	retprac	2	face	scene	object	no response	no response	competitor	forget	29	5	113	41	89	217	171.711	10
176.345	2.000	forget	0.343	updating	retprac	1	scene	face	object	competitor	face	no response	no response	30	5	43	115	267	43	176.337	11
181.544	2.000	remember	0.239	updating	retprac	2	object	face	scene	target	object	other	forget	31	5	17	65	165	17	181.525	9
186.294	2.000	remember	0.306	updating	retprac	1	face	object	scene	target	face	target	remember	32	5	65	17	65	117	186.280	4
192.260	2.000	remember	0.283	updating	retprac	2	object	scene	face	target	object	competitor	forget	33	5	137	89	189	241	192.239	3
198.126	2.000	forget	0.129	updating	restudy	2	scene	object	face	competitor	object	competitor	forget	34	5	92	140	292	144	198.108	22
202.726	2.000	forget	0.329	updating	retprac	2	face	object	scene	other	scene	competitor	forget	35	5	67	19	67	119	202.705	2
207.225	2.000	remember	0.421	updating	retprac	2	scene	object	face	target	scene	target	remember	36	5	91	139	291	143	207.209	1
215.291	2.000	remember	0.323	updating	restudy	2	face	scene	object	target	face	other	forget	37	5	116	44	92	220	215.277	24
223.507	2.000	remember	0.299	updating	retprac	3	scene	object	face	target	scene	other	forget	38	5	89	137	289	141	223.497	8
228.340	2.000	remember	0.298	updating	restudy	3	object	scene	face	target	object	competitor	forget	39	5	138	90	190	242	228.322	19
232.923	2.000	no response	n/a	updating	retprac	1	object	face	scene	no response	no response	target	remember	40	5	19	67	167	19	232.913	12
238.089	2.000	remember	0.309	updating	restudy	2	scene	object	face	target	scene	no response	no response	41	5	90	138	290	142	238.075	14
245.921	2.000	remember	0.252	updating	restudy	2	scene	face	object	target	scene	competitor	forget	42	5	42	114	266	42	245.904	15
253.287	2.000	remember	0.558	updating	retprac	3	face	scene	object	target	face	no response	no response	43	5	115	43	91	219	253.265	5
258.237	2.000	forget	0.448	updating	retprac	2	object	scene	face	competitor	scene	other	forget	44	5	139	91	191	243	258.223	6
264.569	2.000	forget	0.307	updating	retprac	2	scene	face	object	competitor	face	competitor	forget	45	5	41	113	265	41	264.563	7
269.785	2.000	remember	0.283	updating	retprac	3	object	face	scene	target	object	other	forget	46	5	17	65	165	17	269.780	9
274.385	2.000	remember	0.379	updating	restudy	2	scene	face	object	target	scene	other	forget	47	5	44	116	268	44	274.376	20
279.201	2.000	remember	0.322	updating	restudy	2	face	object	scene	target	face	competitor	forget	48	5	66	18	66	118	279.186	16
284.184	2.000	forget	0.411	updating	retprac	3	face	scene	object	other	object	competitor	forget	49	5	113	41	89	217	284.162	10
289.034	2.000	remember	0.394	updating	restudy	2	object	face	scene	target	object	other	forget	50	5	18	66	166	18	289.014	18
294.483	2.000	remember	0.360	updating	retprac	2	scene	face	object	target	scene	no response	no response	51	5	43	115	267	43	294.464	11
304.732	2.000	remember	0.017	updating	restudy	3	face	scene	object	target	face	target	remember	52	5	114	42	90	218	304.708	13
309.298	2.000	remember	0.312	updating	restudy	3	object	scene	face	target	object	no response	no response	53	5	140	92	192	244	309.282	23
314.131	2.000	remember	0.351	updating	restudy	3	face	object	scene	target	face	other	forget	54	5	68	20	68	120	314.110	21
320.680	2.000	remember	0.402	updating	restudy	3	face	scene	object	target	face	other	forget	55	5	116	44	92	220	320.670	24
328.113	2.000	forget	0.849	updating	retprac	2	object	face	scene	competitor	face	target	remember	56	5	19	67	167	19	328.094	12
333.846	2.000	remember	0.324	updating	retprac	2	face	object	scene	target	face	target	remember	57	5	65	17	65	117	333.828	4
339.045	2.000	remember	0.380	updating	retprac	3	object	scene	face	target	object	competitor	forget	58	5	137	89	189	241	339.024	3
346.978	2.000	remember	0.703	updating	retprac	3	object	scene	face	target	object	other	forget	59	5	139	91	191	243	346.959	6
354.460	2.000	remember	0.468	updating	restudy	3	object	face	scene	target	object	target	remember	60	5	20	68	168	20	354.450	17
359.326	2.000	remember	0.762	updating	retprac	3	scene	object	face	target	scene	target	remember	61	5	91	139	291	143	359.305	1
364.659	2.000	remember	0.333	updating	restudy	3	face	object	scene	target	face	competitor	forget	62	5	66	18	66	118	364.648	16
369.425	2.000	remember	0.294	updating	retprac	3	scene	face	object	target	scene	no response	no response	63	5	43	115	267	43	369.408	11
377.125	2.000	remember	0.395	updating	retprac	3	face	object	scene	target	face	competitor	forget	64	5	67	19	67	119	377.103	2
383.407	2.000	remember	0.225	updating	restudy	3	scene	face	object	target	scene	competitor	forget	65	5	42	114	266	42	383.395	15
388.390	2.000	no response	n/a	updating	retprac	3	scene	face	object	no response	no response	competitor	forget	66	5	41	113	265	41	388.368	7
393.706	2.000	remember	0.269	updating	restudy	3	scene	object	face	target	scene	competitor	forget	67	5	92	140	292	144	393.689	22
398.856	2.000	remember	0.271	updating	restudy	3	scene	object	face	target	scene	no response	no response	68	5	90	138	290	142	398.842	14
407.021	2.000	remember	0.289	updating	restudy	3	scene	face	object	target	scene	other	forget	69	5	44	116	268	44	407.001	20
412.854	2.000	remember	0.012	updating	retprac	3	object	face	scene	target	object	target	remember	70	5	19	67	167	19	412.838	12
417.404	2.000	forget	0.738	updating	retprac	3	face	object	scene	competitor	object	target	remember	71	5	65	17	65	117	417.381	4
422.137	2.000	remember	0.285	updating	restudy	3	object	face	scene	target	object	other	forget	72	5	18	66	166	18	422.128	18
