onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.012	2.000	object	3.268	localizer	weak related	1	3	1	109	137	2.0	n/a
6.028	2.000	object	n/a	localizer	no response	2	3	1	110	138	6.0	n/a
10.011	2.000	object	0.000	localizer	weak unrelated	3	3	1	111	139	10.0	n/a
14.011	2.000	object	1.261	localizer	weak related	4	3	1	112	140	14.0	n/a
18.010	2.000	object	2.014	localizer	weak unrelated	5	3	1	113	141	18.0	n/a
22.010	2.000	object	2.125	localizer	weak related	6	3	1	114	142	22.0	n/a
26.048	0.914	correct	0.914	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
27.479	0.396	correct	0.396	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
28.394	0.401	correct	0.401	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
29.310	0.589	correct	0.589	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
30.410	0.449	correct	0.449	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
31.377	0.498	correct	0.498	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
32.393	0.409	correct	0.409	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
33.310	0.501	correct	0.501	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
34.326	0.396	correct	0.396	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
35.243	0.456	correct	0.456	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
36.210	0.333	incorrect	0.333	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
38.008	2.000	face	3.446	localizer	weak related	7	3	2	37	37	38.0	n/a
42.025	2.000	face	2.254	localizer	weak related	8	3	2	38	38	42.0	n/a
46.024	2.000	face	1.862	localizer	weak related	9	3	2	39	39	46.0	n/a
50.007	2.000	face	1.775	localizer	weak related	10	3	2	40	40	50.0	n/a
54.007	2.000	face	1.311	localizer	weak unrelated	11	3	2	41	41	54.0	n/a
58.023	2.000	face	1.639	localizer	weak unrelated	12	3	2	42	42	58.0	n/a
62.062	0.827	correct	0.827	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
63.408	0.466	correct	0.466	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
64.390	0.411	correct	0.411	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
65.324	0.518	correct	0.518	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
66.357	0.525	correct	0.525	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
67.390	0.587	correct	0.587	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
68.490	0.489	correct	0.489	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
69.490	0.416	correct	0.416	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
70.423	0.402	correct	0.402	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
71.340	0.550	correct	0.550	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
72.406	0.150	incorrect	0.150	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
74.022	2.000	scene	2.207	localizer	weak unrelated	13	3	3	181	237	74.0	n/a
78.021	2.000	scene	1.712	localizer	weak related	14	3	3	182	238	78.0	n/a
82.021	2.000	scene	2.264	localizer	strong related	15	3	3	183	239	82.0	n/a
86.021	2.000	scene	2.137	localizer	weak related	16	3	3	184	240	86.0	n/a
90.020	2.000	scene	2.760	localizer	weak related	17	3	3	185	241	90.0	n/a
94.020	2.000	scene	2.553	localizer	weak related	18	3	3	186	242	94.0	n/a
98.059	0.917	correct	0.917	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
99.488	0.409	correct	0.409	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
