onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.018	2.000	remember	0.525	updating	retprac	1	object	scene	face	target	object	target	remember	1	5	137	89	189	241	1.000	2
5.667	2.000	remember	0.364	updating	retprac	1	object	face	scene	target	object	target	remember	2	5	19	67	167	19	5.649	5
11.084	2.000	remember	0.299	updating	restudy	1	face	object	scene	target	face	competitor	forget	3	5	68	20	68	120	11.063	13
15.966	2.000	forget	0.432	updating	retprac	1	face	scene	object	competitor	scene	target	remember	4	5	115	43	91	219	15.948	8
22.616	2.000	remember	0.335	updating	restudy	1	scene	face	object	target	scene	other	forget	5	5	42	114	266	42	22.600	24
32.265	2.000	forget	0.621	updating	retprac	1	face	object	scene	other	scene	no response	no response	6	5	65	17	65	117	32.243	9
40.748	2.000	remember	0.746	updating	retprac	1	face	scene	object	target	face	competitor	forget	7	5	113	41	89	217	40.727	1
49.897	2.000	remember	0.453	updating	restudy	1	face	scene	object	target	face	target	remember	8	5	116	44	92	220	49.876	23
55.063	2.000	remember	0.335	updating	restudy	1	scene	object	face	target	scene	other	forget	9	5	92	140	292	144	55.051	17
60.079	2.000	forget	0.750	updating	retprac	1	object	scene	face	competitor	scene	competitor	forget	10	5	139	91	191	243	60.057	3
69.762	2.000	remember	0.276	updating	restudy	1	object	scene	face	target	object	competitor	forget	11	5	138	90	190	242	69.745	19
74.328	2.000	forget	0.429	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	12	5	41	113	265	41	74.317	10
84.260	2.000	remember	0.320	updating	restudy	1	face	scene	object	target	face	target	remember	13	5	114	42	90	218	84.250	22
88.860	2.000	remember	0.313	updating	restudy	1	scene	object	face	target	scene	competitor	forget	14	5	90	138	290	142	88.837	21
94.209	2.000	remember	0.851	updating	retprac	2	object	face	scene	target	object	target	remember	15	5	19	67	167	19	94.197	5
101.026	2.000	remember	0.299	updating	restudy	1	object	face	scene	target	object	target	remember	16	5	20	68	168	20	101.011	15
107.808	2.000	remember	0.284	updating	retprac	2	face	scene	object	target	face	target	remember	17	5	115	43	91	219	107.794	8
112.524	2.000	remember	0.663	updating	restudy	2	face	object	scene	target	face	competitor	forget	18	5	68	20	68	120	112.506	13
117.557	2.000	remember	0.710	updating	retprac	1	object	face	scene	target	object	target	remember	19	5	17	65	165	17	117.545	7
122.857	2.000	remember	0.291	updating	restudy	1	object	face	scene	target	object	target	remember	20	5	18	66	166	18	122.835	20
127.657	2.000	forget	0.555	updating	retprac	1	scene	object	face	competitor	object	target	remember	21	5	91	139	291	143	127.641	6
136.839	2.000	remember	0.373	updating	restudy	1	scene	face	object	target	scene	other	forget	22	5	44	116	268	44	136.817	18
141.555	2.000	remember	0.296	updating	restudy	1	face	object	scene	target	face	competitor	forget	23	5	66	18	66	118	141.547	16
147.088	2.000	remember	0.379	updating	restudy	2	object	scene	face	target	object	competitor	forget	24	5	138	90	190	242	147.078	19
152.721	2.000	remember	0.298	updating	restudy	2	scene	object	face	target	scene	competitor	forget	25	5	90	138	290	142	152.702	21
157.237	2.000	remember	0.277	updating	restudy	1	object	scene	face	target	object	competitor	forget	26	5	140	92	192	244	157.220	14
