onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.019	2.000	remember	0.269	updating	retprac	1	object	scene	face	target	object	target	remember	1	3	132	84	184	236	1.000	7
6.768	2.000	forget	0.320	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	2	3	34	106	258	34	6.755	10
11.284	2.000	forget	0.347	updating	retprac	1	face	scene	object	other	object	target	remember	3	3	108	36	84	212	11.276	1
16.317	2.000	forget	0.370	updating	retprac	1	face	object	scene	competitor	object	competitor	forget	4	3	60	12	60	112	16.303	2
21.533	2.000	remember	0.313	updating	restudy	1	face	object	scene	target	face	other	forget	5	3	59	11	59	111	21.515	17
27.799	2.000	remember	0.415	updating	restudy	1	scene	face	object	target	scene	target	remember	6	3	35	107	259	35	27.777	24
36.549	2.000	forget	0.377	updating	retprac	1	scene	object	face	other	face	don't know	don't know	7	3	82	130	282	134	36.539	3
41.515	2.000	remember	0.283	updating	restudy	1	scene	object	face	target	scene	competitor	forget	8	3	81	129	281	133	41.508	21
46.081	2.000	remember	0.413	updating	restudy	1	face	object	scene	target	face	target	remember	9	3	57	9	57	109	46.064	15
50.614	2.000	forget	0.672	updating	retprac	1	object	face	scene	competitor	face	other	forget	10	3	10	58	158	10	50.598	8
56.180	2.000	forget	0.297	updating	retprac	1	object	scene	face	other	face	target	remember	11	3	130	82	182	234	56.167	6
63.746	2.000	remember	0.363	updating	retprac	1	scene	object	face	target	scene	target	remember	12	3	84	132	284	136	63.724	11
68.462	2.000	remember	0.335	updating	restudy	1	scene	object	face	target	scene	competitor	forget	13	3	83	131	283	135	68.447	18
73.979	2.000	remember	0.266	updating	restudy	1	scene	face	object	target	scene	competitor	forget	14	3	33	105	257	33	73.961	20
79.011	2.000	remember	0.385	updating	restudy	1	object	scene	face	target	object	other	forget	15	3	131	83	183	235	78.992	14
83.711	2.000	remember	0.430	updating	restudy	1	object	face	scene	target	object	competitor	forget	16	3	9	57	157	9	83.701	13
88.711	2.000	forget	0.358	updating	retprac	1	object	face	scene	other	scene	competitor	forget	17	3	12	60	160	12	88.703	12
94.760	2.000	remember	0.212	updating	restudy	1	object	face	scene	target	object	target	remember	18	3	11	59	159	11	94.747	22
104.709	2.000	remember	0.279	updating	retprac	1	face	object	scene	target	face	target	remember	19	3	58	10	58	110	104.693	9
109.692	2.000	remember	0.288	updating	restudy	1	face	scene	object	target	face	competitor	forget	20	3	107	35	83	211	109.674	19
