onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.019	2.000	object	3.277	localizer	weak related	1	1	1	73	101	2.0	n/a
6.019	2.000	object	2.573	localizer	weak unrelated	2	1	1	74	102	6.0	n/a
10.018	2.000	object	2.413	localizer	strong unrelated	3	1	1	75	103	10.0	n/a
14.018	2.000	object	2.661	localizer	strong unrelated	4	1	1	76	104	14.0	n/a
18.018	2.000	object	3.358	localizer	weak unrelated	5	1	1	77	105	18.0	n/a
22.017	2.000	object	2.998	localizer	weak related	6	1	1	78	106	22.0	n/a
26.058	1.506	correct	1.506	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
28.086	0.989	correct	0.989	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
29.585	0.475	correct	0.475	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
30.568	0.444	correct	0.444	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
31.534	0.429	correct	0.429	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
32.484	0.471	correct	0.471	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
33.468	0.400	correct	0.400	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
34.384	0.371	correct	0.371	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
35.268	0.376	correct	0.376	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
36.167	0.356	incorrect	0.356	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
37.034	0.100	incorrect	0.100	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
38.016	2.000	face	2.103	localizer	weak related	7	1	2	1	1	38.0	n/a
42.016	2.000	face	2.255	localizer	weak related	8	1	2	2	2	42.0	n/a
46.016	2.000	face	1.343	localizer	weak related	9	1	2	3	3	46.0	n/a
50.016	2.000	face	2.144	localizer	weak related	10	1	2	4	4	50.0	n/a
54.015	2.000	face	0.896	localizer	weak related	11	1	2	5	5	54.0	n/a
58.015	2.000	face	1.048	localizer	weak related	12	1	2	6	6	58.0	n/a
62.054	1.389	correct	1.389	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
63.966	0.430	correct	0.430	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
64.915	0.479	correct	0.479	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
65.915	0.544	correct	0.544	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
66.982	0.518	correct	0.518	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
68.015	0.596	correct	0.596	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
69.132	0.607	correct	0.607	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
70.248	0.483	correct	0.483	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
71.248	0.611	correct	0.611	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
72.382	0.166	incorrect	0.166	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
74.014	2.000	scene	2.529	localizer	weak related	13	1	3	145	201	74.0	n/a
78.014	2.000	scene	2.953	localizer	weak related	14	1	3	146	202	78.0	n/a
82.013	2.000	scene	2.177	localizer	weak related	15	1	3	147	203	82.0	n/a
