onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.030	4.000	strong unrelated	2.653	learn a-b	restudy	face	scene	object	1	111	111	87	215	2.000
6.528	4.000	no response	n/a	learn a-b	test	face	object	scene	2	64	64	64	116	6.500
11.027	4.000	strong related	2.241	learn a-b	restudy	scene	face	object	3	31	31	255	31	11.000
15.525	4.000	weak related	2.775	learn a-b	restudy	object	face	scene	4	17	17	165	17	15.500
20.024	4.000	weak related	3.520	learn a-b	test	scene	face	object	5	46	46	270	46	20.000
24.523	4.000	strong related	3.447	learn a-b	restudy	face	object	scene	6	69	69	69	121	24.500
29.038	4.000	weak unrelated	3.774	learn a-b	restudy	object	face	scene	7	5	5	153	5	29.000
33.537	4.000	no response	n/a	learn a-b	restudy	scene	face	object	8	47	47	271	47	33.500
38.035	4.000	weak related	0.121	learn a-b	test	scene	object	face	9	78	78	278	130	38.000
42.534	4.000	strong unrelated	2.229	learn a-b	test	scene	face	object	10	48	48	272	48	42.500
47.033	4.000	weak unrelated	2.683	learn a-b	test	face	object	scene	11	54	54	54	106	47.000
51.531	4.000	weak unrelated	3.305	learn a-b	restudy	object	scene	face	12	135	135	187	239	51.500
56.030	4.000	strong related	3.309	learn a-b	restudy	scene	object	face	13	93	93	293	145	56.000
60.529	4.000	weak unrelated	2.915	learn a-b	restudy	object	scene	face	14	139	139	191	243	60.500
65.027	4.000	weak unrelated	2.663	learn a-b	test	object	scene	face	15	136	136	188	240	65.000
69.526	4.000	no response	n/a	learn a-b	test	face	object	scene	16	66	66	66	118	69.500
74.041	4.000	weak unrelated	2.961	learn a-b	restudy	face	scene	object	17	107	107	83	211	74.000
78.523	4.000	weak related	2.598	learn a-b	restudy	face	object	scene	18	65	65	65	117	78.500
83.038	4.000	strong related	2.317	learn a-b	restudy	object	face	scene	19	3	3	151	3	83.000
87.537	4.000	strong related	2.871	learn a-b	restudy	scene	object	face	20	81	81	281	133	87.500
92.036	4.000	strong related	2.717	learn a-b	test	object	face	scene	21	14	14	162	14	92.000
96.534	4.000	weak related	2.614	learn a-b	test	object	face	scene	22	24	24	172	24	96.500
101.033	4.000	weak unrelated	3.685	learn a-b	restudy	object	scene	face	23	137	137	189	241	101.000
105.532	4.000	strong unrelated	2.100	learn a-b	restudy	object	scene	face	24	125	125	177	229	105.500
110.030	4.000	weak related	2.503	learn a-b	restudy	object	scene	face	25	127	127	179	231	110.000
114.529	4.000	strong unrelated	1.952	learn a-b	restudy	object	face	scene	26	7	7	155	7	114.500
119.028	4.000	strong unrelated	2.279	learn a-b	restudy	face	object	scene	27	71	71	71	123	119.000
123.526	4.000	strong unrelated	2.616	learn a-b	test	scene	face	object	28	34	34	258	34	123.500
128.025	4.000	strong unrelated	3.009	learn a-b	test	object	scene	face	29	126	126	178	230	128.000
132.523	4.000	weak related	3.466	learn a-b	restudy	scene	face	object	30	29	29	253	29	132.500
137.039	4.000	strong unrelated	2.761	learn a-b	restudy	object	face	scene	31	15	15	163	15	137.000
141.537	4.000	strong unrelated	2.336	learn a-b	restudy	face	scene	object	32	113	113	89	217	141.500
146.036	4.000	strong unrelated	2.938	learn a-b	test	face	object	scene	33	56	56	56	108	146.000
150.535	4.000	weak unrelated	2.870	learn a-b	test	face	object	scene	34	70	70	70	122	150.500
155.033	4.000	weak related	2.463	learn a-b	test	object	face	scene	35	4	4	152	4	155.000
159.532	4.000	weak related	2.557	learn a-b	test	face	scene	object	36	98	98	74	202	159.500
164.031	4.000	weak related	2.812	learn a-b	restudy	scene	face	object	37	37	37	261	37	164.000
168.529	4.000	strong unrelated	3.058	learn a-b	test	face	scene	object	38	120	120	96	224	168.500
173.028	4.000	weak unrelated	2.962	learn a-b	test	scene	object	face	39	90	90	290	142	173.000
177.526	4.000	weak unrelated	2.652	learn a-b	test	scene	object	face	40	76	76	276	128	177.500
182.025	4.000	strong unrelated	2.562	learn a-b	restudy	face	scene	object	41	103	103	79	207	182.000
186.524	4.000	weak related	3.099	learn a-b	restudy	scene	face	object	42	27	27	251	27	186.500
191.039	4.000	strong unrelated	2.854	learn a-b	restudy	object	face	scene	43	1	1	149	1	191.000
195.538	4.000	weak unrelated	3.063	learn a-b	restudy	face	scene	object	44	109	109	85	213	195.500
200.036	4.000	weak unrelated	2.931	learn a-b	restudy	face	object	scene	45	67	67	67	119	200.000
204.535	4.000	strong related	2.651	learn a-b	test	scene	face	object	46	26	26	250	26	204.500
209.050	4.000	weak unrelated	2.502	learn a-b	restudy	object	face	scene	47	21	21	169	21	209.000
213.532	4.000	strong unrelated	1.517	learn a-b	test	object	face	scene	48	12	12	160	12	213.500
218.031	4.000	strong unrelated	3.278	learn a-b	restudy	face	object	scene	49	63	63	63	115	218.000
