onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
1.519	4.000	no response	n/a	learn a-c	test	scene	object	face	1	89	137	289	141	1.500
6.018	4.000	strong unrelated	0.000	learn a-c	test	scene	object	face	2	93	141	293	145	6.000
10.516	4.000	no response	n/a	learn a-c	restudy	scene	face	object	3	42	114	266	42	10.500
15.015	4.000	weak related	2.906	learn a-c	test	object	scene	face	4	123	75	175	227	15.000
19.514	4.000	weak related	2.027	learn a-c	test	scene	face	object	5	27	99	251	27	19.500
24.013	4.000	weak unrelated	2.774	learn a-c	restudy	scene	face	object	6	40	112	264	40	24.000
28.512	4.000	no response	n/a	learn a-c	restudy	face	scene	object	7	118	46	94	222	28.500
33.011	4.000	no response	n/a	learn a-c	restudy	scene	object	face	8	92	140	292	144	33.000
37.510	4.000	weak unrelated	0.069	learn a-c	restudy	scene	face	object	9	46	118	270	46	37.500
42.009	4.000	weak unrelated	2.624	learn a-c	test	face	scene	object	10	99	27	75	203	42.000
46.524	4.000	weak related	2.647	learn a-c	restudy	scene	face	object	11	26	98	250	26	46.500
51.023	4.000	weak related	3.875	learn a-c	restudy	scene	object	face	12	76	124	276	128	51.000
55.522	4.000	weak unrelated	2.960	learn a-c	test	scene	object	face	13	87	135	287	139	55.500
60.021	4.000	weak related	2.506	learn a-c	restudy	object	face	scene	14	6	54	154	6	60.000
64.520	4.000	weak related	3.997	learn a-c	test	face	object	scene	15	69	21	69	121	64.500
69.019	4.000	weak related	3.755	learn a-c	test	scene	face	object	16	39	111	263	39	69.000
73.517	4.000	weak related	3.994	learn a-c	test	face	scene	object	17	117	45	93	221	73.500
78.016	4.000	weak related	2.969	learn a-c	test	face	object	scene	18	71	23	71	123	78.000
82.515	4.000	weak related	3.575	learn a-c	restudy	face	scene	object	19	104	32	80	208	82.500
87.014	4.000	weak unrelated	3.133	learn a-c	restudy	face	scene	object	20	108	36	84	212	87.000
91.513	4.000	weak related	2.438	learn a-c	test	face	scene	object	21	111	39	87	215	91.500
96.012	4.000	weak unrelated	2.359	learn a-c	restudy	object	face	scene	22	24	72	172	24	96.000
100.511	4.000	weak unrelated	3.887	learn a-c	restudy	object	face	scene	23	14	62	162	14	100.500
105.010	4.000	weak unrelated	2.536	learn a-c	restudy	object	scene	face	24	128	80	180	232	105.000
109.508	4.000	weak related	3.401	learn a-c	restudy	scene	object	face	25	74	122	274	126	109.500
