onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
1.520	4.000	weak unrelated	1.987	learn a-c	restudy	object	face	scene	1	17	65	165	17	1.500
6.019	4.000	strong related	1.379	learn a-c	test	face	scene	object	2	120	48	96	224	6.000
10.517	4.000	strong related	1.712	learn a-c	test	face	object	scene	3	50	2	50	102	10.500
15.016	4.000	strong related	1.532	learn a-c	restudy	face	scene	object	4	101	29	77	205	15.000
19.515	4.000	weak related	2.113	learn a-c	test	scene	face	object	5	34	106	258	34	19.500
24.013	4.000	weak unrelated	2.111	learn a-c	test	object	scene	face	6	128	80	180	232	24.000
28.512	4.000	weak unrelated	1.669	learn a-c	test	scene	object	face	7	86	134	286	138	28.500
33.010	4.000	strong related	1.624	learn a-c	test	face	scene	object	8	114	42	90	218	33.000
37.509	4.000	weak related	1.221	learn a-c	test	object	face	scene	9	16	64	164	16	37.500
42.008	4.000	weak unrelated	1.627	learn a-c	test	scene	face	object	10	40	112	264	40	42.000
46.523	4.000	weak unrelated	1.408	learn a-c	restudy	object	face	scene	11	23	71	171	23	46.500
51.022	4.000	weak unrelated	1.106	learn a-c	restudy	object	face	scene	12	3	51	151	3	51.000
55.520	4.000	weak related	1.260	learn a-c	test	object	scene	face	13	136	88	188	240	55.500
60.019	4.000	weak unrelated	1.158	learn a-c	test	object	face	scene	14	2	50	150	2	60.000
64.517	4.000	weak related	1.246	learn a-c	test	scene	object	face	15	94	142	294	146	64.500
69.016	4.000	weak related	1.593	learn a-c	test	scene	object	face	16	74	122	274	126	69.000
73.515	4.000	strong related	1.405	learn a-c	test	face	object	scene	17	54	6	54	106	73.500
78.013	4.000	weak related	2.037	learn a-c	restudy	object	scene	face	18	123	75	175	227	78.000
82.512	4.000	strong related	2.341	learn a-c	test	object	face	scene	19	22	70	170	22	82.500
87.011	4.000	strong related	1.273	learn a-c	restudy	scene	object	face	20	83	131	283	135	87.000
91.509	4.000	strong related	0.743	learn a-c	restudy	face	scene	object	21	117	45	93	221	91.500
96.024	4.000	weak related	1.181	learn a-c	test	object	scene	face	22	126	78	178	230	96.000
100.523	4.000	weak unrelated	1.396	learn a-c	restudy	object	scene	face	23	137	89	189	241	100.500
105.022	4.000	weak unrelated	2.014	learn a-c	test	scene	object	face	24	88	136	288	140	105.000
109.520	4.000	weak unrelated	1.553	learn a-c	test	scene	object	face	25	78	126	278	130	109.500
114.019	4.000	weak unrelated	1.750	learn a-c	restudy	object	scene	face	26	135	87	187	239	114.000
118.518	4.000	weak related	1.837	learn a-c	test	scene	face	object	27	32	104	256	32	118.500
123.016	4.000	strong related	2.345	learn a-c	restudy	face	object	scene	28	71	23	71	123	123.000
127.515	4.000	strong related	1.592	learn a-c	restudy	object	face	scene	29	15	63	163	15	127.500
132.014	4.000	weak related	1.379	learn a-c	restudy	scene	face	object	30	45	117	269	45	132.000
136.512	4.000	weak unrelated	1.410	learn a-c	restudy	object	scene	face	31	125	77	177	229	136.500
141.011	4.000	strong related	1.662	learn a-c	test	face	object	scene	32	58	10	58	110	141.000
145.509	4.000	weak related	1.716	learn a-c	restudy	scene	face	object	33	31	103	255	31	145.500
150.008	4.000	strong related	0.828	learn a-c	restudy	face	scene	object	34	99	27	75	203	150.000
154.507	4.000	strong related	0.778	learn a-c	restudy	face	scene	object	35	109	37	85	213	154.500
159.022	4.000	strong related	0.894	learn a-c	restudy	face	object	scene	36	61	13	61	113	159.000
163.521	4.000	strong related	0.942	learn a-c	restudy	face	scene	object	37	107	35	83	211	163.500
168.019	4.000	strong related	1.344	learn a-c	test	scene	face	object	38	30	102	254	30	168.000
172.518	4.000	strong related	1.822	learn a-c	test	face	object	scene	39	66	18	66	118	172.500
177.017	4.000	weak related	2.212	learn a-c	test	face	scene	object	40	108	36	84	212	177.000
181.515	4.000	strong related	1.640	learn a-c	restudy	face	object	scene	41	69	21	69	121	181.500
186.014	4.000	weak related	1.367	learn a-c	test	face	scene	object	42	116	44	92	220	186.000
190.512	4.000	strong related	1.171	learn a-c	restudy	face	scene	object	43	103	31	79	207	190.500
195.011	4.000	weak unrelated	2.074	learn a-c	test	scene	object	face	44	92	140	292	144	195.000
199.510	4.000	strong related	1.751	learn a-c	restudy	face	object	scene	45	63	15	63	115	199.500
204.008	4.000	strong related	2.081	learn a-c	restudy	scene	face	object	46	29	101	253	29	204.000
208.507	4.000	strong related	2.093	learn a-c	test	face	scene	object	47	110	38	86	214	208.500
213.022	4.000	strong related	0.855	learn a-c	restudy	face	object	scene	48	59	11	59	111	213.000
217.521	4.000	strong related	0.705	learn a-c	restudy	face	object	scene	49	67	19	67	119	217.500
222.019	4.000	weak unrelated	1.695	learn a-c	restudy	scene	object	face	50	91	139	291	143	222.000
226.518	4.000	weak unrelated	1.499	learn a-c	restudy	object	face	scene	51	1	49	149	1	226.500
231.017	4.000	weak unrelated	1.448	learn a-c	test	object	face	scene	52	6	54	154	6	231.000
235.515	4.000	weak related	1.289	learn a-c	test	face	object	scene	53	72	24	72	124	235.500
240.014	4.000	weak related	1.324	learn a-c	restudy	face	scene	object	54	113	41	89	217	240.000
244.512	4.000	strong related	1.468	learn a-c	restudy	object	face	scene	55	21	69	169	21	244.500
249.011	4.000	strong related	1.647	learn a-c	test	face	object	scene	56	68	20	68	120	249.000
253.510	4.000	weak unrelated	1.746	learn a-c	test	scene	face	object	57	48	120	272	48	253.500
258.008	4.000	weak related	1.363	learn a-c	restudy	face	object	scene	58	65	17	65	117	258.000
262.507	4.000	weak related	1.809	learn a-c	restudy	object	face	scene	59	11	59	159	11	262.500
267.022	4.000	weak unrelated	2.183	learn a-c	restudy	object	scene	face	60	127	79	179	231	267.000
271.521	4.000	weak related	1.871	learn a-c	test	object	scene	face	61	144	96	196	248	271.500
276.020	4.000	weak related	1.909	learn a-c	restudy	face	scene	object	62	105	33	81	209	276.000
280.518	4.000	weak unrelated	2.020	learn a-c	restudy	object	face	scene	63	9	57	157	9	280.500
285.017	4.000	weak unrelated	2.596	learn a-c	test	object	face	scene	64	24	72	172	24	285.000
289.515	4.000	strong related	2.346	learn a-c	restudy	object	face	scene	65	5	53	153	5	289.500
294.014	4.000	weak unrelated	2.042	learn a-c	restudy	scene	object	face	66	95	143	295	147	294.000
298.513	4.000	weak related	2.627	learn a-c	restudy	object	scene	face	67	131	83	183	235	298.500
303.011	4.000	strong related	0.961	learn a-c	test	face	scene	object	68	100	28	76	204	303.000
307.510	4.000	strong related	1.107	learn a-c	test	scene	face	object	69	28	100	252	28	307.500
312.008	4.000	weak related	2.015	learn a-c	test	scene	face	object	70	42	114	266	42	312.000
316.507	4.000	strong related	1.293	learn a-c	test	scene	object	face	71	96	144	296	148	316.500
321.022	4.000	weak related	2.219	learn a-c	test	object	face	scene	72	18	66	166	18	321.000
325.521	4.000	strong related	1.507	learn a-c	restudy	scene	face	object	73	41	113	265	41	325.500
330.020	4.000	strong related	1.143	learn a-c	restudy	scene	object	face	74	87	135	287	139	330.000
334.518	4.000	weak related	2.534	learn a-c	test	object	face	scene	75	20	68	168	20	334.500
339.017	4.000	weak unrelated	1.773	learn a-c	test	scene	face	object	76	44	116	268	44	339.000
343.516	4.000	weak related	1.407	learn a-c	test	scene	object	face	77	82	130	282	134	343.500
348.014	4.000	strong related	0.731	learn a-c	test	face	object	scene	78	70	22	70	122	348.000
352.513	4.000	strong related	1.403	learn a-c	restudy	scene	face	object	79	27	99	251	27	352.500
357.011	4.000	strong related	2.019	learn a-c	restudy	scene	object	face	80	73	121	273	125	357.000
361.510	4.000	strong related	1.500	learn a-c	restudy	face	object	scene	81	55	7	55	107	361.500
366.009	4.000	strong related	0.904	learn a-c	restudy	scene	face	object	82	35	107	259	35	366.000
370.524	4.000	strong related	1.296	learn a-c	test	scene	face	object	83	26	98	250	26	370.500
375.023	4.000	strong related	1.384	learn a-c	test	face	object	scene	84	64	16	64	116	375.000
379.521	4.000	strong related	2.157	learn a-c	test	face	scene	object	85	118	46	94	222	379.500
384.020	4.000	weak related	1.172	learn a-c	restudy	object	scene	face	86	139	91	191	243	384.000
388.518	4.000	weak related	0.828	learn a-c	restudy	face	scene	object	87	111	39	87	215	388.500
393.017	4.000	strong related	1.248	learn a-c	test	object	scene	face	88	140	92	192	244	393.000
397.516	4.000	strong related	1.681	learn a-c	test	face	object	scene	89	52	4	52	104	397.500
402.014	4.000	weak unrelated	1.744	learn a-c	restudy	scene	object	face	90	79	127	279	131	402.000
406.513	4.000	weak unrelated	1.459	learn a-c	restudy	object	scene	face	91	143	95	195	247	406.500
411.012	4.000	weak related	1.480	learn a-c	test	face	scene	object	92	112	40	88	216	411.000
415.510	4.000	strong related	1.383	learn a-c	test	scene	object	face	93	84	132	284	136	415.500
420.009	4.000	weak unrelated	1.698	learn a-c	test	object	scene	face	94	124	76	176	228	420.000
424.507	4.000	weak unrelated	1.973	learn a-c	test	scene	face	object	95	38	110	262	38	424.500
429.023	4.000	strong related	1.582	learn a-c	restudy	scene	face	object	96	33	105	257	33	429.000
433.521	4.000	weak related	1.715	learn a-c	restudy	object	face	scene	97	13	61	161	13	433.500
438.020	4.000	weak related	1.958	learn a-c	restudy	scene	face	object	98	37	109	261	37	438.000
442.519	4.000	weak unrelated	1.958	learn a-c	restudy	object	scene	face	99	141	93	193	245	442.500
447.017	4.000	weak related	2.023	learn a-c	restudy	object	face	scene	100	19	67	167	19	447.000
451.516	4.000	weak unrelated	1.844	learn a-c	test	object	face	scene	101	12	60	160	12	451.500
456.014	4.000	weak related	1.534	learn a-c	restudy	scene	face	object	102	25	97	249	25	456.000
460.513	4.000	weak related	2.033	learn a-c	test	object	scene	face	103	122	74	174	226	460.500
465.012	4.000	strong related	3.047	learn a-c	restudy	scene	face	object	104	43	115	267	43	465.000
469.510	4.000	weak related	2.007	learn a-c	test	object	face	scene	105	14	62	162	14	469.500
474.009	4.000	weak unrelated	2.023	learn a-c	test	object	scene	face	106	142	94	194	246	474.000
478.508	4.000	weak unrelated	1.564	learn a-c	restudy	scene	face	object	107	47	119	271	47	478.500
483.023	4.000	weak unrelated	1.652	learn a-c	restudy	scene	face	object	108	39	111	263	39	483.000
487.521	4.000	weak unrelated	2.071	learn a-c	test	object	face	scene	109	10	58	158	10	487.500
492.020	4.000	weak unrelated	1.861	learn a-c	restudy	scene	object	face	110	93	141	293	145	492.000
496.519	4.000	weak related	1.283	learn a-c	restudy	scene	object	face	111	75	123	275	127	496.500
501.017	4.000	weak unrelated	2.548	learn a-c	test	object	face	scene	112	4	52	152	4	501.000
505.516	4.000	weak related	2.617	learn a-c	test	scene	object	face	113	80	128	280	132	505.500
510.015	4.000	weak related	2.760	learn a-c	test	object	scene	face	114	138	90	190	242	510.000
514.513	4.000	weak related	1.600	learn a-c	test	face	scene	object	115	98	26	74	202	514.500
519.012	4.000	weak related	1.785	learn a-c	restudy	object	face	scene	116	7	55	155	7	519.000
523.510	4.000	weak unrelated	2.579	learn a-c	test	scene	face	object	117	36	108	260	36	523.500
528.009	4.000	weak related	2.399	learn a-c	restudy	face	object	scene	118	51	3	51	103	528.000
532.524	4.000	weak unrelated	2.215	learn a-c	test	scene	object	face	119	76	124	276	128	532.500
537.023	4.000	weak related	2.524	learn a-c	test	face	scene	object	120	102	30	78	206	537.000
541.522	4.000	weak related	1.976	learn a-c	test	face	scene	object	121	104	32	80	208	541.500
546.020	4.000	weak related	2.090	learn a-c	restudy	face	object	scene	122	49	1	49	101	546.000
550.519	4.000	weak related	1.874	learn a-c	test	face	object	scene	123	60	12	60	112	550.500
555.018	4.000	weak related	3.835	learn a-c	test	scene	object	face	124	90	138	290	142	555.000
559.516	4.000	weak related	1.448	learn a-c	restudy	scene	object	face	125	85	133	285	137	559.500
564.015	4.000	weak related	1.267	learn a-c	restudy	object	scene	face	126	133	85	185	237	564.000
568.513	4.000	weak unrelated	3.067	learn a-c	restudy	scene	object	face	127	81	129	281	133	568.500
573.012	4.000	weak unrelated	1.834	learn a-c	restudy	face	object	scene	128	57	9	57	109	573.000
577.511	4.000	weak related	2.112	learn a-c	restudy	scene	object	face	129	89	137	289	141	577.500
582.010	4.000	weak related	1.975	learn a-c	test	face	scene	object	130	106	34	82	210	582.000
586.509	4.000	weak related	1.308	learn a-c	test	face	object	scene	131	56	8	56	108	586.500
591.007	4.000	weak related	1.740	learn a-c	restudy	object	scene	face	132	129	81	181	233	591.000
595.507	4.000	weak related	2.092	learn a-c	test	face	object	scene	133	62	14	62	114	595.500
600.021	4.000	weak related	1.832	learn a-c	test	object	face	scene	134	8	56	156	8	600.000
604.520	4.000	weak unrelated	1.867	learn a-c	test	object	scene	face	135	130	82	182	234	604.500
609.018	4.000	weak unrelated	1.677	learn a-c	restudy	scene	object	face	136	77	125	277	129	609.000
613.517	4.000	weak unrelated	2.095	learn a-c	test	object	scene	face	137	132	84	184	236	613.500
618.016	4.000	weak related	0.971	learn a-c	restudy	face	scene	object	138	119	47	95	223	618.000
622.514	4.000	weak unrelated	0.790	learn a-c	restudy	face	object	scene	139	53	5	53	105	622.500
627.013	4.000	weak related	1.406	learn a-c	restudy	face	scene	object	140	115	43	91	219	627.000
631.512	4.000	weak related	1.637	learn a-c	restudy	object	scene	face	141	121	73	173	225	631.500
636.010	4.000	weak related	1.542	learn a-c	test	scene	face	object	142	46	118	270	46	636.000
640.509	4.000	weak related	2.500	learn a-c	test	object	scene	face	143	134	86	186	238	640.500
645.008	4.000	weak related	1.879	learn a-c	restudy	face	scene	object	144	97	25	73	201	645.000
