onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.016	2.000	face	n/a	localizer	no response	1	1	1	1	1	2.0	n/a
6.016	2.000	face	1.119	localizer	weak unrelated	2	1	1	2	2	6.0	n/a
10.015	2.000	face	2.279	localizer	weak related	3	1	1	3	3	10.0	n/a
14.015	2.000	face	2.095	localizer	weak unrelated	4	1	1	4	4	14.0	n/a
18.014	2.000	face	2.679	localizer	weak unrelated	5	1	1	5	5	18.0	n/a
22.014	2.000	face	2.039	localizer	weak unrelated	6	1	1	6	6	22.0	n/a
26.054	1.595	correct	1.595	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
28.166	0.555	correct	0.555	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
29.231	0.602	correct	0.602	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
30.347	0.549	correct	0.549	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
31.414	0.491	correct	0.491	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
32.414	0.523	correct	0.523	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
33.447	0.609	correct	0.609	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
34.563	0.557	correct	0.557	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
35.630	0.562	correct	0.562	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
36.713	0.100	incorrect	0.100	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
38.012	2.000	object	2.616	localizer	weak unrelated	7	1	2	73	101	38.0	n/a
42.012	2.000	object	2.177	localizer	weak related	8	1	2	74	102	42.0	n/a
46.012	2.000	object	n/a	localizer	no response	9	1	2	75	103	46.0	n/a
50.011	2.000	object	1.769	localizer	strong unrelated	10	1	2	76	104	50.0	n/a
54.011	2.000	object	2.257	localizer	weak related	11	1	2	77	105	54.0	n/a
58.010	2.000	object	1.697	localizer	strong unrelated	12	1	2	78	106	58.0	n/a
62.050	1.047	correct	1.047	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
63.611	0.548	correct	0.548	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
64.677	0.482	correct	0.482	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
65.677	0.466	correct	0.466	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
66.660	0.475	correct	0.475	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
67.644	0.596	correct	0.596	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
68.760	0.503	correct	0.503	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
69.777	0.759	correct	0.759	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
71.043	0.516	correct	0.516	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
72.077	0.467	incorrect	0.467	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
74.009	2.000	scene	3.186	localizer	weak unrelated	13	1	3	145	201	74.0	n/a
78.008	2.000	scene	1.890	localizer	weak related	14	1	3	146	202	78.0	n/a
82.025	2.000	scene	2.058	localizer	weak unrelated	15	1	3	147	203	82.0	n/a
86.024	2.000	scene	1.842	localizer	weak related	16	1	3	148	204	86.0	n/a
90.007	2.000	scene	1.228	localizer	weak related	17	1	3	149	205	90.0	n/a
94.023	2.000	scene	1.468	localizer	weak unrelated	18	1	3	150	206	94.0	n/a
98.063	0.992	correct	0.992	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
99.574	0.513	correct	0.513	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
100.607	0.551	correct	0.551	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
101.673	0.510	correct	0.510	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
102.707	0.612	correct	0.612	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
103.840	0.606	correct	0.606	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
104.956	0.657	correct	0.657	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
106.123	0.475	correct	0.475	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
107.106	0.651	correct	0.651	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
108.273	0.283	incorrect	0.283	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
110.022	2.000	object	2.292	localizer	weak unrelated	19	1	4	79	107	110.0	n/a
114.021	2.000	object	1.356	localizer	weak unrelated	20	1	4	80	108	114.0	n/a
118.021	2.000	object	1.996	localizer	weak unrelated	21	1	4	81	109	118.0	n/a
122.021	2.000	object	0.996	localizer	strong unrelated	22	1	4	82	110	122.0	n/a
126.020	2.000	object	1.301	localizer	strong unrelated	23	1	4	83	111	126.0	n/a
130.020	2.000	object	2.109	localizer	weak unrelated	24	1	4	84	112	130.0	n/a
134.058	1.482	correct	1.482	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
136.054	0.534	correct	0.534	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
137.103	0.477	correct	0.477	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
138.103	0.413	correct	0.413	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
139.036	0.496	correct	0.496	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
140.053	0.623	correct	0.623	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
141.186	0.475	correct	0.475	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
142.169	0.603	correct	0.603	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
143.286	0.502	correct	0.502	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
144.303	0.250	incorrect	0.250	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
146.018	2.000	scene	3.246	localizer	weak related	25	1	5	151	207	146.0	n/a
150.018	2.000	scene	2.391	localizer	weak related	26	1	5	152	208	150.0	n/a
154.017	2.000	scene	1.543	localizer	weak related	27	1	5	153	209	154.0	n/a
158.017	2.000	scene	1.712	localizer	weak related	28	1	5	154	210	158.0	n/a
162.016	2.000	scene	1.831	localizer	weak related	29	1	5	155	211	162.0	n/a
166.016	2.000	scene	1.863	localizer	weak unrelated	30	1	5	156	212	166.0	n/a
170.055	0.956	correct	0.956	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
171.534	0.589	correct	0.589	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
172.633	0.466	correct	0.466	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
173.616	0.459	correct	0.459	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
174.583	0.508	correct	0.508	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
175.599	0.637	correct	0.637	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
176.749	0.493	correct	0.493	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
177.766	0.494	correct	0.494	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
178.782	0.580	correct	0.580	grate	n/a	30	1	n/a	n/a	n/a	n/a	left
179.882	0.528	correct	0.528	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
180.932	0.100	incorrect	0.100	grate	n/a	30	1	n/a	n/a	n/a	n/a	right
182.014	2.000	face	2.296	localizer	weak related	31	1	6	7	7	182.0	n/a
186.014	2.000	face	2.112	localizer	weak unrelated	32	1	6	8	8	186.0	n/a
190.013	2.000	face	2.393	localizer	weak related	33	1	6	9	9	190.0	n/a
194.013	2.000	face	2.857	localizer	weak unrelated	34	1	6	10	10	194.0	n/a
198.013	2.000	face	3.121	localizer	weak unrelated	35	1	6	11	11	198.0	n/a
202.012	2.000	face	2.313	localizer	weak unrelated	36	1	6	12	12	202.0	n/a
206.051	0.871	correct	0.871	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
207.430	0.476	correct	0.476	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
208.429	0.444	correct	0.444	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
209.396	0.725	correct	0.725	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
210.629	0.444	correct	0.444	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
211.596	0.558	correct	0.558	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
212.662	0.603	correct	0.603	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
213.779	0.702	correct	0.702	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
214.995	0.494	correct	0.494	grate	n/a	36	1	n/a	n/a	n/a	n/a	right
216.012	0.534	incorrect	0.534	grate	n/a	36	1	n/a	n/a	n/a	n/a	left
218.011	2.000	scene	1.931	localizer	weak related	37	1	7	157	213	218.0	n/a
222.010	2.000	scene	1.418	localizer	weak unrelated	38	1	7	158	214	222.0	n/a
226.010	2.000	scene	1.379	localizer	weak related	39	1	7	159	215	226.0	n/a
230.010	2.000	scene	1.539	localizer	weak unrelated	40	1	7	160	216	230.0	n/a
234.009	2.000	scene	1.492	localizer	weak unrelated	41	1	7	161	217	234.0	n/a
238.009	2.000	scene	1.796	localizer	weak unrelated	42	1	7	162	218	238.0	n/a
242.048	0.889	correct	0.889	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
243.460	0.508	correct	0.508	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
244.476	0.484	correct	0.484	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
245.476	0.444	correct	0.444	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
246.442	0.454	correct	0.454	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
247.409	0.575	correct	0.575	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
248.492	0.580	correct	0.580	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
249.592	0.528	correct	0.528	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
250.645	0.563	correct	0.563	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
251.725	0.467	correct	0.467	grate	n/a	42	1	n/a	n/a	n/a	n/a	right
252.708	0.100	incorrect	0.100	grate	n/a	42	1	n/a	n/a	n/a	n/a	left
254.007	2.000	face	n/a	localizer	no response	43	1	8	13	13	254.0	n/a
258.007	2.000	face	1.605	localizer	weak unrelated	44	1	8	14	14	258.0	n/a
262.023	2.000	face	1.732	localizer	weak unrelated	45	1	8	15	15	262.0	n/a
266.022	2.000	face	2.109	localizer	weak related	46	1	8	16	16	266.0	n/a
