onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.015	2.000	face	1.458	localizer	weak unrelated	1	3	1	37	37	2.0	n/a
6.015	2.000	face	2.409	localizer	weak related	2	3	1	38	38	6.0	n/a
10.014	2.000	face	1.641	localizer	weak related	3	3	1	39	39	10.0	n/a
14.014	2.000	face	1.385	localizer	weak related	4	3	1	40	40	14.0	n/a
18.013	2.000	face	1.626	localizer	weak related	5	3	1	41	41	18.0	n/a
22.013	2.000	face	1.370	localizer	weak related	6	3	1	42	42	22.0	n/a
26.052	0.950	correct	0.950	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
27.514	0.465	correct	0.465	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
28.497	0.426	correct	0.426	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
29.430	0.413	correct	0.413	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
30.363	0.367	correct	0.367	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
31.246	0.588	correct	0.588	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
32.346	0.480	correct	0.480	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
33.346	0.600	correct	0.600	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
34.463	0.484	correct	0.484	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
35.463	0.500	correct	0.500	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
36.479	0.067	incorrect	0.067	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
38.011	2.000	scene	2.379	localizer	strong unrelated	7	3	2	181	237	38.0	n/a
42.011	2.000	scene	1.003	localizer	strong unrelated	8	3	2	182	238	42.0	n/a
46.010	2.000	scene	1.332	localizer	weak unrelated	9	3	2	183	239	46.0	n/a
50.010	2.000	scene	1.843	localizer	weak related	10	3	2	184	240	50.0	n/a
54.010	2.000	scene	1.972	localizer	weak unrelated	11	3	2	185	241	54.0	n/a
58.009	2.000	scene	1.092	localizer	weak unrelated	12	3	2	186	242	58.0	n/a
62.048	1.113	correct	1.113	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
63.677	0.501	correct	0.501	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
64.693	0.532	correct	0.532	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
65.743	0.595	correct	0.595	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
66.859	0.854	correct	0.854	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
68.226	0.567	correct	0.567	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
69.309	0.524	correct	0.524	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
70.342	0.475	correct	0.475	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
71.326	0.525	correct	0.525	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
72.359	0.184	incorrect	0.184	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
74.008	2.000	object	1.669	localizer	weak unrelated	13	3	3	109	137	74.0	n/a
78.007	2.000	object	1.574	localizer	weak unrelated	14	3	3	110	138	78.0	n/a
82.024	2.000	object	1.877	localizer	weak unrelated	15	3	3	111	139	82.0	n/a
86.023	2.000	object	1.943	localizer	weak unrelated	16	3	3	112	140	86.0	n/a
90.023	2.000	object	2.727	localizer	weak related	17	3	3	113	141	90.0	n/a
94.022	2.000	object	1.646	localizer	weak unrelated	18	3	3	114	142	94.0	n/a
98.062	1.066	correct	1.066	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
99.640	0.608	correct	0.608	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
100.756	0.748	correct	0.748	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
102.022	0.642	correct	0.642	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
103.172	0.603	correct	0.603	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
104.289	0.711	correct	0.711	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
105.522	0.493	correct	0.493	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
106.538	0.646	correct	0.646	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
107.705	0.582	correct	0.582	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
108.805	0.100	incorrect	0.100	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
110.021	2.000	scene	2.936	localizer	weak unrelated	19	3	4	187	243	110.0	n/a
114.020	2.000	scene	1.287	localizer	weak unrelated	20	3	4	188	244	114.0	n/a
118.020	2.000	scene	1.768	localizer	weak related	21	3	4	189	245	118.0	n/a
122.019	2.000	scene	1.679	localizer	weak unrelated	22	3	4	190	246	122.0	n/a
126.019	2.000	scene	1.224	localizer	weak related	23	3	4	191	247	126.0	n/a
130.019	2.000	scene	0.904	localizer	weak unrelated	24	3	4	192	248	130.0	n/a
134.058	0.798	correct	0.798	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
135.370	0.510	correct	0.510	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
136.402	0.524	correct	0.524	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
137.435	0.540	correct	0.540	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
138.485	0.433	correct	0.433	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
139.435	0.467	correct	0.467	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
140.419	0.387	correct	0.387	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
141.318	0.664	correct	0.664	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
142.502	0.456	correct	0.456	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
143.468	0.530	correct	0.530	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
144.518	0.034	incorrect	0.034	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
146.017	2.000	object	1.713	localizer	weak unrelated	25	3	5	115	143	146.0	n/a
150.017	2.000	object	1.257	localizer	weak unrelated	26	3	5	116	144	150.0	n/a
154.016	2.000	object	1.505	localizer	weak unrelated	27	3	5	117	145	154.0	n/a
158.016	2.000	object	1.809	localizer	weak related	28	3	5	118	146	158.0	n/a
162.015	2.000	object	1.490	localizer	weak unrelated	29	3	5	119	147	162.0	n/a
166.015	2.000	object	1.778	localizer	weak unrelated	30	3	5	120	148	166.0	n/a
170.054	0.863	correct	0.863	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
171.432	0.605	correct	0.605	grate	n/a	30	3	n/a	n/a	n/a	n/a	right
172.549	0.560	correct	0.560	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
173.632	0.589	correct	0.589	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
174.732	0.537	correct	0.537	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
175.782	0.527	correct	0.527	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
176.831	0.557	correct	0.557	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
177.898	0.618	correct	0.618	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
179.031	0.565	correct	0.565	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
180.114	0.433	incorrect	0.433	grate	n/a	30	3	n/a	n/a	n/a	n/a	left
182.013	2.000	face	2.035	localizer	weak unrelated	31	3	6	43	43	182.0	n/a
186.013	2.000	face	2.252	localizer	weak unrelated	32	3	6	44	44	186.0	n/a
190.013	2.000	face	1.691	localizer	weak unrelated	33	3	6	45	45	190.0	n/a
194.012	2.000	face	1.860	localizer	weak related	34	3	6	46	46	194.0	n/a
198.012	2.000	face	n/a	localizer	no response	35	3	6	47	47	198.0	n/a
202.011	2.000	face	2.844	localizer	strong related	36	3	6	48	48	202.0	n/a
206.050	0.993	correct	0.993	grate	n/a	36	3	n/a	n/a	n/a	n/a	right
207.562	0.649	correct	0.649	grate	n/a	36	3	n/a	n/a	n/a	n/a	left
208.728	0.483	correct	0.483	grate	n/a	36	3	n/a	n/a	n/a	n/a	left
209.728	0.531	correct	0.531	grate	n/a	36	3	n/a	n/a	n/a	n/a	right
210.778	0.577	correct	0.577	grate	n/a	36	3	n/a	n/a	n/a	n/a	left
211.878	0.685	correct	0.685	grate	n/a	36	3	n/a	n/a	n/a	n/a	right
213.078	0.533	correct	0.533	grate	n/a	36	3	n/a	n/a	n/a	n/a	left
214.128	0.499	correct	0.499	grate	n/a	36	3	n/a	n/a	n/a	n/a	right
215.144	0.733	correct	0.733	grate	n/a	36	3	n/a	n/a	n/a	n/a	right
216.394	0.150	incorrect	0.150	grate	n/a	36	3	n/a	n/a	n/a	n/a	right
218.010	2.000	object	1.749	localizer	weak unrelated	37	3	7	121	149	218.0	n/a
222.009	2.000	object	1.421	localizer	weak unrelated	38	3	7	122	150	222.0	n/a
226.009	2.000	object	1.806	localizer	weak unrelated	39	3	7	123	151	226.0	n/a
230.025	2.000	object	1.701	localizer	weak related	40	3	7	124	152	230.0	n/a
234.008	2.000	object	1.454	localizer	weak related	41	3	7	125	153	234.0	n/a
238.024	2.000	object	1.832	localizer	weak related	42	3	7	126	154	238.0	n/a
242.063	0.842	correct	0.842	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
243.425	0.544	correct	0.544	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
244.491	0.494	correct	0.494	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
245.508	0.510	correct	0.510	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
246.541	0.549	correct	0.549	grate	n/a	42	3	n/a	n/a	n/a	n/a	right
247.608	0.522	correct	0.522	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
248.641	0.480	correct	0.480	grate	n/a	42	3	n/a	n/a	n/a	n/a	right
249.641	0.577	correct	0.577	grate	n/a	42	3	n/a	n/a	n/a	n/a	right
250.741	0.621	correct	0.621	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
251.874	0.655	correct	0.655	grate	n/a	42	3	n/a	n/a	n/a	n/a	left
253.040	0.100	incorrect	0.100	grate	n/a	42	3	n/a	n/a	n/a	n/a	right
254.023	2.000	face	1.951	localizer	weak unrelated	43	3	8	49	49	254.0	n/a
258.022	2.000	face	1.471	localizer	weak unrelated	44	3	8	50	50	258.0	n/a
262.022	2.000	face	1.999	localizer	weak unrelated	45	3	8	51	51	262.0	n/a
266.021	2.000	face	1.775	localizer	strong related	46	3	8	52	52	266.0	n/a
270.021	2.000	face	1.544	localizer	weak unrelated	47	3	8	53	53	270.0	n/a
274.020	2.000	face	1.680	localizer	strong related	48	3	8	54	54	274.0	n/a
278.060	0.844	correct	0.844	grate	n/a	48	3	n/a	n/a	n/a	n/a	right
279.421	0.524	correct	0.524	grate	n/a	48	3	n/a	n/a	n/a	n/a	right
