onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.023	4.000	weak unrelated	3.348	learn a-b	restudy	scene	object	face	1	90	90	290	142	2.000
6.522	4.000	no response	n/a	learn a-b	test	face	object	scene	2	71	71	71	123	6.500
11.021	4.000	strong related	0.001	learn a-b	test	scene	object	face	3	85	85	285	137	11.000
15.521	4.000	strong related	2.553	learn a-b	restudy	face	object	scene	4	72	72	72	124	15.500
20.020	4.000	strong related	3.056	learn a-b	test	scene	face	object	5	39	39	263	39	20.000
24.519	4.000	no response	n/a	learn a-b	test	object	face	scene	6	1	1	149	1	24.500
29.018	4.000	strong related	0.130	learn a-b	test	face	object	scene	7	69	69	69	121	29.000
33.517	4.000	no response	n/a	learn a-b	restudy	face	object	scene	8	50	50	50	102	33.500
38.017	4.000	strong related	0.000	learn a-b	restudy	scene	object	face	9	94	94	294	146	38.000
42.516	4.000	no response	n/a	learn a-b	test	scene	face	object	10	45	45	269	45	42.500
47.015	4.000	strong related	2.457	learn a-b	test	scene	face	object	11	41	41	265	41	47.000
51.514	4.000	weak unrelated	3.457	learn a-b	test	face	scene	object	12	119	119	95	223	51.500
56.014	4.000	weak unrelated	2.955	learn a-b	restudy	face	scene	object	13	108	108	84	212	56.000
60.513	4.000	strong related	1.903	learn a-b	test	object	scene	face	14	139	139	191	243	60.500
65.012	4.000	strong related	1.960	learn a-b	test	object	face	scene	15	9	9	157	9	65.000
69.511	4.000	strong related	3.398	learn a-b	restudy	object	scene	face	16	144	144	196	248	69.500
74.010	4.000	strong related	2.959	learn a-b	restudy	object	scene	face	17	128	128	180	232	74.000
78.509	4.000	no response	n/a	learn a-b	test	object	face	scene	18	5	5	153	5	78.500
83.009	4.000	strong related	3.145	learn a-b	restudy	object	scene	face	19	124	124	176	228	83.000
87.508	4.000	weak unrelated	3.650	learn a-b	restudy	scene	face	object	20	38	38	262	38	87.500
92.024	4.000	weak unrelated	3.279	learn a-b	test	face	scene	object	21	115	115	91	219	92.000
96.523	4.000	strong related	2.327	learn a-b	test	object	face	scene	22	3	3	151	3	96.500
101.022	4.000	strong related	3.839	learn a-b	restudy	object	face	scene	23	22	22	170	22	101.000
105.521	4.000	no response	n/a	learn a-b	test	face	scene	object	24	107	107	83	211	105.500
110.021	4.000	strong related	1.585	learn a-b	test	face	object	scene	25	55	55	55	107	110.000
114.520	4.000	strong related	2.034	learn a-b	test	scene	face	object	26	29	29	253	29	114.500
119.019	4.000	weak unrelated	2.548	learn a-b	restudy	face	object	scene	27	62	62	62	114	119.000
123.518	4.000	weak unrelated	2.827	learn a-b	restudy	face	object	scene	28	68	68	68	120	123.500
128.018	4.000	weak related	3.146	learn a-b	test	object	face	scene	29	13	13	161	13	128.000
132.517	4.000	strong related	2.773	learn a-b	restudy	scene	face	object	30	26	26	250	26	132.500
137.016	4.000	strong related	2.423	learn a-b	test	object	face	scene	31	11	11	159	11	137.000
141.515	4.000	weak related	3.142	learn a-b	restudy	object	scene	face	32	136	136	188	240	141.500
146.014	4.000	strong related	2.992	learn a-b	restudy	face	object	scene	33	64	64	64	116	146.000
150.514	4.000	strong related	2.544	learn a-b	restudy	object	face	scene	34	16	16	164	16	150.500
155.013	4.000	strong related	3.306	learn a-b	test	object	scene	face	35	121	121	173	225	155.000
159.512	4.000	strong related	1.884	learn a-b	restudy	object	face	scene	36	24	24	172	24	159.500
164.011	4.000	strong related	1.838	learn a-b	restudy	face	scene	object	37	110	110	86	214	164.000
168.511	4.000	weak related	2.582	learn a-b	restudy	object	scene	face	38	130	130	182	234	168.500
173.010	4.000	strong related	2.263	learn a-b	restudy	face	object	scene	39	70	70	70	122	173.000
177.509	4.000	weak unrelated	3.280	learn a-b	restudy	object	face	scene	40	6	6	154	6	177.500
182.008	4.000	weak related	3.670	learn a-b	test	object	scene	face	41	127	127	179	231	182.000
186.524	4.000	weak unrelated	2.904	learn a-b	test	object	scene	face	42	135	135	187	239	186.500
191.023	4.000	weak unrelated	3.583	learn a-b	test	scene	object	face	43	81	81	281	133	191.000
195.522	4.000	weak unrelated	2.595	learn a-b	restudy	object	scene	face	44	132	132	184	236	195.500
200.022	4.000	weak related	3.610	learn a-b	restudy	face	scene	object	45	100	100	76	204	200.000
204.521	4.000	weak unrelated	2.071	learn a-b	restudy	scene	object	face	46	74	74	274	126	204.500
209.020	4.000	weak unrelated	3.405	learn a-b	restudy	object	scene	face	47	126	126	178	230	209.000
213.519	4.000	strong related	2.210	learn a-b	test	scene	face	object	48	47	47	271	47	213.500
218.018	4.000	strong related	2.377	learn a-b	test	object	face	scene	49	17	17	165	17	218.000
222.518	4.000	strong related	3.902	learn a-b	test	face	scene	object	50	117	117	93	221	222.500
227.017	4.000	strong related	2.721	learn a-b	test	face	object	scene	51	63	63	63	115	227.000
231.516	4.000	strong related	2.563	learn a-b	restudy	face	scene	object	52	118	118	94	222	231.500
236.015	4.000	weak unrelated	2.805	learn a-b	restudy	face	scene	object	53	98	98	74	202	236.000
240.514	4.000	weak unrelated	2.479	learn a-b	test	object	face	scene	54	19	19	167	19	240.500
245.014	4.000	weak unrelated	2.154	learn a-b	test	scene	object	face	55	89	89	289	141	245.000
249.513	4.000	strong unrelated	2.387	learn a-b	test	scene	object	face	56	73	73	273	125	249.500
254.012	4.000	strong unrelated	2.643	learn a-b	restudy	face	object	scene	57	54	54	54	106	254.000
258.511	4.000	weak unrelated	3.076	learn a-b	test	scene	object	face	58	93	93	293	145	258.500
263.011	4.000	no response	n/a	learn a-b	test	object	scene	face	59	125	125	177	229	263.000
267.510	4.000	strong unrelated	2.497	learn a-b	restudy	object	face	scene	60	12	12	160	12	267.500
272.009	4.000	weak unrelated	2.498	learn a-b	restudy	scene	object	face	61	82	82	282	134	272.000
276.525	4.000	weak unrelated	2.659	learn a-b	restudy	object	face	scene	62	4	4	152	4	276.500
281.024	4.000	weak unrelated	3.386	learn a-b	restudy	object	scene	face	63	138	138	190	242	281.000
285.523	4.000	strong related	3.098	learn a-b	test	scene	object	face	64	77	77	277	129	285.500
290.022	4.000	weak unrelated	1.958	learn a-b	restudy	face	scene	object	65	104	104	80	208	290.000
294.522	4.000	weak related	3.484	learn a-b	test	object	face	scene	66	7	7	155	7	294.500
299.021	4.000	weak unrelated	1.777	learn a-b	restudy	scene	face	object	67	40	40	264	40	299.000
303.520	4.000	weak related	1.730	learn a-b	test	scene	object	face	68	91	91	291	143	303.500
308.019	4.000	weak unrelated	2.289	learn a-b	test	face	object	scene	69	59	59	59	111	308.000
312.519	4.000	no response	n/a	learn a-b	restudy	scene	face	object	70	30	30	254	30	312.500
317.018	4.000	strong unrelated	2.511	learn a-b	test	object	scene	face	71	143	143	195	247	317.000
321.517	4.000	strong unrelated	1.651	learn a-b	restudy	object	face	scene	72	2	2	150	2	321.500
326.016	4.000	weak unrelated	2.346	learn a-b	test	face	scene	object	73	113	113	89	217	326.000
