onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.016	2.000	face	1.248	localizer	strong unrelated	1	3	1	37	37	2.0	n/a
6.015	2.000	face	1.376	localizer	weak unrelated	2	3	1	38	38	6.0	n/a
10.015	2.000	face	1.546	localizer	strong related	3	3	1	39	39	10.0	n/a
14.014	2.000	face	1.481	localizer	weak unrelated	4	3	1	40	40	14.0	n/a
18.014	2.000	face	1.033	localizer	weak related	5	3	1	41	41	18.0	n/a
22.014	2.000	face	1.282	localizer	weak unrelated	6	3	1	42	42	22.0	n/a
26.052	0.566	correct	0.566	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
27.133	0.406	correct	0.406	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
28.047	0.339	correct	0.339	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
28.897	0.385	correct	0.385	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
29.797	0.350	correct	0.350	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
30.664	0.411	correct	0.411	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
31.597	0.334	correct	0.334	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
32.447	0.348	correct	0.348	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
33.313	0.353	correct	0.353	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
34.180	0.646	correct	0.646	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
35.346	0.424	correct	0.424	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
36.280	0.267	incorrect	0.267	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
38.012	2.000	scene	2.739	localizer	weak unrelated	7	3	2	181	237	38.0	n/a
42.012	2.000	scene	2.146	localizer	strong related	8	3	2	182	238	42.0	n/a
46.011	2.000	scene	2.411	localizer	strong related	9	3	2	183	239	46.0	n/a
50.011	2.000	scene	2.851	localizer	weak related	10	3	2	184	240	50.0	n/a
54.010	2.000	scene	2.428	localizer	strong related	11	3	2	185	241	54.0	n/a
58.010	2.000	scene	2.195	localizer	weak related	12	3	2	186	242	58.0	n/a
62.049	2.256	correct	2.256	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
64.828	0.382	correct	0.382	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
65.727	0.370	correct	0.370	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
66.610	0.367	correct	0.367	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
67.493	0.363	correct	0.363	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
68.376	0.361	correct	0.361	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
69.260	0.349	correct	0.349	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
70.126	0.363	correct	0.363	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
71.010	0.383	correct	0.383	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
71.909	0.395	correct	0.395	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
72.826	0.100	incorrect	0.100	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
74.008	2.000	object	2.044	localizer	strong unrelated	13	3	3	109	137	74.0	n/a
78.008	2.000	object	1.253	localizer	strong unrelated	14	3	3	110	138	78.0	n/a
82.024	2.000	object	1.708	localizer	weak related	15	3	3	111	139	82.0	n/a
86.024	2.000	object	1.932	localizer	strong related	16	3	3	112	140	86.0	n/a
90.023	2.000	object	1.237	localizer	strong unrelated	17	3	3	113	141	90.0	n/a
94.023	2.000	object	2.389	localizer	strong related	18	3	3	114	142	94.0	n/a
98.062	0.505	correct	0.505	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
99.090	0.413	correct	0.413	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
100.023	0.384	correct	0.384	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
100.923	0.364	correct	0.364	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
101.806	0.377	correct	0.377	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
102.706	0.357	correct	0.357	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
103.573	0.386	correct	0.386	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
104.473	0.336	correct	0.336	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
105.323	0.493	correct	0.493	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
