onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.017	2.000	remember	0.013	updating	restudy	1	object	scene	face	target	object	competitor	forget	1	2	127	79	179	231	1.000	16
5.917	2.000	remember	0.020	updating	restudy	1	face	scene	object	target	face	no response	no response	2	2	103	31	79	207	5.898	20
10.766	2.000	forget	0.312	updating	retprac	1	scene	object	face	competitor	object	target	remember	3	2	78	126	278	130	10.754	11
18.465	2.000	remember	0.422	updating	restudy	1	scene	object	face	target	scene	competitor	forget	4	2	79	127	279	131	18.443	17
25.248	2.000	don't know	0.190	updating	retprac	1	scene	face	object	don't know	don't know	target	remember	5	2	32	104	256	32	25.239	8
30.048	2.000	don't know	0.454	updating	retprac	1	face	scene	object	don't know	don't know	no response	no response	6	2	104	32	80	208	30.026	12
35.014	2.000	remember	0.304	updating	retprac	1	object	scene	face	target	object	target	remember	7	2	128	80	180	232	34.992	7
40.313	2.000	don't know	0.316	updating	retprac	1	object	face	scene	don't know	don't know	competitor	forget	8	2	6	54	154	6	40.296	3
45.546	2.000	remember	0.323	updating	restudy	1	face	scene	object	target	face	competitor	forget	9	2	101	29	77	205	45.526	24
50.396	2.000	don't know	0.329	updating	retprac	1	scene	object	face	don't know	don't know	other	forget	10	2	80	128	280	132	50.389	6
55.445	2.000	remember	0.384	updating	restudy	1	scene	face	object	target	scene	don't know	don't know	11	2	29	101	253	29	55.433	19
60.895	2.000	remember	0.815	updating	restudy	1	scene	object	face	target	scene	competitor	forget	12	2	77	125	277	129	60.878	13
71.260	2.000	forget	0.504	updating	retprac	1	object	face	scene	competitor	face	target	remember	13	2	8	56	156	8	71.242	1
76.276	2.000	remember	0.256	updating	restudy	2	object	scene	face	target	object	competitor	forget	14	2	127	79	179	231	76.256	16
82.009	2.000	forget	0.643	updating	retprac	1	object	scene	face	competitor	scene	other	forget	15	2	126	78	178	230	82.001	9
88.875	2.000	remember	0.015	updating	retprac	2	scene	object	face	target	scene	target	remember	16	2	78	126	278	130	88.867	11
93.408	2.000	remember	0.132	updating	restudy	1	object	face	scene	target	object	competitor	forget	17	2	5	53	153	5	93.394	21
98.074	2.000	forget	0.577	updating	retprac	2	scene	face	object	other	object	target	remember	18	2	32	104	256	32	98.062	8
102.740	2.000	forget	0.383	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	19	2	30	102	254	30	102.729	5
107.523	2.000	remember	0.264	updating	restudy	2	face	scene	object	target	face	no response	no response	20	2	103	31	79	207	107.504	20
113.639	2.000	remember	0.267	updating	restudy	2	face	scene	object	target	face	competitor	forget	21	2	101	29	77	205	113.619	24
121.522	2.000	remember	0.249	updating	restudy	1	object	face	scene	target	object	other	forget	22	2	7	55	155	7	121.514	18
126.521	2.000	forget	0.281	updating	retprac	2	scene	object	face	other	face	other	forget	23	2	80	128	280	132	126.513	6
131.254	2.000	remember	0.548	updating	restudy	1	object	scene	face	target	object	don't know	don't know	24	2	125	77	177	229	131.234	22
137.937	2.000	remember	0.329	updating	restudy	1	scene	face	object	target	scene	target	remember	25	2	31	103	255	31	137.925	23
143.386	2.000	remember	0.263	updating	restudy	2	scene	object	face	target	scene	competitor	forget	26	2	79	127	279	131	143.365	17
148.619	2.000	remember	0.302	updating	restudy	2	scene	face	object	target	scene	don't know	don't know	27	2	29	101	253	29	148.601	19
156.068	2.000	remember	0.893	updating	retprac	1	face	object	scene	target	face	target	remember	28	2	56	8	56	108	156.062	4
165.251	2.000	forget	0.678	updating	retprac	2	object	face	scene	other	scene	competitor	forget	29	2	6	54	154	6	165.228	3
175.550	2.000	remember	0.234	updating	retprac	2	object	scene	face	target	object	target	remember	30	2	128	80	180	232	175.532	7
180.782	2.000	don't know	0.825	updating	retprac	3	scene	face	object	don't know	don't know	target	remember	31	2	32	104	256	32	180.762	8
185.598	2.000	remember	0.617	updating	restudy	3	object	scene	face	target	object	competitor	forget	32	2	127	79	179	231	185.582	16
190.298	2.000	remember	0.445	updating	retprac	2	object	scene	face	target	object	other	forget	33	2	126	78	178	230	190.290	9
195.031	2.000	remember	0.801	updating	retprac	2	face	scene	object	target	face	no response	no response	34	2	104	32	80	208	195.018	12
199.697	2.000	remember	0.374	updating	retprac	2	scene	face	object	target	scene	competitor	forget	35	2	30	102	254	30	199.678	5
207.780	2.000	remember	0.283	updating	restudy	2	scene	object	face	target	scene	competitor	forget	36	2	77	125	277	129	207.759	13
