onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.018	2.000	no response	n/a	updating	restudy	1	object	face	scene	no response	no response	target	remember	1	1	3	51	151	3	1.000	14
6.318	2.000	remember	0.520	updating	retprac	1	object	face	scene	target	object	competitor	forget	2	1	2	50	150	2	6.297	12
11.534	2.000	forget	0.344	updating	retprac	1	object	face	scene	competitor	face	target	remember	3	1	4	52	152	4	11.526	7
17.533	2.000	remember	0.018	updating	restudy	1	face	scene	object	target	face	competitor	forget	4	1	97	25	73	201	17.523	18
22.766	2.000	forget	0.311	updating	retprac	1	face	scene	object	competitor	scene	competitor	forget	5	1	98	26	74	202	22.749	6
29.416	2.000	remember	0.222	updating	restudy	1	face	object	scene	target	face	target	remember	6	1	51	3	51	103	29.402	19
37.148	2.000	forget	0.961	updating	retprac	1	object	scene	face	other	face	target	remember	7	1	122	74	174	226	37.131	11
45.497	2.000	remember	0.347	updating	retprac	1	face	object	scene	target	face	target	remember	8	1	50	2	50	102	45.481	4
50.697	2.000	remember	0.276	updating	restudy	1	object	scene	face	target	object	competitor	forget	9	1	123	75	175	227	50.681	20
56.396	2.000	remember	0.272	updating	restudy	1	face	object	scene	target	face	target	remember	10	1	49	1	49	101	56.376	22
62.512	2.000	forget	0.468	updating	retprac	1	scene	face	object	other	object	target	remember	11	1	26	98	250	26	62.493	9
67.112	2.000	forget	0.532	updating	retprac	1	face	scene	object	competitor	scene	other	forget	12	1	100	28	76	204	67.096	10
77.577	2.000	forget	0.506	updating	retprac	1	scene	object	face	other	face	target	remember	13	1	76	124	276	128	77.567	5
82.493	2.000	remember	0.166	updating	restudy	1	scene	face	object	target	scene	competitor	forget	14	1	25	97	249	25	82.484	13
87.376	2.000	remember	0.348	updating	restudy	1	scene	object	face	target	scene	target	remember	15	1	75	123	275	127	87.361	23
94.626	2.000	remember	0.161	updating	restudy	1	scene	object	face	target	scene	competitor	forget	16	1	73	121	273	125	94.602	15
100.042	2.000	remember	0.857	updating	retprac	2	object	face	scene	target	object	competitor	forget	17	1	2	50	150	2	100.027	12
104.608	2.000	remember	0.314	updating	restudy	1	object	scene	face	target	object	competitor	forget	18	1	121	73	173	225	104.586	16
109.224	2.000	remember	0.410	updating	restudy	2	face	object	scene	target	face	target	remember	19	1	51	3	51	103	109.215	19
115.157	2.000	remember	0.093	updating	restudy	2	object	face	scene	target	object	target	remember	20	1	3	51	151	3	115.147	14
120.606	2.000	remember	0.771	updating	retprac	2	object	face	scene	target	object	target	remember	21	1	4	52	152	4	120.596	7
130.972	2.000	remember	0.445	updating	restudy	1	face	scene	object	target	face	target	remember	22	1	99	27	75	203	130.958	24
137.755	2.000	forget	0.390	updating	retprac	1	object	scene	face	competitor	scene	competitor	forget	23	1	124	76	176	228	137.746	2
142.921	2.000	remember	0.216	updating	restudy	2	face	scene	object	target	face	competitor	forget	24	1	97	25	73	201	142.914	18
151.153	2.000	remember	0.303	updating	restudy	1	scene	face	object	target	scene	competitor	forget	25	1	27	99	251	27	151.136	17
155.853	2.000	forget	0.627	updating	retprac	2	face	scene	object	competitor	scene	competitor	forget	26	1	98	26	74	202	155.837	6
160.386	2.000	remember	0.286	updating	restudy	2	scene	face	object	target	scene	competitor	forget	27	1	25	97	249	25	160.364	13
165.118	2.000	forget	0.409	updating	retprac	1	face	object	scene	competitor	object	competitor	forget	28	1	52	4	52	104	165.101	1
169.668	2.000	forget	0.804	updating	retprac	1	scene	object	face	other	face	don't know	don't know	29	1	74	122	274	126	169.650	3
177.934	2.000	remember	0.305	updating	restudy	2	object	scene	face	target	object	competitor	forget	30	1	123	75	175	227	177.923	20
183.467	2.000	remember	0.300	updating	restudy	2	scene	object	face	target	scene	competitor	forget	31	1	73	121	273	125	183.447	15
188.166	2.000	remember	0.385	updating	retprac	2	face	object	scene	target	face	target	remember	32	1	50	2	50	102	188.147	4
193.999	2.000	forget	0.328	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	33	1	28	100	252	28	193.987	8
202.131	2.000	remember	0.235	updating	restudy	3	face	object	scene	target	face	target	remember	34	1	51	3	51	103	202.108	19
207.214	2.000	remember	0.536	updating	retprac	2	object	scene	face	target	object	competitor	forget	35	1	124	76	176	228	207.196	2
212.697	2.000	forget	0.293	updating	retprac	2	scene	object	face	other	face	target	remember	36	1	76	124	276	128	212.689	5
221.596	2.000	remember	0.409	updating	restudy	1	object	face	scene	target	object	other	forget	37	1	1	49	149	1	221.579	21
229.229	2.000	remember	0.408	updating	retprac	3	object	face	scene	target	object	target	remember	38	1	4	52	152	4	229.209	7
234.445	2.000	remember	0.368	updating	retprac	2	object	scene	face	target	object	target	remember	39	1	122	74	174	226	234.428	11
240.394	2.000	forget	0.307	updating	retprac	2	face	scene	object	competitor	scene	other	forget	40	1	100	28	76	204	240.388	10
245.460	2.000	remember	0.296	updating	restudy	2	face	object	scene	target	face	target	remember	41	1	49	1	49	101	245.446	22
250.043	2.000	remember	0.337	updating	restudy	2	face	scene	object	target	face	target	remember	42	1	99	27	75	203	250.026	24
254.876	2.000	forget	0.400	updating	retprac	2	scene	object	face	other	face	don't know	don't know	43	1	74	122	274	126	254.867	3
259.992	2.000	remember	0.228	updating	retprac	2	scene	face	object	target	scene	target	remember	44	1	26	98	250	26	259.982	9
265.275	2.000	remember	0.336	updating	restudy	3	scene	object	face	target	scene	competitor	forget	45	1	73	121	273	125	265.253	15
270.224	2.000	remember	0.483	updating	restudy	2	scene	object	face	target	scene	target	remember	46	1	75	123	275	127	270.207	23
274.940	2.000	remember	0.567	updating	restudy	2	object	scene	face	target	object	competitor	forget	47	1	121	73	173	225	274.932	16
279.590	2.000	remember	0.406	updating	retprac	2	face	object	scene	target	face	competitor	forget	48	1	52	4	52	104	279.568	1
287.506	2.000	remember	0.473	updating	restudy	3	object	face	scene	target	object	target	remember	49	1	3	51	151	3	287.487	14
292.222	2.000	remember	0.412	updating	retprac	3	face	object	scene	target	face	target	remember	50	1	50	2	50	102	292.208	4
297.288	2.000	forget	0.794	updating	retprac	3	object	scene	face	competitor	scene	competitor	forget	51	1	124	76	176	228	297.268	2
303.354	2.000	remember	0.013	updating	restudy	2	object	face	scene	target	object	other	forget	52	1	1	49	149	1	303.334	21
308.504	2.000	remember	0.250	updating	retprac	3	object	face	scene	target	object	competitor	forget	53	1	2	50	150	2	308.496	12
318.070	2.000	remember	0.020	updating	restudy	2	scene	face	object	target	scene	competitor	forget	54	1	27	99	251	27	318.053	17
322.836	2.000	remember	0.501	updating	retprac	3	scene	object	face	target	scene	target	remember	55	1	76	124	276	128	322.829	5
331.835	2.000	remember	0.015	updating	restudy	3	scene	face	object	target	scene	competitor	forget	56	1	25	97	249	25	331.816	13
336.551	2.000	forget	0.426	updating	retprac	2	scene	face	object	competitor	face	competitor	forget	57	1	28	100	252	28	336.542	8
341.500	2.000	remember	0.325	updating	restudy	3	scene	object	face	target	scene	target	remember	58	1	75	123	275	127	341.493	23
346.867	2.000	remember	0.206	updating	restudy	3	face	scene	object	target	face	competitor	forget	59	1	97	25	73	201	346.847	18
355.732	2.000	remember	0.308	updating	retprac	3	face	object	scene	target	face	competitor	forget	60	1	52	4	52	104	355.724	1
360.998	2.000	forget	0.345	updating	retprac	3	face	scene	object	other	object	competitor	forget	61	1	98	26	74	202	360.991	6
365.548	2.000	remember	0.283	updating	restudy	3	object	scene	face	target	object	competitor	forget	62	1	121	73	173	225	365.527	16
370.348	2.000	remember	0.139	updating	retprac	3	scene	object	face	target	scene	don't know	don't know	63	1	74	122	274	126	370.335	3
375.880	2.000	forget	0.679	updating	retprac	3	face	scene	object	other	object	other	forget	64	1	100	28	76	204	375.869	10
381.680	2.000	remember	0.207	updating	restudy	3	object	scene	face	target	object	competitor	forget	65	1	123	75	175	227	381.672	20
386.546	2.000	remember	0.277	updating	restudy	3	face	object	scene	target	face	target	remember	66	1	49	1	49	101	386.520	22
391.362	2.000	remember	0.612	updating	restudy	3	object	face	scene	target	object	other	forget	67	1	1	49	149	1	391.349	21
399.395	2.000	remember	0.292	updating	restudy	3	face	scene	object	target	face	target	remember	68	1	99	27	75	203	399.376	24
404.477	2.000	remember	0.785	updating	retprac	3	object	scene	face	target	object	target	remember	69	1	122	74	174	226	404.459	11
410.627	2.000	remember	0.315	updating	retprac	3	scene	face	object	target	scene	target	remember	70	1	26	98	250	26	410.608	9
420.076	2.000	remember	0.329	updating	retprac	3	scene	face	object	target	scene	competitor	forget	71	1	28	100	252	28	420.064	8
425.042	2.000	remember	0.018	updating	restudy	3	scene	face	object	target	scene	competitor	forget	72	1	27	99	251	27	425.017	17
