onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.017	2.000	remember	0.366	updating	restudy	1	face	scene	object	target	face	no response	no response	1	2	103	31	79	207	1.000	16
5.916	2.000	remember	0.547	updating	restudy	1	face	object	scene	target	face	competitor	forget	2	2	53	5	53	105	5.898	20
10.766	2.000	forget	0.529	updating	retprac	1	scene	object	face	competitor	object	competitor	forget	3	2	80	128	280	132	10.754	11
18.465	2.000	remember	0.373	updating	restudy	1	face	object	scene	target	face	target	remember	4	2	55	7	55	107	18.443	17
25.265	2.000	remember	0.622	updating	retprac	1	face	object	scene	target	face	no response	no response	5	2	54	6	54	106	25.239	8
30.047	2.000	remember	0.543	updating	retprac	1	scene	face	object	target	scene	other	forget	6	2	30	102	254	30	30.026	12
35.014	2.000	remember	0.608	updating	retprac	1	face	scene	object	target	face	no response	no response	7	2	102	30	78	206	34.992	7
40.313	2.000	forget	0.501	updating	retprac	1	scene	face	object	competitor	face	target	remember	8	2	32	104	256	32	40.296	3
45.546	2.000	remember	0.459	updating	restudy	1	scene	object	face	target	scene	target	remember	9	2	79	127	279	131	45.526	24
50.395	2.000	remember	0.570	updating	retprac	1	face	object	scene	target	face	target	remember	10	2	56	8	56	108	50.389	6
55.445	2.000	remember	0.480	updating	restudy	1	object	scene	face	target	object	other	forget	11	2	125	77	177	229	55.433	19
60.894	2.000	remember	0.310	updating	restudy	1	scene	object	face	target	scene	competitor	forget	12	2	77	125	277	129	60.878	13
71.260	2.000	forget	0.792	updating	retprac	1	object	face	scene	competitor	face	target	remember	13	2	8	56	156	8	71.242	1
76.276	2.000	remember	0.297	updating	restudy	2	face	scene	object	target	face	no response	no response	14	2	103	31	79	207	76.256	16
82.009	2.000	forget	0.531	updating	retprac	1	object	scene	face	competitor	scene	other	forget	15	2	126	78	178	230	82.001	9
88.891	2.000	forget	0.464	updating	retprac	2	scene	object	face	other	face	competitor	forget	16	2	80	128	280	132	88.867	11
93.408	2.000	remember	0.284	updating	restudy	1	object	face	scene	target	object	target	remember	17	2	7	55	155	7	93.394	21
98.074	2.000	remember	0.369	updating	retprac	2	face	object	scene	target	face	no response	no response	18	2	54	6	54	106	98.062	8
102.740	2.000	remember	0.639	updating	retprac	1	scene	object	face	target	scene	other	forget	19	2	78	126	278	130	102.729	5
107.523	2.000	remember	0.344	updating	restudy	2	face	object	scene	target	face	competitor	forget	20	2	53	5	53	105	107.504	20
113.639	2.000	remember	0.365	updating	restudy	2	scene	object	face	target	scene	target	remember	21	2	79	127	279	131	113.619	24
121.521	2.000	remember	0.289	updating	restudy	1	scene	face	object	target	scene	target	remember	22	2	31	103	255	31	121.514	18
126.521	2.000	remember	0.433	updating	retprac	2	face	object	scene	target	face	target	remember	23	2	56	8	56	108	126.513	6
131.254	2.000	remember	0.364	updating	restudy	1	object	scene	face	target	object	competitor	forget	24	2	127	79	179	231	131.234	22
137.936	2.000	remember	0.378	updating	restudy	1	scene	face	object	target	scene	competitor	forget	25	2	29	101	253	29	137.925	23
143.386	2.000	remember	0.303	updating	restudy	2	face	object	scene	target	face	target	remember	26	2	55	7	55	107	143.365	17
148.619	2.000	no response	n/a	updating	restudy	2	object	scene	face	no response	no response	other	forget	27	2	125	77	177	229	148.601	19
156.068	2.000	remember	0.317	updating	retprac	1	object	scene	face	target	object	target	remember	28	2	128	80	180	232	156.062	4
165.250	2.000	remember	0.487	updating	retprac	2	scene	face	object	target	scene	target	remember	29	2	32	104	256	32	165.228	3
175.549	2.000	remember	0.611	updating	retprac	2	face	scene	object	target	face	no response	no response	30	2	102	30	78	206	175.532	7
180.782	2.000	remember	0.609	updating	retprac	3	face	object	scene	target	face	no response	no response	31	2	54	6	54	106	180.762	8
185.598	2.000	remember	0.377	updating	restudy	3	face	scene	object	target	face	no response	no response	32	2	103	31	79	207	185.582	16
190.314	2.000	remember	0.589	updating	retprac	2	object	scene	face	target	object	other	forget	33	2	126	78	178	230	190.290	9
195.031	2.000	forget	0.616	updating	retprac	2	scene	face	object	competitor	face	other	forget	34	2	30	102	254	30	195.018	12
199.697	2.000	remember	0.342	updating	retprac	2	scene	object	face	target	scene	other	forget	35	2	78	126	278	130	199.678	5
207.779	2.000	remember	0.396	updating	restudy	2	scene	object	face	target	scene	competitor	forget	36	2	77	125	277	129	207.759	13
