onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.012	2.000	remember	0.419	updating	restudy	1	object	scene	face	target	object	other	forget	1	2	126	78	178	230	1.000	16
5.912	2.000	remember	0.415	updating	restudy	1	object	face	scene	target	object	other	forget	2	2	6	54	154	6	5.898	20
10.762	2.000	forget	0.557	updating	retprac	1	object	scene	face	competitor	scene	target	remember	3	2	127	79	179	231	10.754	11
18.461	2.000	remember	0.283	updating	restudy	1	face	scene	object	target	face	competitor	forget	4	2	104	32	80	208	18.443	17
25.261	2.000	forget	0.410	updating	retprac	1	scene	face	object	competitor	face	other	forget	5	2	31	103	255	31	25.239	8
30.044	2.000	remember	0.459	updating	retprac	1	scene	face	object	target	scene	target	remember	6	2	29	101	253	29	30.026	12
35.010	2.000	forget	0.524	updating	retprac	1	face	scene	object	competitor	scene	other	forget	7	2	103	31	79	207	34.992	7
40.310	2.000	no response	n/a	updating	retprac	1	object	face	scene	no response	no response	other	forget	8	2	7	55	155	7	40.296	3
45.543	2.000	remember	0.344	updating	restudy	1	scene	face	object	target	scene	target	remember	9	2	32	104	256	32	45.526	24
50.409	2.000	forget	0.710	updating	retprac	1	scene	object	face	competitor	object	target	remember	10	2	79	127	279	131	50.389	6
55.442	2.000	remember	0.310	updating	restudy	1	face	object	scene	target	face	no response	no response	11	2	56	8	56	108	55.433	19
60.892	2.000	remember	0.459	updating	restudy	1	scene	face	object	target	scene	competitor	forget	12	2	30	102	254	30	60.878	13
71.258	2.000	forget	0.350	updating	retprac	1	face	scene	object	other	object	competitor	forget	13	2	101	29	77	205	71.242	1
76.274	2.000	remember	0.413	updating	restudy	2	object	scene	face	target	object	other	forget	14	2	126	78	178	230	76.256	16
82.023	2.000	remember	0.327	updating	retprac	1	scene	object	face	target	scene	target	remember	15	2	77	125	277	129	82.001	9
88.890	2.000	remember	0.429	updating	retprac	2	object	scene	face	target	object	target	remember	16	2	127	79	179	231	88.867	11
93.406	2.000	remember	0.408	updating	restudy	1	object	face	scene	target	object	competitor	forget	17	2	8	56	156	8	93.394	21
98.072	2.000	remember	0.382	updating	retprac	2	scene	face	object	target	scene	other	forget	18	2	31	103	255	31	98.062	8
102.739	2.000	forget	0.340	updating	retprac	1	object	face	scene	other	scene	target	remember	19	2	5	53	153	5	102.729	5
107.522	2.000	remember	0.341	updating	restudy	2	object	face	scene	target	object	other	forget	20	2	6	54	154	6	107.504	20
113.638	2.000	remember	0.600	updating	restudy	2	scene	face	object	target	scene	target	remember	21	2	32	104	256	32	113.619	24
121.537	2.000	remember	0.372	updating	restudy	1	object	scene	face	target	object	other	forget	22	2	128	80	180	232	121.514	18
126.520	2.000	remember	0.373	updating	retprac	2	scene	object	face	target	scene	target	remember	23	2	79	127	279	131	126.513	6
131.253	2.000	remember	0.488	updating	restudy	1	face	scene	object	target	face	competitor	forget	24	2	102	30	78	206	131.234	22
137.936	2.000	remember	0.245	updating	restudy	1	scene	object	face	target	scene	target	remember	25	2	78	126	278	130	137.925	23
143.386	2.000	remember	0.308	updating	restudy	2	face	scene	object	target	face	competitor	forget	26	2	104	32	80	208	143.365	17
148.619	2.000	remember	0.539	updating	restudy	2	face	object	scene	target	face	no response	no response	27	2	56	8	56	108	148.601	19
156.068	2.000	remember	0.323	updating	retprac	1	face	object	scene	target	face	target	remember	28	2	53	5	53	105	156.062	4
165.234	2.000	remember	0.515	updating	retprac	2	object	face	scene	target	object	other	forget	29	2	7	55	155	7	165.228	3
175.550	2.000	remember	0.767	updating	retprac	2	face	scene	object	target	face	other	forget	30	2	103	31	79	207	175.532	7
180.783	2.000	remember	0.701	updating	retprac	3	scene	face	object	target	scene	other	forget	31	2	31	103	255	31	180.762	8
185.600	2.000	remember	0.478	updating	restudy	3	object	scene	face	target	object	other	forget	32	2	126	78	178	230	185.582	16
190.299	2.000	remember	0.330	updating	retprac	2	scene	object	face	target	scene	target	remember	33	2	77	125	277	129	190.290	9
195.032	2.000	remember	0.357	updating	retprac	2	scene	face	object	target	scene	target	remember	34	2	29	101	253	29	195.018	12
199.699	2.000	forget	0.475	updating	retprac	2	object	face	scene	other	scene	target	remember	35	2	5	53	153	5	199.678	5
207.781	2.000	remember	0.296	updating	restudy	2	scene	face	object	target	scene	competitor	forget	36	2	30	102	254	30	207.759	13
215.764	2.000	forget	0.410	updating	retprac	1	object	scene	face	competitor	scene	other	forget	37	2	125	77	177	229	215.754	2
220.530	2.000	remember	0.379	updating	restudy	2	scene	object	face	target	scene	target	remember	38	2	78	126	278	130	220.509	23
226.697	2.000	remember	0.309	updating	restudy	1	scene	object	face	target	scene	target	remember	39	2	80	128	280	132	226.678	14
232.013	2.000	remember	0.312	updating	retprac	2	face	object	scene	target	face	target	remember	40	2	53	5	53	105	231.993	4
238.312	2.000	remember	0.428	updating	restudy	2	object	scene	face	target	object	other	forget	41	2	128	80	180	232	238.299	18
246.062	2.000	forget	0.391	updating	retprac	1	face	object	scene	other	scene	competitor	forget	42	2	55	7	55	107	246.047	10
251.062	2.000	remember	0.320	updating	restudy	1	face	object	scene	target	face	competitor	forget	43	2	54	6	54	106	251.046	15
255.895	2.000	remember	0.294	updating	restudy	3	face	scene	object	target	face	competitor	forget	44	2	104	32	80	208	255.872	17
260.761	2.000	remember	0.500	updating	restudy	3	face	object	scene	target	face	no response	no response	45	2	56	8	56	108	260.744	19
265.560	2.000	forget	0.364	updating	retprac	2	face	scene	object	other	object	competitor	forget	46	2	101	29	77	205	265.548	1
274.143	2.000	remember	0.341	updating	restudy	3	scene	face	object	target	scene	target	remember	47	2	32	104	256	32	274.120	24
279.010	2.000	remember	0.332	updating	restudy	2	face	scene	object	target	face	competitor	forget	48	2	102	30	78	206	279.000	22
284.476	2.000	remember	0.336	updating	retprac	3	object	scene	face	target	object	target	remember	49	2	127	79	179	231	284.469	11
289.976	2.000	remember	0.029	updating	restudy	2	object	face	scene	target	object	competitor	forget	50	2	8	56	156	8	289.954	21
294.642	2.000	remember	0.506	updating	restudy	2	scene	object	face	target	scene	target	remember	51	2	80	128	280	132	294.625	14
299.842	2.000	remember	0.339	updating	restudy	3	scene	face	object	target	scene	competitor	forget	52	2	30	102	254	30	299.829	13
308.274	2.000	no response	n/a	updating	restudy	3	object	face	scene	no response	no response	other	forget	53	2	6	54	154	6	308.267	20
313.557	2.000	remember	0.311	updating	retprac	3	object	face	scene	target	object	target	remember	54	2	5	53	153	5	313.549	5
318.407	2.000	forget	0.453	updating	retprac	2	object	scene	face	competitor	scene	other	forget	55	2	125	77	177	229	318.389	2
326.873	2.000	remember	0.323	updating	retprac	3	scene	object	face	target	scene	target	remember	56	2	79	127	279	131	326.866	6
333.356	2.000	remember	0.320	updating	retprac	2	face	object	scene	target	face	competitor	forget	57	2	55	7	55	107	333.347	10
338.606	2.000	remember	0.382	updating	restudy	2	face	object	scene	target	face	competitor	forget	58	2	54	6	54	106	338.588	15
343.722	2.000	remember	0.354	updating	retprac	3	face	object	scene	target	face	target	remember	59	2	53	5	53	105	343.712	4
353.988	2.000	forget	0.448	updating	retprac	3	object	face	scene	competitor	face	other	forget	60	2	7	55	155	7	353.974	3
358.671	2.000	remember	0.421	updating	retprac	3	scene	object	face	target	scene	target	remember	61	2	77	125	277	129	358.658	9
363.721	2.000	remember	0.403	updating	retprac	3	scene	face	object	target	scene	target	remember	62	2	29	101	253	29	363.703	12
369.170	2.000	remember	0.417	updating	retprac	3	face	scene	object	target	face	other	forget	63	2	103	31	79	207	369.155	7
377.819	2.000	remember	0.320	updating	restudy	3	object	scene	face	target	object	other	forget	64	2	128	80	180	232	377.798	18
387.419	2.000	remember	0.298	updating	restudy	3	scene	object	face	target	scene	target	remember	65	2	78	126	278	130	387.402	23
392.002	2.000	remember	0.313	updating	restudy	3	object	face	scene	target	object	competitor	forget	66	2	8	56	156	8	391.987	21
397.968	2.000	remember	0.301	updating	restudy	3	face	scene	object	target	face	competitor	forget	67	2	102	30	78	206	397.953	22
402.851	2.000	forget	0.600	updating	retprac	3	object	scene	face	competitor	scene	other	forget	68	2	125	77	177	229	402.824	2
408.751	2.000	forget	0.526	updating	retprac	3	face	scene	object	other	object	competitor	forget	69	2	101	29	77	205	408.735	1
413.400	2.000	remember	0.355	updating	retprac	3	face	object	scene	target	face	competitor	forget	70	2	55	7	55	107	413.389	10
419.483	2.000	remember	0.384	updating	restudy	3	scene	object	face	target	scene	target	remember	71	2	80	128	280	132	419.473	14
426.299	2.000	remember	0.264	updating	restudy	3	face	object	scene	target	face	competitor	forget	72	2	54	6	54	106	426.279	15
