onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.019	4.000	no response	n/a	learn a-b	restudy	object	scene	face	1	135	135	187	239	2.000
6.517	4.000	strong related	0.018	learn a-b	test	object	face	scene	2	20	20	168	20	6.500
11.016	4.000	no response	n/a	learn a-b	test	face	object	scene	3	58	58	58	110	11.000
15.515	4.000	strong related	0.000	learn a-b	test	object	face	scene	4	16	16	164	16	15.500
20.013	4.000	strong related	2.045	learn a-b	test	scene	object	face	5	80	80	280	132	20.000
24.512	4.000	strong related	2.890	learn a-b	restudy	scene	object	face	6	87	87	287	139	24.500
29.010	4.000	strong related	2.875	learn a-b	test	scene	face	object	7	44	44	268	44	29.000
33.509	4.000	strong related	2.181	learn a-b	restudy	face	object	scene	8	53	53	53	105	33.500
38.008	4.000	strong related	3.517	learn a-b	test	scene	face	object	9	42	42	266	42	38.000
42.523	4.000	strong related	2.788	learn a-b	restudy	object	scene	face	10	139	139	191	243	42.500
47.022	4.000	strong related	2.935	learn a-b	restudy	face	scene	object	11	101	101	77	205	47.000
51.520	4.000	weak unrelated	2.086	learn a-b	restudy	scene	object	face	12	83	83	283	135	51.500
56.019	4.000	weak related	2.411	learn a-b	restudy	object	scene	face	13	127	127	179	231	56.000
60.518	4.000	strong unrelated	2.497	learn a-b	restudy	face	object	scene	14	67	67	67	119	60.500
65.016	4.000	weak related	3.520	learn a-b	restudy	scene	face	object	15	47	47	271	47	65.000
69.515	4.000	strong related	3.227	learn a-b	test	object	scene	face	16	126	126	178	230	69.500
74.013	4.000	weak related	2.992	learn a-b	test	object	face	scene	17	22	22	170	22	74.000
78.512	4.000	strong unrelated	3.964	learn a-b	test	scene	object	face	18	94	94	294	146	78.500
83.011	4.000	strong unrelated	3.076	learn a-b	test	object	scene	face	19	132	132	184	236	83.000
87.509	4.000	weak unrelated	3.058	learn a-b	restudy	scene	face	object	20	39	39	263	39	87.500
92.008	4.000	weak related	3.266	learn a-b	test	face	scene	object	21	112	112	88	216	92.000
96.523	4.000	strong related	3.452	learn a-b	test	face	object	scene	22	50	50	50	102	96.500
101.022	4.000	no response	n/a	learn a-b	test	scene	face	object	23	32	32	256	32	101.000
105.521	4.000	strong unrelated	2.894	learn a-b	test	face	object	scene	24	54	54	54	106	105.500
110.019	4.000	strong unrelated	2.650	learn a-b	test	object	scene	face	25	144	144	196	248	110.000
114.518	4.000	strong unrelated	3.932	learn a-b	test	face	object	scene	26	68	68	68	120	114.500
119.017	4.000	weak unrelated	3.082	learn a-b	test	scene	object	face	27	78	78	278	130	119.000
123.515	4.000	weak related	3.957	learn a-b	test	scene	face	object	28	30	30	254	30	123.500
128.014	4.000	strong unrelated	3.407	learn a-b	restudy	scene	object	face	29	93	93	293	145	128.000
132.512	4.000	strong unrelated	2.954	learn a-b	test	face	scene	object	30	120	120	96	224	132.500
137.011	4.000	weak related	2.933	learn a-b	restudy	object	face	scene	31	1	1	149	1	137.000
141.510	4.000	strong unrelated	2.777	learn a-b	test	face	scene	object	32	108	108	84	212	141.500
146.008	4.000	strong unrelated	2.803	learn a-b	restudy	object	scene	face	33	137	137	189	241	146.000
150.507	4.000	weak unrelated	3.085	learn a-b	restudy	face	scene	object	34	103	103	79	207	150.500
155.022	4.000	strong unrelated	2.655	learn a-b	test	object	face	scene	35	6	6	154	6	155.000
159.521	4.000	weak related	2.690	learn a-b	test	object	face	scene	36	8	8	156	8	159.500
164.020	4.000	strong related	3.601	learn a-b	test	scene	object	face	37	76	76	276	128	164.000
168.518	4.000	strong unrelated	2.557	learn a-b	test	face	scene	object	38	114	114	90	218	168.500
173.017	4.000	strong unrelated	2.426	learn a-b	test	scene	object	face	39	90	90	290	142	173.000
177.516	4.000	weak related	3.003	learn a-b	restudy	object	scene	face	40	121	121	173	225	177.500
182.014	4.000	strong unrelated	3.460	learn a-b	test	object	scene	face	41	130	130	182	234	182.000
186.513	4.000	strong unrelated	3.677	learn a-b	restudy	scene	face	object	42	29	29	253	29	186.500
191.011	4.000	strong unrelated	3.554	learn a-b	test	face	object	scene	43	60	60	60	112	191.000
195.510	4.000	strong related	1.976	learn a-b	restudy	object	face	scene	44	23	23	171	23	195.500
200.009	4.000	strong related	1.951	learn a-b	test	face	scene	object	45	100	100	76	204	200.000
204.507	4.000	strong related	1.398	learn a-b	test	object	scene	face	46	122	122	174	226	204.500
209.023	4.000	strong unrelated	3.039	learn a-b	restudy	scene	object	face	47	89	89	289	141	209.000
213.521	4.000	strong unrelated	3.568	learn a-b	restudy	face	scene	object	48	99	99	75	203	213.500
