onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.019	2.000	object	3.125	localizer	weak related	1	1	1	73	101	2.0	n/a
6.019	2.000	object	2.412	localizer	weak unrelated	2	1	1	74	102	6.0	n/a
10.019	2.000	object	1.884	localizer	strong related	3	1	1	75	103	10.0	n/a
14.018	2.000	object	1.956	localizer	strong related	4	1	1	76	104	14.0	n/a
18.018	2.000	object	2.277	localizer	strong related	5	1	1	77	105	18.0	n/a
22.018	2.000	object	2.573	localizer	strong unrelated	6	1	1	78	106	22.0	n/a
26.056	0.874	correct	0.874	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
27.452	0.342	correct	0.342	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
28.301	0.381	correct	0.381	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
29.201	0.305	correct	0.305	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
30.018	0.352	correct	0.352	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
30.884	0.350	correct	0.350	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
31.751	0.363	correct	0.363	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
32.634	0.384	correct	0.384	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
33.534	0.396	correct	0.396	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
34.451	0.407	correct	0.407	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
35.367	0.365	correct	0.365	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
36.250	0.300	incorrect	0.300	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
38.016	2.000	face	2.534	localizer	weak related	7	1	2	1	1	38.0	n/a
42.016	2.000	face	2.414	localizer	strong related	8	1	2	2	2	42.0	n/a
46.015	2.000	face	2.758	localizer	strong related	9	1	2	3	3	46.0	n/a
50.015	2.000	face	n/a	localizer	no response	10	1	2	4	4	50.0	n/a
54.014	2.000	face	1.607	localizer	weak related	11	1	2	5	5	54.0	n/a
58.014	2.000	face	1.895	localizer	weak related	12	1	2	6	6	58.0	n/a
62.053	0.756	correct	0.756	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
63.332	0.341	correct	0.341	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
64.181	0.404	correct	0.404	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
65.097	0.383	correct	0.383	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
65.997	0.396	correct	0.396	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
66.914	0.399	correct	0.399	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
67.830	0.378	correct	0.378	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
68.730	0.350	correct	0.350	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
69.597	0.411	correct	0.411	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
70.530	0.502	correct	0.502	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
71.547	0.406	correct	0.406	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
72.463	0.084	incorrect	0.084	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
74.012	2.000	scene	2.136	localizer	weak unrelated	13	1	3	145	201	74.0	n/a
78.012	2.000	scene	3.024	localizer	weak unrelated	14	1	3	146	202	78.0	n/a
82.011	2.000	scene	2.033	localizer	strong related	15	1	3	147	203	82.0	n/a
86.011	2.000	scene	2.890	localizer	weak unrelated	16	1	3	148	204	86.0	n/a
90.011	2.000	scene	2.753	localizer	strong related	17	1	3	149	205	90.0	n/a
94.010	2.000	scene	2.305	localizer	strong related	18	1	3	150	206	94.0	n/a
98.049	0.870	correct	0.870	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
99.428	0.427	correct	0.427	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
100.377	0.406	correct	0.406	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
101.294	0.418	correct	0.418	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
102.227	0.420	correct	0.420	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
103.160	0.311	correct	0.311	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
103.993	0.462	correct	0.462	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
104.977	0.310	correct	0.310	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
105.810	0.318	correct	0.318	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
106.643	0.356	correct	0.356	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
107.510	0.394	correct	0.394	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
108.426	0.117	incorrect	0.117	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
110.009	2.000	face	2.130	localizer	strong related	19	1	4	7	7	110.0	n/a
114.008	2.000	face	2.099	localizer	strong related	20	1	4	8	8	114.0	n/a
118.008	2.000	face	2.187	localizer	weak related	21	1	4	9	9	118.0	n/a
122.007	2.000	face	2.411	localizer	weak related	22	1	4	10	10	122.0	n/a
126.007	2.000	face	2.284	localizer	strong unrelated	23	1	4	11	11	126.0	n/a
