onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.009	4.000	no response	n/a	learn a-b	test	scene	face	object	1	32	32	256	32	2.000
6.524	4.000	no response	n/a	learn a-b	test	scene	face	object	2	34	34	258	34	6.500
11.023	4.000	weak unrelated	3.996	learn a-b	test	scene	object	face	3	96	96	296	148	11.000
15.521	4.000	weak related	3.808	learn a-b	restudy	object	face	scene	4	7	7	155	7	15.500
20.020	4.000	no response	n/a	learn a-b	restudy	object	face	scene	5	9	9	157	9	20.000
24.519	4.000	no response	n/a	learn a-b	restudy	scene	object	face	6	83	83	283	135	24.500
29.017	4.000	no response	n/a	learn a-b	restudy	face	scene	object	7	113	113	89	217	29.000
33.516	4.000	weak unrelated	0.000	learn a-b	test	object	scene	face	8	122	122	174	226	33.500
38.015	4.000	no response	n/a	learn a-b	restudy	scene	face	object	9	25	25	249	25	38.000
42.513	4.000	strong unrelated	0.000	learn a-b	test	object	scene	face	10	138	138	190	242	42.500
47.012	4.000	strong unrelated	0.176	learn a-b	restudy	face	object	scene	11	59	59	59	111	47.000
51.510	4.000	strong related	3.963	learn a-b	restudy	object	scene	face	12	123	123	175	227	51.500
56.009	4.000	strong unrelated	3.611	learn a-b	restudy	scene	face	object	13	31	31	255	31	56.000
60.508	4.000	strong related	3.786	learn a-b	restudy	scene	object	face	14	75	75	275	127	60.500
65.023	4.000	no response	n/a	learn a-b	test	scene	face	object	15	36	36	260	36	65.000
69.521	4.000	strong unrelated	2.487	learn a-b	test	scene	object	face	16	90	90	290	142	69.500
74.020	4.000	no response	n/a	learn a-b	restudy	scene	face	object	17	27	27	251	27	74.000
78.519	4.000	strong unrelated	0.000	learn a-b	test	scene	object	face	18	94	94	294	146	78.500
83.017	4.000	strong unrelated	0.052	learn a-b	restudy	scene	object	face	19	95	95	295	147	83.000
87.516	4.000	weak unrelated	0.242	learn a-b	test	face	scene	object	20	100	100	76	204	87.500
92.015	4.000	no response	n/a	learn a-b	restudy	face	scene	object	21	105	105	81	209	92.000
96.513	4.000	strong unrelated	0.152	learn a-b	test	scene	face	object	22	38	38	262	38	96.500
101.012	4.000	strong unrelated	3.724	learn a-b	test	scene	object	face	23	82	82	282	134	101.000
105.510	4.000	no response	n/a	learn a-b	restudy	object	scene	face	24	121	121	173	225	105.500
110.009	4.000	strong unrelated	0.000	learn a-b	test	face	scene	object	25	112	112	88	216	110.000
114.508	4.000	strong unrelated	0.000	learn a-b	restudy	scene	face	object	26	39	39	263	39	114.500
119.023	4.000	weak unrelated	0.154	learn a-b	test	face	object	scene	27	50	50	50	102	119.000
123.522	4.000	no response	n/a	learn a-b	test	scene	face	object	28	44	44	268	44	123.500
128.020	4.000	strong unrelated	2.485	learn a-b	test	object	face	scene	29	20	20	168	20	128.000
132.519	4.000	strong unrelated	2.839	learn a-b	restudy	scene	face	object	30	37	37	261	37	132.500
137.018	4.000	no response	n/a	learn a-b	restudy	object	face	scene	31	11	11	159	11	137.000
141.516	4.000	strong unrelated	3.392	learn a-b	restudy	face	scene	object	32	119	119	95	223	141.500
146.015	4.000	no response	n/a	learn a-b	test	face	object	scene	33	66	66	66	118	146.000
150.513	4.000	strong unrelated	0.145	learn a-b	restudy	face	scene	object	34	107	107	83	211	150.500
155.012	4.000	no response	n/a	learn a-b	test	object	scene	face	35	124	124	176	228	155.000
159.511	4.000	strong unrelated	0.000	learn a-b	restudy	face	scene	object	36	111	111	87	215	159.500
164.009	4.000	strong unrelated	0.000	learn a-b	test	face	object	scene	37	52	52	52	104	164.000
168.508	4.000	no response	n/a	learn a-b	restudy	face	scene	object	38	115	115	91	219	168.500
173.023	4.000	strong unrelated	0.000	learn a-b	test	face	scene	object	39	102	102	78	206	173.000
177.522	4.000	no response	n/a	learn a-b	test	face	object	scene	40	64	64	64	116	177.500
182.020	4.000	strong unrelated	0.306	learn a-b	restudy	object	scene	face	41	141	141	193	245	182.000
186.519	4.000	strong unrelated	0.000	learn a-b	restudy	face	object	scene	42	67	67	67	119	186.500
191.018	4.000	strong unrelated	0.385	learn a-b	test	object	face	scene	43	24	24	172	24	191.000
195.516	4.000	strong unrelated	0.192	learn a-b	test	face	scene	object	44	98	98	74	202	195.500
200.015	4.000	strong unrelated	0.084	learn a-b	restudy	scene	object	face	45	93	93	293	145	200.000
204.514	4.000	strong unrelated	0.697	learn a-b	test	scene	face	object	46	46	46	270	46	204.500
209.012	4.000	strong unrelated	0.326	learn a-b	test	object	face	scene	47	2	2	150	2	209.000
213.511	4.000	strong unrelated	0.071	learn a-b	test	scene	object	face	48	88	88	288	140	213.500
218.009	4.000	strong unrelated	0.167	learn a-b	restudy	scene	object	face	49	77	77	277	129	218.000
222.508	4.000	strong unrelated	0.046	learn a-b	test	object	face	scene	50	8	8	156	8	222.500
227.007	4.000	strong unrelated	0.000	learn a-b	test	scene	object	face	51	80	80	280	132	227.000
231.522	4.000	strong unrelated	0.000	learn a-b	test	scene	face	object	52	40	40	264	40	231.500
236.021	4.000	strong unrelated	0.000	learn a-b	test	face	object	scene	53	58	58	58	110	236.000
240.519	4.000	no response	n/a	learn a-b	test	scene	object	face	54	78	78	278	130	240.500
245.018	4.000	strong unrelated	0.298	learn a-b	restudy	object	face	scene	55	1	1	149	1	245.000
249.517	4.000	strong unrelated	0.000	learn a-b	test	object	scene	face	56	144	144	196	248	249.500
254.015	4.000	strong unrelated	0.000	learn a-b	test	object	scene	face	57	136	136	188	240	254.000
258.514	4.000	no response	n/a	learn a-b	restudy	object	scene	face	58	143	143	195	247	258.500
263.012	4.000	no response	n/a	learn a-b	restudy	scene	object	face	59	91	91	291	143	263.000
267.511	4.000	no response	n/a	learn a-b	test	face	scene	object	60	108	108	84	212	267.500
272.010	4.000	strong unrelated	0.000	learn a-b	test	scene	face	object	61	26	26	250	26	272.000
276.508	4.000	no response	n/a	learn a-b	test	object	face	scene	62	22	22	170	22	276.500
281.024	4.000	no response	n/a	learn a-b	test	object	scene	face	63	140	140	192	244	281.000
285.522	4.000	no response	n/a	learn a-b	restudy	face	object	scene	64	57	57	57	109	285.500
290.021	4.000	strong unrelated	0.000	learn a-b	test	scene	face	object	65	48	48	272	48	290.000
294.519	4.000	no response	n/a	learn a-b	restudy	face	object	scene	66	49	49	49	101	294.500
299.018	4.000	no response	n/a	learn a-b	restudy	face	object	scene	67	55	55	55	107	299.000
303.517	4.000	no response	n/a	learn a-b	test	object	scene	face	68	128	128	180	232	303.500
