onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.017	2.000	no response	n/a	updating	restudy	1	object	scene	face	no response	no response	target	remember	1	1	123	75	175	227	1.000	14
6.317	2.000	forget	0.867	updating	retprac	1	scene	face	object	other	object	competitor	forget	2	1	26	98	250	26	6.297	12
11.533	2.000	remember	0.306	updating	retprac	1	face	scene	object	target	face	target	remember	3	1	100	28	76	204	11.526	7
17.532	2.000	remember	0.306	updating	restudy	1	face	object	scene	target	face	other	forget	4	1	51	3	51	103	17.523	18
22.765	2.000	forget	0.322	updating	retprac	1	object	scene	face	other	face	competitor	forget	5	1	124	76	176	228	22.749	6
29.414	2.000	remember	0.272	updating	restudy	1	face	object	scene	target	face	target	remember	6	1	49	1	49	101	29.402	19
37.147	2.000	remember	0.955	updating	retprac	1	object	scene	face	target	object	target	remember	7	1	122	74	174	226	37.131	11
45.496	2.000	forget	0.269	updating	retprac	1	face	object	scene	other	scene	competitor	forget	8	1	52	4	52	104	45.481	4
50.696	2.000	remember	0.749	updating	restudy	1	scene	object	face	target	scene	competitor	forget	9	1	75	123	275	127	50.681	20
56.395	2.000	remember	0.282	updating	restudy	1	object	face	scene	target	object	competitor	forget	10	1	3	51	151	3	56.376	22
62.512	2.000	remember	0.406	updating	retprac	1	face	object	scene	target	face	competitor	forget	11	1	50	2	50	102	62.493	9
67.111	2.000	remember	0.822	updating	retprac	1	face	scene	object	target	face	other	forget	12	1	98	26	74	202	67.096	10
77.577	2.000	forget	0.356	updating	retprac	1	scene	object	face	competitor	object	competitor	forget	13	1	76	124	276	128	77.567	5
82.493	2.000	remember	0.311	updating	restudy	1	face	scene	object	target	face	other	forget	14	1	99	27	75	203	82.484	13
87.376	2.000	remember	0.484	updating	restudy	1	object	scene	face	target	object	target	remember	15	1	121	73	173	225	87.361	23
94.625	2.000	remember	0.387	updating	restudy	1	scene	object	face	target	scene	target	remember	16	1	73	121	273	125	94.602	15
100.042	2.000	no response	n/a	updating	retprac	2	scene	face	object	no response	no response	competitor	forget	17	1	26	98	250	26	100.027	12
104.608	2.000	remember	0.444	updating	restudy	1	scene	face	object	target	scene	target	remember	18	1	25	97	249	25	104.586	16
109.224	2.000	remember	0.340	updating	restudy	2	face	object	scene	target	face	target	remember	19	1	49	1	49	101	109.215	19
115.157	2.000	remember	0.383	updating	restudy	2	object	scene	face	target	object	target	remember	20	1	123	75	175	227	115.147	14
120.606	2.000	remember	0.341	updating	retprac	2	face	scene	object	target	face	target	remember	21	1	100	28	76	204	120.596	7
130.972	2.000	remember	0.295	updating	restudy	1	scene	face	object	target	scene	competitor	forget	22	1	27	99	251	27	130.958	24
137.755	2.000	forget	0.320	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	23	1	4	52	152	4	137.746	2
142.921	2.000	remember	0.386	updating	restudy	2	face	object	scene	target	face	other	forget	24	1	51	3	51	103	142.914	18
