onset	duration	trial_type	response_time	task_type	response_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.014	2.000	incorrect	0.707	review a-b	face	restudy	scene	object	face	1	83	83	283	135	2.000
6.513	2.000	correct	0.719	review a-b	scene	restudy	face	scene	object	2	105	105	81	209	6.500
11.012	2.000	incorrect	0.554	review a-b	object	test	face	scene	object	3	102	102	78	206	11.000
15.511	2.000	correct	0.517	review a-b	scene	test	face	scene	object	4	98	98	74	202	15.500
20.010	2.000	incorrect	0.486	review a-b	face	restudy	scene	object	face	5	93	93	293	145	20.000
24.508	2.000	incorrect	0.617	review a-b	face	test	scene	object	face	6	84	84	284	136	24.500
29.007	2.000	correct	0.425	review a-b	face	restudy	object	face	scene	7	1	1	149	1	29.000
33.506	2.000	incorrect	0.442	review a-b	scene	restudy	object	face	scene	8	17	17	165	17	33.500
38.022	2.000	incorrect	0.674	review a-b	face	restudy	scene	object	face	9	87	87	287	139	38.000
42.521	2.000	correct	0.528	review a-b	object	restudy	face	object	scene	10	59	59	59	111	42.500
47.019	2.000	correct	0.654	review a-b	face	test	object	face	scene	11	22	22	170	22	47.000
51.518	2.000	correct	0.513	review a-b	object	restudy	face	object	scene	12	61	61	61	113	51.500
56.017	2.000	incorrect	0.691	review a-b	scene	test	scene	object	face	13	94	94	294	146	56.000
60.516	2.000	correct	0.513	review a-b	object	test	face	object	scene	14	72	72	72	124	60.500
65.015	2.000	correct	0.892	review a-b	object	restudy	face	object	scene	15	71	71	71	123	65.000
69.514	2.000	incorrect	0.678	review a-b	object	test	scene	face	object	16	36	36	260	36	69.500
74.013	2.000	correct	0.696	review a-b	face	restudy	object	face	scene	17	19	19	167	19	74.000
78.512	2.000	correct	0.646	review a-b	scene	test	face	scene	object	18	104	104	80	208	78.500
83.010	2.000	correct	0.483	review a-b	scene	restudy	face	scene	object	19	101	101	77	205	83.000
87.509	2.000	correct	0.439	review a-b	scene	test	face	scene	object	20	110	110	86	214	87.500
92.008	2.000	incorrect	0.836	review a-b	face	restudy	face	object	scene	21	57	57	57	109	92.000
96.507	2.000	correct	0.536	review a-b	face	test	scene	face	object	22	42	42	266	42	96.500
101.006	2.000	correct	0.517	review a-b	face	test	object	face	scene	23	14	14	162	14	101.000
105.522	2.000	incorrect	0.890	review a-b	face	restudy	object	scene	face	24	139	139	191	243	105.500
110.020	2.000	correct	0.451	review a-b	face	restudy	scene	face	object	25	41	41	265	41	110.000
114.519	2.000	correct	0.501	review a-b	face	restudy	scene	face	object	26	29	29	253	29	114.500
119.018	2.000	incorrect	0.750	review a-b	scene	restudy	scene	object	face	27	75	75	275	127	119.000
123.517	2.000	correct	0.844	review a-b	scene	test	object	scene	face	28	132	132	184	236	123.500
128.016	2.000	incorrect	0.634	review a-b	face	restudy	object	scene	face	29	125	125	177	229	128.000
132.515	2.000	incorrect	0.974	review a-b	face	restudy	scene	object	face	30	89	89	289	141	132.500
137.014	2.000	correct	0.591	review a-b	scene	restudy	face	scene	object	31	107	107	83	211	137.000
141.513	2.000	correct	0.577	review a-b	object	test	face	object	scene	32	66	66	66	118	141.500
146.011	2.000	incorrect	0.429	review a-b	face	test	object	scene	face	33	134	134	186	238	146.000
150.510	2.000	incorrect	0.514	review a-b	object	test	object	face	scene	34	16	16	164	16	150.500
155.009	2.000	correct	0.511	review a-b	face	restudy	object	face	scene	35	11	11	159	11	155.000
159.508	2.000	correct	0.778	review a-b	scene	test	face	scene	object	36	100	100	76	204	159.500
164.007	2.000	incorrect	0.951	review a-b	object	restudy	object	scene	face	37	133	133	185	237	164.000
168.523	2.000	incorrect	0.935	review a-b	object	restudy	object	scene	face	38	135	135	187	239	168.500
173.021	2.000	correct	0.689	review a-b	scene	test	object	scene	face	39	124	124	176	228	173.000
177.520	2.000	incorrect	0.802	review a-b	object	test	object	scene	face	40	128	128	180	232	177.500
182.019	2.000	incorrect	0.438	review a-b	face	test	face	object	scene	41	64	64	64	116	182.000
186.518	2.000	correct	0.602	review a-b	object	test	face	object	scene	42	52	52	52	104	186.500
191.017	2.000	incorrect	0.699	review a-b	scene	test	scene	face	object	43	38	38	262	38	191.000
195.516	2.000	correct	0.395	review a-b	face	restudy	object	face	scene	44	23	23	171	23	195.500
200.015	2.000	incorrect	0.567	review a-b	scene	test	scene	object	face	45	82	82	282	134	200.000
204.514	2.000	correct	0.737	review a-b	face	restudy	scene	face	object	46	37	37	261	37	204.500
209.012	2.000	incorrect	0.806	review a-b	face	restudy	face	scene	object	47	111	111	87	215	209.000
213.511	2.000	correct	0.465	review a-b	face	restudy	scene	face	object	48	39	39	263	39	213.500
218.010	2.000	correct	0.600	review a-b	scene	restudy	face	scene	object	49	119	119	95	223	218.000
222.509	2.000	incorrect	0.851	review a-b	scene	test	face	object	scene	50	68	68	68	120	222.500
227.008	2.000	correct	0.583	review a-b	object	test	scene	object	face	51	86	86	286	138	227.000
231.507	2.000	incorrect	0.721	review a-b	face	restudy	scene	object	face	52	79	79	279	131	231.500
236.022	2.000	incorrect	0.455	review a-b	object	test	object	face	scene	53	12	12	160	12	236.000
240.521	2.000	incorrect	0.852	review a-b	scene	test	face	object	scene	54	70	70	70	122	240.500
245.020	2.000	correct	0.648	review a-b	scene	test	face	scene	object	55	112	112	88	216	245.000
249.519	2.000	incorrect	0.986	review a-b	face	restudy	face	scene	object	56	97	97	73	201	249.500
254.018	2.000	correct	0.705	review a-b	face	restudy	scene	face	object	57	43	43	267	43	254.000
258.517	2.000	incorrect	0.382	review a-b	face	test	scene	object	face	58	80	80	280	132	258.500
263.016	2.000	incorrect	0.686	review a-b	face	test	object	scene	face	59	144	144	196	248	263.000
267.515	2.000	incorrect	0.775	review a-b	face	test	face	scene	object	60	106	106	82	210	267.500
