onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.023	2.000	remember	0.416	updating	restudy	1	object	scene	face	target	object	other	forget	1	4	133	85	185	237	1.000	17
5.539	2.000	remember	0.340	updating	restudy	1	face	scene	object	target	face	competitor	forget	2	4	111	39	87	215	5.528	13
11.572	2.000	forget	0.283	updating	retprac	1	face	scene	object	competitor	scene	target	remember	3	4	112	40	88	216	11.561	1
16.788	2.000	remember	0.315	updating	restudy	1	object	face	scene	target	object	other	forget	4	4	15	63	163	15	16.771	22
22.771	2.000	remember	0.372	updating	restudy	1	scene	object	face	target	scene	competitor	forget	5	4	85	133	285	137	22.750	21
27.888	2.000	forget	0.273	updating	retprac	1	object	scene	face	other	face	target	remember	6	4	136	88	188	240	27.871	3
37.804	2.000	forget	0.291	updating	retprac	1	scene	face	object	competitor	face	target	remember	7	4	40	112	264	40	37.783	8
42.987	2.000	remember	0.308	updating	restudy	1	face	object	scene	target	face	competitor	forget	8	4	61	13	61	113	42.977	23
48.536	2.000	forget	0.280	updating	retprac	1	object	scene	face	competitor	scene	target	remember	9	4	134	86	186	238	48.514	7
58.435	2.000	forget	0.299	updating	retprac	1	object	face	scene	competitor	face	target	remember	10	4	16	64	164	16	58.420	6
63.202	2.000	forget	0.477	updating	retprac	1	object	face	scene	other	scene	target	remember	11	4	14	62	162	14	63.195	12
68.251	2.000	remember	0.355	updating	restudy	1	scene	face	object	target	scene	target	remember	12	4	39	111	263	39	68.243	20
77.268	2.000	remember	0.283	updating	restudy	1	face	object	scene	target	face	target	remember	13	4	63	15	63	115	77.257	14
86.417	2.000	forget	0.285	updating	retprac	1	scene	face	object	other	object	target	remember	14	4	38	110	262	38	86.403	5
91.133	2.000	forget	0.305	updating	retprac	1	face	object	scene	competitor	object	target	remember	15	4	64	16	64	116	91.119	9
95.949	2.000	remember	0.401	updating	restudy	1	scene	face	object	target	scene	competitor	forget	16	4	37	109	261	37	95.938	19
100.983	2.000	forget	0.297	updating	retprac	1	scene	object	face	competitor	object	target	remember	17	4	88	136	288	140	100.965	2
106.382	2.000	remember	0.337	updating	retprac	1	face	object	scene	target	face	target	remember	18	4	62	14	62	114	106.366	10
111.165	2.000	forget	0.697	updating	retprac	1	face	scene	object	other	object	other	forget	19	4	110	38	86	214	111.157	4
117.681	2.000	remember	0.317	updating	restudy	1	face	scene	object	target	face	target	remember	20	4	109	37	85	213	117.665	24
122.664	2.000	forget	0.318	updating	retprac	2	face	scene	object	other	object	target	remember	21	4	112	40	88	216	122.649	1
128.097	2.000	remember	0.269	updating	retprac	2	object	scene	face	target	object	target	remember	22	4	134	86	186	238	128.085	7
132.797	2.000	remember	0.361	updating	restudy	1	object	scene	face	target	object	target	remember	23	4	135	87	187	239	132.789	15
138.180	2.000	remember	0.282	updating	retprac	2	object	face	scene	target	object	target	remember	24	4	14	62	162	14	138.168	12
143.530	2.000	remember	0.332	updating	restudy	2	face	scene	object	target	face	competitor	forget	25	4	111	39	87	215	143.510	13
148.179	2.000	remember	0.323	updating	restudy	1	scene	object	face	target	scene	other	forget	26	4	87	135	287	139	148.155	16
152.896	2.000	forget	0.302	updating	retprac	2	scene	face	object	other	object	target	remember	27	4	40	112	264	40	152.885	8
157.929	2.000	remember	0.358	updating	retprac	1	scene	object	face	target	scene	competitor	forget	28	4	86	134	286	138	157.909	11
162.578	2.000	forget	0.411	updating	retprac	2	scene	object	face	competitor	object	target	remember	29	4	88	136	288	140	162.559	2
167.311	2.000	remember	0.350	updating	restudy	2	object	scene	face	target	object	other	forget	30	4	133	85	185	237	167.297	17
176.661	2.000	remember	0.314	updating	restudy	2	object	face	scene	target	object	other	forget	31	4	15	63	163	15	176.647	22
183.660	2.000	remember	0.369	updating	restudy	2	face	object	scene	target	face	competitor	forget	32	4	61	13	61	113	183.641	23
189.526	2.000	remember	0.479	updating	restudy	2	scene	object	face	target	scene	competitor	forget	33	4	85	133	285	137	189.508	21
194.743	2.000	remember	0.384	updating	restudy	2	scene	face	object	target	scene	competitor	forget	34	4	37	109	261	37	194.736	19
199.992	2.000	remember	0.310	updating	restudy	1	object	face	scene	target	object	target	remember	35	4	13	61	161	13	199.977	18
204.609	2.000	remember	0.285	updating	restudy	2	scene	face	object	target	scene	target	remember	36	4	39	111	263	39	204.585	20
210.375	2.000	forget	0.094	updating	retprac	2	face	object	scene	competitor	object	target	remember	37	4	62	14	62	114	210.367	10
215.091	2.000	forget	0.594	updating	retprac	2	face	scene	object	other	object	other	forget	38	4	110	38	86	214	215.072	4
220.191	2.000	remember	0.654	updating	restudy	2	scene	object	face	target	scene	other	forget	39	4	87	135	287	139	220.177	16
224.774	2.000	remember	0.295	updating	retprac	2	object	scene	face	target	object	target	remember	40	4	136	88	188	240	224.759	3
234.007	2.000	forget	0.013	updating	retprac	2	object	face	scene	competitor	face	target	remember	41	4	16	64	164	16	233.984	6
240.506	2.000	remember	0.323	updating	restudy	3	face	scene	object	target	face	competitor	forget	42	4	111	39	87	215	240.484	13
249.222	2.000	remember	0.367	updating	restudy	2	face	scene	object	target	face	target	remember	43	4	109	37	85	213	249.200	24
254.305	2.000	remember	0.492	updating	restudy	2	face	object	scene	target	face	target	remember	44	4	63	15	63	115	254.296	14
259.888	2.000	remember	0.221	updating	retprac	2	scene	face	object	target	scene	target	remember	45	4	38	110	262	38	259.881	5
264.504	2.000	remember	0.412	updating	restudy	3	face	object	scene	target	face	competitor	forget	46	4	61	13	61	113	264.491	23
269.188	2.000	remember	0.322	updating	retprac	3	object	face	scene	target	object	target	remember	47	4	14	62	162	14	269.167	12
