onset	duration	trial_type	response_time	task_type	response_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.013	2.000	no response	n/a	practice a-b	no response	test	scene	object	face	1	77	77	277	129	2.000
6.513	2.000	incorrect	0.503	practice a-b	scene	restudy	face	object	scene	2	56	56	56	108	6.500
11.012	2.000	no response	n/a	practice a-b	no response	test	object	face	scene	3	3	3	151	3	11.000
15.511	2.000	correct	0.686	practice a-b	face	test	object	face	scene	4	9	9	157	9	15.500
20.011	2.000	incorrect	0.760	practice a-b	scene	test	scene	object	face	5	93	93	293	145	20.000
24.510	2.000	incorrect	0.224	practice a-b	scene	restudy	scene	object	face	6	92	92	292	144	24.500
29.009	2.000	incorrect	0.504	practice a-b	scene	restudy	scene	object	face	7	84	84	284	136	29.000
33.508	2.000	no response	n/a	practice a-b	no response	restudy	object	scene	face	8	132	132	184	236	33.500
38.008	2.000	don't know	0.193	practice a-b	don't know	test	scene	object	face	9	95	95	295	147	38.000
42.507	2.000	incorrect	0.599	practice a-b	face	test	scene	object	face	10	75	75	275	127	42.500
47.026	2.000	incorrect	0.557	practice a-b	object	restudy	object	face	scene	11	20	20	168	20	47.000
51.525	2.000	don't know	0.678	practice a-b	don't know	restudy	object	face	scene	12	4	4	152	4	51.500
56.025	2.000	correct	0.158	practice a-b	face	restudy	object	face	scene	13	14	14	162	14	56.000
60.524	2.000	incorrect	0.278	practice a-b	face	test	scene	object	face	14	91	91	291	143	60.500
65.023	2.000	no response	n/a	practice a-b	no response	restudy	face	scene	object	15	112	112	88	216	65.000
69.522	2.000	incorrect	0.289	practice a-b	face	test	scene	object	face	16	89	89	289	141	69.500
74.022	2.000	incorrect	0.411	practice a-b	face	restudy	face	object	scene	17	60	60	60	112	74.000
78.521	2.000	correct	0.500	practice a-b	face	test	object	face	scene	18	5	5	153	5	78.500
83.020	2.000	incorrect	0.581	practice a-b	face	restudy	object	scene	face	19	134	134	186	238	83.000
87.520	2.000	no response	n/a	practice a-b	no response	restudy	face	object	scene	20	66	66	66	118	87.500
92.019	2.000	incorrect	0.282	practice a-b	object	test	object	scene	face	21	135	135	187	239	92.000
