onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.010	2.000	remember	0.332	updating	restudy	1	object	face	scene	target	object	other	forget	1	4	16	64	164	16	1.000	17
5.543	2.000	remember	0.439	updating	restudy	1	object	face	scene	target	object	competitor	forget	2	4	14	62	162	14	5.528	13
11.576	2.000	forget	0.319	updating	retprac	1	object	face	scene	other	scene	competitor	forget	3	4	13	61	161	13	11.561	1
16.792	2.000	remember	0.278	updating	restudy	1	face	scene	object	target	face	target	remember	4	4	110	38	86	214	16.771	22
22.758	2.000	forget	0.479	updating	restudy	1	scene	face	object	other	object	don't know	don't know	5	4	38	110	262	38	22.750	21
27.891	2.000	forget	0.290	updating	retprac	1	face	scene	object	competitor	scene	target	remember	6	4	109	37	85	213	27.871	3
37.790	2.000	forget	0.480	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	7	4	15	63	163	15	37.783	8
42.990	2.000	remember	0.359	updating	restudy	1	object	scene	face	target	object	competitor	forget	8	4	134	86	186	238	42.977	23
48.523	2.000	forget	0.722	updating	retprac	1	face	object	scene	other	scene	target	remember	9	4	63	15	63	115	48.514	7
58.439	2.000	remember	0.350	updating	retprac	1	face	object	scene	target	face	target	remember	10	4	61	13	61	113	58.420	6
63.221	2.000	forget	0.303	updating	retprac	1	face	scene	object	other	object	target	remember	11	4	111	39	87	215	63.195	12
68.255	2.000	remember	0.574	updating	restudy	1	face	object	scene	target	face	competitor	forget	12	4	62	14	62	114	68.243	20
77.270	2.000	remember	0.911	updating	restudy	1	face	scene	object	target	face	target	remember	13	4	112	40	88	216	77.257	14
86.420	2.000	forget	0.401	updating	retprac	1	scene	object	face	competitor	object	other	forget	14	4	87	135	287	139	86.403	5
91.136	2.000	forget	0.412	updating	retprac	1	object	scene	face	other	face	other	forget	15	4	135	87	187	239	91.119	9
95.952	2.000	remember	0.397	updating	restudy	1	face	object	scene	target	face	target	remember	16	4	64	16	64	116	95.938	19
100.985	2.000	forget	0.771	updating	retprac	1	scene	face	object	other	object	competitor	forget	17	4	37	109	261	37	100.965	2
106.385	2.000	remember	0.939	updating	retprac	1	scene	object	face	target	scene	competitor	forget	18	4	85	133	285	137	106.366	10
111.168	2.000	remember	0.268	updating	retprac	1	scene	face	object	target	scene	competitor	forget	19	4	39	111	263	39	111.157	4
117.684	2.000	remember	0.488	updating	restudy	1	scene	face	object	target	scene	competitor	forget	20	4	40	112	264	40	117.665	24
122.667	2.000	no response	n/a	updating	retprac	2	object	face	scene	no response	no response	competitor	forget	21	4	13	61	161	13	122.649	1
128.100	2.000	forget	0.288	updating	retprac	2	face	object	scene	other	scene	target	remember	22	4	63	15	63	115	128.085	7
132.816	2.000	forget	0.332	updating	restudy	1	scene	object	face	competitor	object	competitor	forget	23	4	86	134	286	138	132.789	15
138.182	2.000	forget	0.701	updating	retprac	2	face	scene	object	competitor	scene	target	remember	24	4	111	39	87	215	138.168	12
