onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.024	2.000	remember	0.534	updating	restudy	1	face	object	scene	target	face	target	remember	1	1	52	4	52	104	1.000	14
6.307	2.000	forget	0.939	updating	retprac	1	object	face	scene	other	scene	competitor	forget	2	1	3	51	151	3	6.297	12
11.540	2.000	forget	0.627	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	3	1	27	99	251	27	11.526	7
17.539	2.000	remember	0.578	updating	restudy	1	object	face	scene	target	object	competitor	forget	4	1	4	52	152	4	17.523	18
22.772	2.000	no response	n/a	updating	retprac	1	face	scene	object	no response	no response	target	remember	5	1	97	25	73	201	22.749	6
29.422	2.000	remember	0.288	updating	restudy	1	face	object	scene	target	face	target	remember	6	1	50	2	50	102	29.402	19
37.138	2.000	remember	0.620	updating	retprac	1	face	object	scene	target	face	target	remember	7	1	51	3	51	103	37.131	11
45.504	2.000	forget	0.477	updating	retprac	1	scene	object	face	competitor	object	target	remember	8	1	75	123	275	127	45.481	4
50.704	2.000	remember	0.350	updating	restudy	1	scene	face	object	target	scene	target	remember	9	1	28	100	252	28	50.681	20
56.386	2.000	remember	0.435	updating	restudy	1	scene	face	object	target	scene	other	forget	10	1	26	98	250	26	56.376	22
62.502	2.000	remember	0.543	updating	retprac	1	object	face	scene	target	object	target	remember	11	1	1	49	149	1	62.493	9
67.119	2.000	forget	0.494	updating	retprac	1	object	scene	face	competitor	scene	no response	no response	12	1	123	75	175	227	67.096	10
77.585	2.000	forget	0.532	updating	retprac	1	face	scene	object	other	object	target	remember	13	1	99	27	75	203	77.567	5
82.501	2.000	remember	0.400	updating	restudy	1	object	scene	face	target	object	other	forget	14	1	122	74	174	226	82.484	13
87.384	2.000	remember	0.413	updating	restudy	1	object	face	scene	target	object	target	remember	15	1	2	50	150	2	87.361	23
94.616	2.000	remember	0.388	updating	restudy	1	object	scene	face	target	object	competitor	forget	16	1	124	76	176	228	94.602	15
100.049	2.000	no response	n/a	updating	retprac	2	object	face	scene	no response	no response	competitor	forget	17	1	3	51	151	3	100.027	12
104.599	2.000	remember	0.365	updating	restudy	1	scene	object	face	target	scene	no response	no response	18	1	74	122	274	126	104.586	16
109.232	2.000	remember	0.620	updating	restudy	2	face	object	scene	target	face	target	remember	19	1	50	2	50	102	109.215	19
115.165	2.000	remember	0.511	updating	restudy	2	face	object	scene	target	face	target	remember	20	1	52	4	52	104	115.147	14
120.614	2.000	remember	0.805	updating	retprac	2	scene	face	object	target	scene	competitor	forget	21	1	27	99	251	27	120.596	7
130.980	2.000	remember	0.519	updating	restudy	1	face	scene	object	target	face	target	remember	22	1	98	26	74	202	130.958	24
137.763	2.000	forget	0.768	updating	retprac	1	face	object	scene	other	scene	other	forget	23	1	49	1	49	101	137.746	2
142.929	2.000	remember	0.330	updating	restudy	2	object	face	scene	target	object	competitor	forget	24	1	4	52	152	4	142.914	18
151.145	2.000	remember	0.410	updating	restudy	1	scene	object	face	target	scene	other	forget	25	1	76	124	276	128	151.136	17
155.845	2.000	forget	0.454	updating	retprac	2	face	scene	object	competitor	scene	target	remember	26	1	97	25	73	201	155.837	6
160.378	2.000	remember	0.313	updating	restudy	2	object	scene	face	target	object	other	forget	27	1	122	74	174	226	160.364	13
165.111	2.000	forget	0.684	updating	retprac	1	scene	face	object	other	object	target	remember	28	1	25	97	249	25	165.101	1
169.660	2.000	forget	0.671	updating	retprac	1	scene	object	face	other	face	other	forget	29	1	73	121	273	125	169.650	3
177.943	2.000	remember	0.332	updating	restudy	2	scene	face	object	target	scene	target	remember	30	1	28	100	252	28	177.923	20
183.460	2.000	forget	0.335	updating	restudy	2	object	scene	face	competitor	scene	competitor	forget	31	1	124	76	176	228	183.447	15
188.159	2.000	forget	0.788	updating	retprac	2	scene	object	face	other	face	target	remember	32	1	75	123	275	127	188.147	4
194.008	2.000	forget	0.530	updating	retprac	1	object	scene	face	competitor	scene	competitor	forget	33	1	121	73	173	225	193.987	8
202.124	2.000	remember	0.317	updating	restudy	3	face	object	scene	target	face	target	remember	34	1	50	2	50	102	202.108	19
207.207	2.000	no response	n/a	updating	retprac	2	face	object	scene	no response	no response	other	forget	35	1	49	1	49	101	207.196	2
212.707	2.000	remember	0.671	updating	retprac	2	face	scene	object	target	face	target	remember	36	1	99	27	75	203	212.689	5
221.589	2.000	remember	0.412	updating	restudy	1	face	scene	object	target	face	competitor	forget	37	1	100	28	76	204	221.579	21
229.222	2.000	remember	0.459	updating	retprac	3	scene	face	object	target	scene	competitor	forget	38	1	27	99	251	27	229.209	7
234.438	2.000	forget	0.547	updating	retprac	2	face	object	scene	competitor	object	target	remember	39	1	51	3	51	103	234.428	11
240.405	2.000	remember	0.477	updating	retprac	2	object	scene	face	target	object	no response	no response	40	1	123	75	175	227	240.388	10
245.454	2.000	remember	0.419	updating	restudy	2	scene	face	object	target	scene	other	forget	41	1	26	98	250	26	245.446	22
250.037	2.000	remember	0.404	updating	restudy	2	face	scene	object	target	face	target	remember	42	1	98	26	74	202	250.026	24
254.887	2.000	forget	0.450	updating	retprac	2	scene	object	face	competitor	object	other	forget	43	1	73	121	273	125	254.867	3
260.003	2.000	remember	0.558	updating	retprac	2	object	face	scene	target	object	target	remember	44	1	1	49	149	1	259.982	9
265.269	2.000	remember	0.379	updating	restudy	3	object	scene	face	target	object	competitor	forget	45	1	124	76	176	228	265.253	15
270.219	2.000	remember	0.358	updating	restudy	2	object	face	scene	target	object	target	remember	46	1	2	50	150	2	270.207	23
274.952	2.000	remember	0.344	updating	restudy	2	scene	object	face	target	scene	no response	no response	47	1	74	122	274	126	274.932	16
279.585	2.000	remember	0.575	updating	retprac	2	scene	face	object	target	scene	target	remember	48	1	25	97	249	25	279.568	1
287.501	2.000	remember	0.701	updating	restudy	3	face	object	scene	target	face	target	remember	49	1	52	4	52	104	287.487	14
292.217	2.000	remember	0.495	updating	retprac	3	scene	object	face	target	scene	target	remember	50	1	75	123	275	127	292.208	4
297.283	2.000	remember	0.660	updating	retprac	3	face	object	scene	target	face	other	forget	51	1	49	1	49	101	297.268	2
303.350	2.000	remember	0.306	updating	restudy	2	face	scene	object	target	face	competitor	forget	52	1	100	28	76	204	303.334	21
308.516	2.000	remember	0.469	updating	retprac	3	object	face	scene	target	object	competitor	forget	53	1	3	51	151	3	308.496	12
318.065	2.000	remember	0.327	updating	restudy	2	scene	object	face	target	scene	other	forget	54	1	76	124	276	128	318.053	17
322.848	2.000	no response	n/a	updating	retprac	3	face	scene	object	no response	no response	target	remember	55	1	99	27	75	203	322.829	5
331.831	2.000	remember	0.785	updating	restudy	3	object	scene	face	target	object	other	forget	56	1	122	74	174	226	331.816	13
336.563	2.000	forget	0.372	updating	retprac	2	object	scene	face	competitor	scene	competitor	forget	57	1	121	73	173	225	336.542	8
341.513	2.000	remember	0.326	updating	restudy	3	object	face	scene	target	object	target	remember	58	1	2	50	150	2	341.493	23
346.863	2.000	remember	0.328	updating	restudy	3	object	face	scene	target	object	competitor	forget	59	1	4	52	152	4	346.847	18
355.745	2.000	remember	0.605	updating	retprac	3	scene	face	object	target	scene	target	remember	60	1	25	97	249	25	355.724	1
361.011	2.000	remember	0.587	updating	retprac	3	face	scene	object	target	face	target	remember	61	1	97	25	73	201	360.991	6
365.544	2.000	remember	0.326	updating	restudy	3	scene	object	face	target	scene	no response	no response	62	1	74	122	274	126	365.527	16
370.344	2.000	forget	0.407	updating	retprac	3	scene	object	face	competitor	object	other	forget	63	1	73	121	273	125	370.335	3
375.877	2.000	remember	0.402	updating	retprac	3	object	scene	face	target	object	no response	no response	64	1	123	75	175	227	375.869	10
381.693	2.000	remember	0.594	updating	restudy	3	scene	face	object	target	scene	target	remember	65	1	28	100	252	28	381.672	20
386.543	2.000	remember	0.391	updating	restudy	3	scene	face	object	target	scene	other	forget	66	1	26	98	250	26	386.520	22
391.359	2.000	remember	0.360	updating	restudy	3	face	scene	object	target	face	competitor	forget	67	1	100	28	76	204	391.349	21
399.392	2.000	no response	n/a	updating	restudy	3	face	scene	object	no response	no response	target	remember	68	1	98	26	74	202	399.376	24
404.475	2.000	no response	n/a	updating	retprac	3	face	object	scene	no response	no response	target	remember	69	1	51	3	51	103	404.459	11
410.624	2.000	remember	0.629	updating	retprac	3	object	face	scene	target	object	target	remember	70	1	1	49	149	1	410.608	9
420.073	2.000	forget	0.980	updating	retprac	3	object	scene	face	competitor	scene	competitor	forget	71	1	121	73	173	225	420.064	8
425.040	2.000	forget	0.397	updating	restudy	3	scene	object	face	competitor	object	other	forget	72	1	76	124	276	128	425.017	17
