onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.024	2.000	remember	0.271	updating	restudy	1	face	object	scene	target	face	target	remember	1	2	55	7	55	107	1.000	16
5.907	2.000	remember	0.468	updating	restudy	1	scene	face	object	target	scene	competitor	forget	2	2	29	101	253	29	5.898	20
10.773	2.000	forget	0.362	updating	retprac	1	face	object	scene	other	scene	target	remember	3	2	56	8	56	108	10.754	11
18.456	2.000	remember	0.279	updating	restudy	1	scene	object	face	target	scene	target	remember	4	2	77	125	277	129	18.443	17
25.256	2.000	remember	0.303	updating	retprac	1	object	scene	face	target	object	competitor	forget	5	2	128	80	180	232	25.239	8
30.039	2.000	remember	0.400	updating	retprac	1	face	scene	object	target	face	target	remember	6	2	104	32	80	208	30.026	12
35.005	2.000	remember	0.338	updating	retprac	1	face	object	scene	target	face	target	remember	7	2	54	6	54	106	34.992	7
40.304	2.000	forget	0.279	updating	retprac	1	scene	face	object	other	object	competitor	forget	8	2	30	102	254	30	40.296	3
45.538	2.000	remember	0.357	updating	restudy	1	face	scene	object	target	face	competitor	forget	9	2	101	29	77	205	45.526	24
50.404	2.000	remember	0.274	updating	retprac	1	face	scene	object	target	face	target	remember	10	2	102	30	78	206	50.389	6
55.453	2.000	remember	0.313	updating	restudy	1	face	scene	object	target	face	target	remember	11	2	103	31	79	207	55.433	19
60.903	2.000	remember	0.263	updating	restudy	1	scene	face	object	target	scene	target	remember	12	2	31	103	255	31	60.878	13
71.252	2.000	forget	0.250	updating	retprac	1	scene	object	face	other	face	competitor	forget	13	2	80	128	280	132	71.242	1
76.269	2.000	remember	0.338	updating	restudy	2	face	object	scene	target	face	target	remember	14	2	55	7	55	107	76.256	16
82.018	2.000	remember	0.252	updating	retprac	1	scene	object	face	target	scene	target	remember	15	2	78	126	278	130	82.001	9
88.885	2.000	remember	0.242	updating	retprac	2	face	object	scene	target	face	target	remember	16	2	56	8	56	108	88.867	11
93.401	2.000	remember	0.477	updating	restudy	1	face	object	scene	target	face	target	remember	17	2	53	5	53	105	93.394	21
98.084	2.000	remember	0.266	updating	retprac	2	object	scene	face	target	object	competitor	forget	18	2	128	80	180	232	98.062	8
102.750	2.000	forget	0.256	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	19	2	32	104	256	32	102.729	5
107.517	2.000	remember	0.290	updating	restudy	2	scene	face	object	target	scene	competitor	forget	20	2	29	101	253	29	107.504	20
113.633	2.000	remember	0.366	updating	restudy	2	face	scene	object	target	face	competitor	forget	21	2	101	29	77	205	113.619	24
121.532	2.000	remember	0.354	updating	restudy	1	object	scene	face	target	object	competitor	forget	22	2	125	77	177	229	121.514	18
126.532	2.000	remember	0.218	updating	retprac	2	face	scene	object	target	face	target	remember	23	2	102	30	78	206	126.513	6
131.248	2.000	remember	0.342	updating	restudy	1	object	face	scene	target	object	target	remember	24	2	5	53	153	5	131.234	22
137.948	2.000	remember	0.706	updating	restudy	1	scene	object	face	target	scene	competitor	forget	25	2	79	127	279	131	137.925	23
143.381	2.000	remember	0.329	updating	restudy	2	scene	object	face	target	scene	target	remember	26	2	77	125	277	129	143.365	17
148.614	2.000	remember	0.304	updating	restudy	2	face	scene	object	target	face	target	remember	27	2	103	31	79	207	148.601	19
156.080	2.000	forget	0.430	updating	retprac	1	object	scene	face	competitor	scene	target	remember	28	2	126	78	178	230	156.062	4
165.246	2.000	forget	0.240	updating	retprac	2	scene	face	object	other	object	competitor	forget	29	2	30	102	254	30	165.228	3
175.545	2.000	remember	0.252	updating	retprac	2	face	object	scene	target	face	target	remember	30	2	54	6	54	106	175.532	7
180.778	2.000	remember	0.315	updating	retprac	3	object	scene	face	target	object	competitor	forget	31	2	128	80	180	232	180.762	8
185.594	2.000	remember	0.219	updating	restudy	3	face	object	scene	target	face	target	remember	32	2	55	7	55	107	185.582	16
190.311	2.000	remember	0.279	updating	retprac	2	scene	object	face	target	scene	target	remember	33	2	78	126	278	130	190.290	9
195.027	2.000	remember	0.234	updating	retprac	2	face	scene	object	target	face	target	remember	34	2	104	32	80	208	195.018	12
199.693	2.000	remember	0.256	updating	retprac	2	scene	face	object	target	scene	competitor	forget	35	2	32	104	256	32	199.678	5
207.776	2.000	remember	0.277	updating	restudy	2	scene	face	object	target	scene	target	remember	36	2	31	103	255	31	207.759	13
215.776	2.000	remember	0.885	updating	retprac	1	object	face	scene	target	object	target	remember	37	2	6	54	154	6	215.754	2
220.525	2.000	remember	0.264	updating	restudy	2	scene	object	face	target	scene	competitor	forget	38	2	79	127	279	131	220.509	23
226.692	2.000	remember	0.377	updating	restudy	1	object	scene	face	target	object	other	forget	39	2	127	79	179	231	226.678	14
232.008	2.000	remember	0.245	updating	retprac	2	object	scene	face	target	object	target	remember	40	2	126	78	178	230	231.993	4
238.307	2.000	remember	0.346	updating	restudy	2	object	scene	face	target	object	competitor	forget	41	2	125	77	177	229	238.299	18
246.057	2.000	forget	0.500	updating	retprac	1	object	face	scene	competitor	face	competitor	forget	42	2	8	56	156	8	246.047	10
251.057	2.000	remember	0.436	updating	restudy	1	object	face	scene	target	object	competitor	forget	43	2	7	55	155	7	251.046	15
255.890	2.000	remember	0.356	updating	restudy	3	scene	object	face	target	scene	target	remember	44	2	77	125	277	129	255.872	17
260.756	2.000	remember	0.217	updating	restudy	3	face	scene	object	target	face	target	remember	45	2	103	31	79	207	260.744	19
265.555	2.000	remember	0.745	updating	retprac	2	scene	object	face	target	scene	competitor	forget	46	2	80	128	280	132	265.548	1
274.138	2.000	remember	0.330	updating	restudy	3	face	scene	object	target	face	competitor	forget	47	2	101	29	77	205	274.120	24
279.021	2.000	no response	n/a	updating	restudy	2	object	face	scene	no response	no response	target	remember	48	2	5	53	153	5	279.000	22
284.487	2.000	remember	0.214	updating	retprac	3	face	object	scene	target	face	target	remember	49	2	56	8	56	108	284.469	11
289.971	2.000	no response	n/a	updating	restudy	2	face	object	scene	no response	no response	target	remember	50	2	53	5	53	105	289.954	21
294.637	2.000	remember	0.359	updating	restudy	2	object	scene	face	target	object	other	forget	51	2	127	79	179	231	294.625	14
299.853	2.000	remember	0.231	updating	restudy	3	scene	face	object	target	scene	target	remember	52	2	31	103	255	31	299.829	13
308.286	2.000	remember	0.255	updating	restudy	3	scene	face	object	target	scene	competitor	forget	53	2	29	101	253	29	308.267	20
313.569	2.000	remember	0.243	updating	retprac	3	scene	face	object	target	scene	competitor	forget	54	2	32	104	256	32	313.549	5
318.402	2.000	remember	0.242	updating	retprac	2	object	face	scene	target	object	target	remember	55	2	6	54	154	6	318.389	2
326.885	2.000	remember	0.224	updating	retprac	3	face	scene	object	target	face	target	remember	56	2	102	30	78	206	326.866	6
333.368	2.000	remember	0.276	updating	retprac	2	object	face	scene	target	object	competitor	forget	57	2	8	56	156	8	333.347	10
338.600	2.000	remember	0.372	updating	restudy	2	object	face	scene	target	object	competitor	forget	58	2	7	55	155	7	338.588	15
343.733	2.000	remember	0.326	updating	retprac	3	object	scene	face	target	object	target	remember	59	2	126	78	178	230	343.712	4
353.983	2.000	remember	0.365	updating	retprac	3	scene	face	object	target	scene	competitor	forget	60	2	30	102	254	30	353.974	3
358.666	2.000	remember	0.338	updating	retprac	3	scene	object	face	target	scene	target	remember	61	2	78	126	278	130	358.658	9
363.715	2.000	remember	0.264	updating	retprac	3	face	scene	object	target	face	target	remember	62	2	104	32	80	208	363.703	12
369.165	2.000	remember	0.310	updating	retprac	3	face	object	scene	target	face	target	remember	63	2	54	6	54	106	369.155	7
377.814	2.000	no response	n/a	updating	restudy	3	object	scene	face	no response	no response	competitor	forget	64	2	125	77	177	229	377.798	18
387.414	2.000	remember	0.238	updating	restudy	3	scene	object	face	target	scene	competitor	forget	65	2	79	127	279	131	387.402	23
391.997	2.000	remember	0.286	updating	restudy	3	face	object	scene	target	face	target	remember	66	2	53	5	53	105	391.987	21
397.963	2.000	remember	0.664	updating	restudy	3	object	face	scene	target	object	target	remember	67	2	5	53	153	5	397.953	22
402.846	2.000	remember	0.261	updating	retprac	3	object	face	scene	target	object	target	remember	68	2	6	54	154	6	402.824	2
408.745	2.000	remember	0.569	updating	retprac	3	scene	object	face	target	scene	competitor	forget	69	2	80	128	280	132	408.735	1
413.395	2.000	remember	0.328	updating	retprac	3	object	face	scene	target	object	competitor	forget	70	2	8	56	156	8	413.389	10
419.495	2.000	remember	0.548	updating	restudy	3	object	scene	face	target	object	other	forget	71	2	127	79	179	231	419.473	14
426.294	2.000	remember	0.333	updating	restudy	3	object	face	scene	target	object	competitor	forget	72	2	7	55	155	7	426.279	15
