onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.009	2.000	don't know	0.654	updating	retprac	1	object	face	scene	don't know	don't know	other	forget	1	3	9	57	157	9	1.000	7
6.775	2.000	forget	0.416	updating	retprac	1	object	face	scene	competitor	face	target	remember	2	3	11	59	159	11	6.755	10
11.291	2.000	forget	0.435	updating	retprac	1	scene	face	object	competitor	face	other	forget	3	3	33	105	257	33	11.276	1
16.324	2.000	forget	0.514	updating	retprac	1	face	object	scene	competitor	object	competitor	forget	4	3	57	9	57	109	16.303	2
21.523	2.000	remember	0.403	updating	restudy	1	face	scene	object	target	face	other	forget	5	3	108	36	84	212	21.515	17
27.789	2.000	remember	0.376	updating	restudy	1	scene	face	object	target	scene	competitor	forget	6	3	34	106	258	34	27.777	24
36.555	2.000	remember	0.642	updating	retprac	1	object	scene	face	target	object	competitor	forget	7	3	131	83	183	235	36.539	3
41.521	2.000	remember	0.316	updating	restudy	1	scene	object	face	target	scene	other	forget	8	3	84	132	284	136	41.508	21
46.088	2.000	remember	0.317	updating	restudy	1	object	scene	face	target	object	target	remember	9	3	130	82	182	234	46.064	15
50.620	2.000	remember	0.921	updating	retprac	1	face	object	scene	target	face	target	remember	10	3	59	11	59	111	50.598	8
56.186	2.000	remember	0.394	updating	retprac	1	scene	object	face	target	scene	other	forget	11	3	81	129	281	133	56.167	6
63.736	2.000	forget	0.445	updating	retprac	1	object	scene	face	competitor	scene	other	forget	12	3	129	81	181	233	63.724	11
68.469	2.000	remember	0.417	updating	restudy	1	object	face	scene	target	object	competitor	forget	13	3	10	58	158	10	68.447	18
73.968	2.000	remember	0.372	updating	restudy	1	face	object	scene	target	face	other	forget	14	3	58	10	58	110	73.961	20
79.001	2.000	remember	0.363	updating	restudy	1	face	scene	object	target	face	target	remember	15	3	106	34	82	210	78.992	14
83.717	2.000	remember	0.438	updating	restudy	1	object	scene	face	target	object	other	forget	16	3	132	84	184	236	83.701	13
88.716	2.000	remember	0.391	updating	retprac	1	face	scene	object	target	face	target	remember	17	3	107	35	83	211	88.703	12
94.766	2.000	remember	0.397	updating	restudy	1	scene	face	object	target	scene	target	remember	18	3	36	108	260	36	94.747	22
104.715	2.000	forget	0.400	updating	retprac	1	scene	face	object	competitor	face	competitor	forget	19	3	35	107	259	35	104.693	9
109.681	2.000	remember	0.514	updating	restudy	1	scene	object	face	target	scene	target	remember	20	3	82	130	282	134	109.674	19
114.681	2.000	remember	0.330	updating	restudy	2	scene	face	object	target	scene	competitor	forget	21	3	34	106	258	34	114.657	24
121.080	2.000	remember	0.402	updating	restudy	2	face	scene	object	target	face	other	forget	22	3	108	36	84	212	121.070	17
126.063	2.000	remember	0.699	updating	restudy	2	object	scene	face	target	object	target	remember	23	3	130	82	182	234	126.053	15
131.362	2.000	remember	0.527	updating	restudy	2	scene	object	face	target	scene	other	forget	24	3	84	132	284	136	131.348	21
137.162	2.000	forget	0.417	updating	retprac	2	scene	face	object	other	object	other	forget	25	3	33	105	257	33	137.152	1
142.044	2.000	no response	n/a	updating	retprac	2	object	scene	face	no response	no response	competitor	forget	26	3	131	83	183	235	142.024	3
146.844	2.000	remember	0.477	updating	restudy	1	object	face	scene	target	object	competitor	forget	27	3	12	60	160	12	146.834	16
156.710	2.000	remember	0.395	updating	restudy	1	face	object	scene	target	face	target	remember	28	3	60	12	60	112	156.693	23
161.326	2.000	forget	0.691	updating	retprac	2	object	face	scene	other	scene	other	forget	29	3	9	57	157	9	161.305	7
166.292	2.000	remember	0.660	updating	retprac	2	face	object	scene	target	face	competitor	forget	30	3	57	9	57	109	166.272	2
176.425	2.000	forget	0.391	updating	retprac	2	object	scene	face	competitor	scene	other	forget	31	3	129	81	181	233	176.409	11
181.474	2.000	forget	0.782	updating	retprac	2	scene	object	face	other	face	other	forget	32	3	81	129	281	133	181.460	6
187.973	2.000	remember	0.450	updating	retprac	2	object	face	scene	target	object	target	remember	33	3	11	59	159	11	187.954	10
194.006	2.000	forget	0.465	updating	retprac	1	face	scene	object	competitor	scene	target	remember	34	3	105	33	81	209	193.993	4
199.789	2.000	forget	0.474	updating	retprac	1	scene	object	face	other	face	target	remember	35	3	83	131	283	135	199.770	5
209.354	2.000	remember	0.364	updating	restudy	2	object	scene	face	target	object	other	forget	36	3	132	84	184	236	209.340	13
214.404	2.000	remember	0.386	updating	restudy	3	scene	object	face	target	scene	other	forget	37	3	84	132	284	136	214.387	21
223.453	2.000	remember	0.457	updating	restudy	2	object	face	scene	target	object	competitor	forget	38	3	10	58	158	10	223.430	18
228.619	2.000	forget	0.634	updating	retprac	2	face	object	scene	competitor	object	target	remember	39	3	59	11	59	111	228.606	8
234.718	2.000	remember	0.751	updating	retprac	2	scene	face	object	target	scene	competitor	forget	40	3	35	107	259	35	234.702	9
239.285	2.000	remember	0.360	updating	restudy	2	scene	face	object	target	scene	target	remember	41	3	36	108	260	36	239.272	22
244.534	2.000	remember	0.311	updating	restudy	3	face	scene	object	target	face	other	forget	42	3	108	36	84	212	244.523	17
249.350	2.000	forget	0.670	updating	retprac	3	object	face	scene	competitor	face	other	forget	43	3	9	57	157	9	249.328	7
254.300	2.000	remember	0.361	updating	restudy	3	object	scene	face	target	object	target	remember	44	3	130	82	182	234	254.291	15
259.099	2.000	remember	0.377	updating	restudy	2	face	scene	object	target	face	target	remember	45	3	106	34	82	210	259.086	14
268.748	2.000	remember	0.680	updating	restudy	2	face	object	scene	target	face	other	forget	46	3	58	10	58	110	268.732	20
273.798	2.000	remember	0.526	updating	retprac	2	face	scene	object	target	face	target	remember	47	3	107	35	83	211	273.785	12
278.331	2.000	remember	0.321	updating	restudy	3	scene	face	object	target	scene	competitor	forget	48	3	34	106	258	34	278.311	24
283.530	2.000	remember	0.385	updating	retprac	3	object	face	scene	target	object	target	remember	49	3	11	59	159	11	283.515	10
288.180	2.000	forget	0.616	updating	retprac	2	face	scene	object	competitor	scene	target	remember	50	3	105	33	81	209	288.166	4
292.779	2.000	forget	0.600	updating	retprac	3	scene	face	object	competitor	face	other	forget	51	3	33	105	257	33	292.769	1
301.745	2.000	remember	0.842	updating	retprac	2	scene	object	face	target	scene	target	remember	52	3	83	131	283	135	301.731	5
306.811	2.000	remember	0.311	updating	restudy	2	face	object	scene	target	face	target	remember	53	3	60	12	60	112	306.802	23
311.444	2.000	remember	0.382	updating	restudy	2	scene	object	face	target	scene	target	remember	54	3	82	130	282	134	311.434	19
317.110	2.000	remember	0.404	updating	restudy	3	scene	face	object	target	scene	target	remember	55	3	36	108	260	36	317.093	22
