onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
1.516	4.000	weak related	2.275	learn a-c	test	scene	face	object	1	41	113	265	41	1.500
6.015	4.000	weak unrelated	1.709	learn a-c	test	face	scene	object	2	119	47	95	223	6.000
10.514	4.000	weak related	2.046	learn a-c	restudy	object	scene	face	3	126	78	178	230	10.500
15.013	4.000	strong unrelated	2.899	learn a-c	test	face	object	scene	4	51	3	51	103	15.000
19.512	4.000	weak related	2.822	learn a-c	restudy	scene	face	object	5	48	120	272	48	19.500
24.010	4.000	weak unrelated	2.725	learn a-c	restudy	object	scene	face	6	136	88	188	240	24.000
28.509	4.000	weak related	2.703	learn a-c	test	scene	face	object	7	31	103	255	31	28.500
33.008	4.000	weak related	1.619	learn a-c	test	scene	face	object	8	39	111	263	39	33.000
37.507	4.000	weak unrelated	2.005	learn a-c	test	scene	face	object	9	37	109	261	37	37.500
42.022	4.000	weak related	1.281	learn a-c	test	object	scene	face	10	143	95	195	247	42.000
46.521	4.000	weak unrelated	1.770	learn a-c	restudy	scene	object	face	11	90	138	290	142	46.500
51.020	4.000	weak related	2.060	learn a-c	restudy	scene	face	object	12	40	112	264	40	51.000
55.519	4.000	weak unrelated	2.390	learn a-c	restudy	object	scene	face	13	138	90	190	242	55.500
60.018	4.000	weak unrelated	1.605	learn a-c	restudy	scene	object	face	14	88	136	288	140	60.000
64.516	4.000	weak related	2.592	learn a-c	restudy	object	scene	face	15	144	96	196	248	64.500
69.015	4.000	weak unrelated	1.888	learn a-c	restudy	object	face	scene	16	4	52	152	4	69.000
73.514	4.000	weak unrelated	1.602	learn a-c	restudy	face	scene	object	17	118	46	94	222	73.500
78.013	4.000	weak related	1.613	learn a-c	test	face	object	scene	18	67	19	67	119	78.000
82.512	4.000	no response	n/a	learn a-c	test	object	face	scene	19	19	67	167	19	82.500
87.011	4.000	weak unrelated	2.434	learn a-c	test	object	face	scene	20	21	69	169	21	87.000
91.509	4.000	weak unrelated	2.390	learn a-c	restudy	scene	object	face	21	78	126	278	130	91.500
96.008	4.000	weak unrelated	2.417	learn a-c	test	face	scene	object	22	103	31	79	207	96.000
100.507	4.000	weak related	3.481	learn a-c	test	face	scene	object	23	99	27	75	203	100.500
105.023	4.000	weak unrelated	3.017	learn a-c	restudy	scene	object	face	24	86	134	286	138	105.000
109.522	4.000	weak related	2.729	learn a-c	test	object	face	scene	25	5	53	153	5	109.500
114.020	4.000	weak unrelated	2.262	learn a-c	test	face	object	scene	26	49	1	49	101	114.000
118.519	4.000	weak related	1.823	learn a-c	test	face	object	scene	27	55	7	55	107	118.500
123.018	4.000	weak unrelated	2.613	learn a-c	test	face	scene	object	28	101	29	77	205	123.000
127.517	4.000	weak related	2.133	learn a-c	test	object	scene	face	29	135	87	187	239	127.500
132.016	4.000	weak related	1.680	learn a-c	restudy	object	face	scene	30	20	68	168	20	132.000
136.515	4.000	weak related	2.744	learn a-c	restudy	scene	face	object	31	38	110	262	38	136.500
141.013	4.000	weak related	2.431	learn a-c	test	scene	object	face	32	83	131	283	135	141.000
145.512	4.000	weak related	1.259	learn a-c	test	scene	object	face	33	93	141	293	145	145.500
150.011	4.000	weak related	1.942	learn a-c	test	object	face	scene	34	3	51	151	3	150.000
154.510	4.000	weak unrelated	3.064	learn a-c	test	object	scene	face	35	129	81	181	233	154.500
159.009	4.000	weak related	3.296	learn a-c	restudy	object	scene	face	36	130	82	182	234	159.000
163.524	4.000	weak unrelated	1.760	learn a-c	test	scene	object	face	37	95	143	295	147	163.500
