onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.018	2.000	object	2.933	localizer	strong unrelated	1	1	1	73	101	2.0	n/a
6.017	2.000	object	2.653	localizer	weak unrelated	2	1	1	74	102	6.0	n/a
10.017	2.000	object	2.102	localizer	weak unrelated	3	1	1	75	103	10.0	n/a
14.017	2.000	object	1.605	localizer	weak unrelated	4	1	1	76	104	14.0	n/a
18.016	2.000	object	1.949	localizer	weak unrelated	5	1	1	77	105	18.0	n/a
22.016	2.000	object	1.822	localizer	weak related	6	1	1	78	106	22.0	n/a
26.056	1.202	incorrect	1.202	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
27.784	0.337	incorrect	0.337	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
28.633	0.488	incorrect	0.488	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
29.633	0.344	incorrect	0.344	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
30.499	0.462	incorrect	0.462	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
31.483	0.486	incorrect	0.486	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
32.483	0.455	incorrect	0.455	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
33.449	0.440	incorrect	0.440	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
34.399	0.346	incorrect	0.346	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
35.266	0.335	incorrect	0.335	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
36.116	0.325	incorrect	0.325	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
36.949	0.100	incorrect	0.100	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
38.015	2.000	face	2.447	localizer	weak unrelated	7	1	2	1	1	38.0	n/a
42.014	2.000	face	2.975	localizer	weak related	8	1	2	2	2	42.0	n/a
46.014	2.000	face	2.007	localizer	weak related	9	1	2	3	3	46.0	n/a
50.013	2.000	face	1.431	localizer	weak related	10	1	2	4	4	50.0	n/a
54.013	2.000	face	1.056	localizer	weak related	11	1	2	5	5	54.0	n/a
58.013	2.000	face	2.016	localizer	weak related	12	1	2	6	6	58.0	n/a
62.051	1.053	incorrect	1.053	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
63.614	0.451	incorrect	0.451	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
64.580	0.413	incorrect	0.413	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
65.513	0.383	incorrect	0.383	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
66.413	0.419	incorrect	0.419	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
67.346	0.398	incorrect	0.398	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
68.263	0.449	incorrect	0.449	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
69.229	0.363	incorrect	0.363	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
70.113	0.447	incorrect	0.447	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
71.079	0.466	incorrect	0.466	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
72.062	0.345	incorrect	0.345	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
72.929	0.100	incorrect	0.100	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
74.011	2.000	scene	2.009	localizer	strong unrelated	13	1	3	145	201	74.0	n/a
78.011	2.000	scene	2.081	localizer	weak unrelated	14	1	3	146	202	78.0	n/a
82.011	2.000	scene	1.961	localizer	weak unrelated	15	1	3	147	203	82.0	n/a
86.010	2.000	scene	2.649	localizer	weak related	16	1	3	148	204	86.0	n/a
90.010	2.000	scene	2.082	localizer	weak unrelated	17	1	3	149	205	90.0	n/a
94.009	2.000	scene	1.690	localizer	weak unrelated	18	1	3	150	206	94.0	n/a
98.049	1.055	incorrect	1.055	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
99.627	0.436	incorrect	0.436	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
100.577	0.415	incorrect	0.415	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
101.510	0.369	incorrect	0.369	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
102.393	0.366	incorrect	0.366	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
103.276	0.444	incorrect	0.444	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
104.243	0.388	incorrect	0.388	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
105.143	0.392	incorrect	0.392	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
106.043	0.340	incorrect	0.340	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
