onset	duration	trial_type	response_time	task_type	update_cond	repetition	cate_c	cate_b	cate_o	response_type	response	subs_response	subs_score	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	item_position
1.010	2.000	forget	0.373	updating	retprac	1	face	scene	object	competitor	scene	target	remember	1	5	114	42	90	218	1.000	2
5.659	2.000	forget	0.228	updating	retprac	1	object	face	scene	competitor	face	target	remember	2	5	20	68	168	20	5.649	5
11.076	2.000	remember	0.349	updating	restudy	1	object	scene	face	target	object	competitor	forget	3	5	137	89	189	241	11.063	13
15.959	2.000	forget	0.392	updating	retprac	1	face	scene	object	competitor	scene	target	remember	4	5	116	44	92	220	15.948	8
22.625	2.000	remember	0.230	updating	restudy	1	scene	face	object	target	scene	target	remember	5	5	43	115	267	43	22.600	24
32.257	2.000	remember	0.286	updating	retprac	1	object	face	scene	target	object	target	remember	6	5	18	66	166	18	32.243	9
40.740	2.000	forget	0.362	updating	retprac	1	object	scene	face	competitor	scene	target	remember	7	5	138	90	190	242	40.727	1
49.906	2.000	remember	0.373	updating	restudy	1	object	face	scene	target	object	competitor	forget	8	5	17	65	165	17	49.876	23
55.073	2.000	remember	0.702	updating	restudy	1	scene	face	object	target	scene	competitor	forget	9	5	41	113	265	41	55.051	17
60.072	2.000	remember	0.350	updating	retprac	1	face	object	scene	target	face	target	remember	10	5	66	18	66	118	60.057	3
69.755	2.000	remember	0.372	updating	restudy	1	object	scene	face	target	object	target	remember	11	5	139	91	191	243	69.745	19
74.338	2.000	remember	0.828	updating	retprac	1	scene	object	face	target	scene	target	remember	12	5	90	138	290	142	74.317	10
84.270	2.000	remember	0.217	updating	restudy	1	face	object	scene	target	face	target	remember	13	5	65	17	65	117	84.250	22
88.853	2.000	remember	0.249	updating	restudy	1	face	scene	object	target	face	competitor	forget	14	5	113	41	89	217	88.837	21
94.220	2.000	remember	0.738	updating	retprac	2	object	face	scene	target	object	target	remember	15	5	20	68	168	20	94.197	5
101.019	2.000	remember	0.283	updating	restudy	1	face	scene	object	target	face	competitor	forget	16	5	115	43	91	219	101.011	15
107.819	2.000	remember	0.307	updating	retprac	2	face	scene	object	target	face	target	remember	17	5	116	44	92	220	107.794	8
112.518	2.000	no response	n/a	updating	restudy	2	object	scene	face	no response	no response	competitor	forget	18	5	137	89	189	241	112.506	13
117.552	2.000	forget	0.271	updating	retprac	1	face	object	scene	competitor	object	target	remember	19	5	68	20	68	120	117.545	7
122.851	2.000	remember	0.403	updating	restudy	1	face	object	scene	target	face	competitor	forget	20	5	67	19	67	119	122.835	20
127.651	2.000	forget	0.268	updating	retprac	1	scene	face	object	other	object	competitor	forget	21	5	44	116	268	44	127.641	6
136.833	2.000	remember	0.180	updating	restudy	1	scene	object	face	target	scene	competitor	forget	22	5	91	139	291	143	136.817	18
141.567	2.000	remember	0.311	updating	restudy	1	object	face	scene	target	object	target	remember	23	5	19	67	167	19	141.547	16
147.099	2.000	no response	n/a	updating	restudy	2	object	scene	face	no response	no response	target	remember	24	5	139	91	191	243	147.078	19
152.716	2.000	remember	0.290	updating	restudy	2	face	scene	object	target	face	competitor	forget	25	5	113	41	89	217	152.702	21
157.232	2.000	remember	0.381	updating	restudy	1	scene	object	face	target	scene	competitor	forget	26	5	89	137	289	141	157.220	14
162.232	2.000	remember	0.598	updating	restudy	2	object	face	scene	target	object	competitor	forget	27	5	17	65	165	17	162.211	23
167.215	2.000	remember	0.328	updating	restudy	2	scene	face	object	target	scene	competitor	forget	28	5	41	113	265	41	167.200	17
171.731	2.000	forget	0.259	updating	retprac	2	scene	object	face	other	face	target	remember	29	5	90	138	290	142	171.711	10
176.347	2.000	forget	0.315	updating	retprac	1	scene	face	object	competitor	face	target	remember	30	5	42	114	266	42	176.337	11
181.547	2.000	remember	0.866	updating	retprac	2	object	face	scene	target	object	target	remember	31	5	18	66	166	18	181.525	9
186.297	2.000	forget	0.533	updating	retprac	1	scene	object	face	other	face	competitor	forget	32	5	92	140	292	144	186.280	4
192.263	2.000	remember	0.262	updating	retprac	2	face	object	scene	target	face	target	remember	33	5	66	18	66	118	192.239	3
198.129	2.000	remember	0.300	updating	restudy	2	face	object	scene	target	face	target	remember	34	5	65	17	65	117	198.108	22
202.712	2.000	remember	0.349	updating	retprac	2	face	scene	object	target	face	target	remember	35	5	114	42	90	218	202.705	2
207.229	2.000	remember	0.353	updating	retprac	2	object	scene	face	target	object	target	remember	36	5	138	90	190	242	207.209	1
215.295	2.000	remember	0.286	updating	restudy	2	scene	face	object	target	scene	target	remember	37	5	43	115	267	43	215.277	24
223.511	2.000	remember	0.271	updating	retprac	3	face	scene	object	target	face	target	remember	38	5	116	44	92	220	223.497	8
228.344	2.000	remember	0.237	updating	restudy	3	object	scene	face	target	object	target	remember	39	5	139	91	191	243	228.322	19
232.927	2.000	remember	0.246	updating	retprac	1	object	scene	face	target	object	target	remember	40	5	140	92	192	244	232.913	12
238.093	2.000	remember	0.296	updating	restudy	2	scene	object	face	target	scene	competitor	forget	41	5	89	137	289	141	238.075	14
245.926	2.000	remember	0.263	updating	restudy	2	face	scene	object	target	face	competitor	forget	42	5	115	43	91	219	245.904	15
