onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.007	4.000	no response	n/a	learn a-b	restudy	object	scene	face	1	126	126	178	230	2.000
6.526	4.000	strong unrelated	0.020	learn a-b	restudy	scene	face	object	2	48	48	272	48	6.500
11.026	4.000	strong related	2.304	learn a-b	test	object	face	scene	3	9	9	157	9	11.000
15.525	4.000	no response	n/a	learn a-b	test	scene	object	face	4	85	85	285	137	15.500
20.024	4.000	weak unrelated	3.142	learn a-b	test	scene	face	object	5	25	25	249	25	20.000
24.523	4.000	strong unrelated	3.732	learn a-b	restudy	face	scene	object	6	112	112	88	216	24.500
29.023	4.000	weak related	3.590	learn a-b	test	object	face	scene	7	1	1	149	1	29.000
33.522	4.000	weak related	2.920	learn a-b	test	scene	object	face	8	77	77	277	129	33.500
38.021	4.000	strong related	2.865	learn a-b	test	object	scene	face	9	143	143	195	247	38.000
42.521	4.000	strong unrelated	1.771	learn a-b	test	scene	object	face	10	91	91	291	143	42.500
47.020	4.000	weak unrelated	3.096	learn a-b	test	scene	face	object	11	31	31	255	31	47.000
51.519	4.000	weak related	2.155	learn a-b	restudy	face	object	scene	12	52	52	52	104	51.500
56.018	4.000	strong unrelated	3.631	learn a-b	test	object	face	scene	13	15	15	163	15	56.000
60.518	4.000	weak related	2.930	learn a-b	restudy	object	face	scene	14	6	6	154	6	60.500
65.017	4.000	no response	n/a	learn a-b	test	object	scene	face	15	133	133	185	237	65.000
69.516	4.000	strong related	2.496	learn a-b	restudy	object	scene	face	16	122	122	174	226	69.500
74.015	4.000	no response	n/a	learn a-b	restudy	scene	face	object	17	36	36	260	36	74.000
78.515	4.000	strong related	3.791	learn a-b	test	face	object	scene	18	65	65	65	117	78.500
83.014	4.000	strong unrelated	3.136	learn a-b	restudy	scene	face	object	19	28	28	252	28	83.000
87.513	4.000	strong unrelated	3.470	learn a-b	restudy	face	scene	object	20	108	108	84	212	87.500
92.013	4.000	no response	n/a	learn a-b	test	scene	face	object	21	27	27	251	27	92.000
96.512	4.000	strong related	2.730	learn a-b	restudy	scene	object	face	22	84	84	284	136	96.500
101.011	4.000	strong related	2.212	learn a-b	restudy	face	object	scene	23	70	70	70	122	101.000
105.510	4.000	weak related	3.591	learn a-b	test	face	scene	object	24	97	97	73	201	105.500
110.010	4.000	strong related	1.821	learn a-b	test	scene	face	object	25	35	35	259	35	110.000
114.509	4.000	strong unrelated	2.178	learn a-b	restudy	object	scene	face	26	130	130	182	234	114.500
119.008	4.000	strong unrelated	1.420	learn a-b	restudy	face	scene	object	27	100	100	76	204	119.000
123.507	4.000	strong unrelated	3.678	learn a-b	restudy	scene	object	face	28	80	80	280	132	123.500
128.027	4.000	no response	n/a	learn a-b	restudy	face	scene	object	29	102	102	78	206	128.000
132.526	4.000	strong unrelated	3.031	learn a-b	restudy	object	face	scene	30	12	12	160	12	132.500
137.025	4.000	strong unrelated	2.800	learn a-b	restudy	face	object	scene	31	50	50	50	102	137.000
141.524	4.000	no response	n/a	learn a-b	test	object	face	scene	32	17	17	165	17	141.500
146.024	4.000	strong related	1.665	learn a-b	restudy	scene	face	object	33	42	42	266	42	146.000
150.523	4.000	weak related	3.456	learn a-b	test	scene	object	face	34	89	89	289	141	150.500
155.022	4.000	strong related	3.967	learn a-b	test	object	scene	face	35	139	139	191	243	155.000
159.522	4.000	strong related	2.353	learn a-b	test	object	face	scene	36	5	5	153	5	159.500
164.021	4.000	strong unrelated	3.112	learn a-b	test	object	scene	face	37	121	121	173	225	164.000
168.520	4.000	strong unrelated	3.474	learn a-b	restudy	object	face	scene	38	10	10	158	10	168.500
173.019	4.000	strong related	2.645	learn a-b	restudy	face	object	scene	39	56	56	56	108	173.000
177.519	4.000	strong unrelated	3.555	learn a-b	restudy	face	object	scene	40	72	72	72	124	177.500
182.018	4.000	no response	n/a	learn a-b	restudy	face	object	scene	41	68	68	68	120	182.000
186.517	4.000	strong unrelated	2.029	learn a-b	restudy	face	object	scene	42	58	58	58	110	186.500
191.016	4.000	strong unrelated	2.246	learn a-b	restudy	face	object	scene	43	60	60	60	112	191.000
195.516	4.000	strong related	2.666	learn a-b	test	face	object	scene	44	49	49	49	101	195.500
200.015	4.000	strong unrelated	3.345	learn a-b	test	face	scene	object	45	107	107	83	211	200.000
204.514	4.000	strong unrelated	2.877	learn a-b	test	object	face	scene	46	3	3	151	3	204.500
209.013	4.000	weak related	3.703	learn a-b	test	object	face	scene	47	13	13	161	13	209.000
213.513	4.000	strong related	3.617	learn a-b	test	face	scene	object	48	115	115	91	219	213.500
218.012	4.000	strong unrelated	2.691	learn a-b	restudy	face	object	scene	49	64	64	64	116	218.000
222.511	4.000	weak related	2.392	learn a-b	test	scene	face	object	50	33	33	257	33	222.500
227.011	4.000	weak related	3.441	learn a-b	restudy	scene	object	face	51	78	78	278	130	227.000
231.510	4.000	strong related	2.971	learn a-b	restudy	scene	object	face	52	88	88	288	140	231.500
236.009	4.000	strong related	3.523	learn a-b	test	face	object	scene	53	51	51	51	103	236.000
240.528	4.000	weak related	2.715	learn a-b	test	scene	object	face	54	73	73	273	125	240.500
245.008	4.000	strong unrelated	2.918	learn a-b	restudy	object	scene	face	55	138	138	190	242	245.000
249.507	4.000	no response	n/a	learn a-b	restudy	scene	face	object	56	46	46	270	46	249.500
254.026	4.000	weak related	2.001	learn a-b	restudy	object	face	scene	57	24	24	172	24	254.000
258.525	4.000	weak unrelated	2.607	learn a-b	restudy	scene	object	face	58	92	92	292	144	258.500
263.025	4.000	weak unrelated	2.769	learn a-b	restudy	face	scene	object	59	106	106	82	210	263.000
267.524	4.000	weak unrelated	3.728	learn a-b	test	face	scene	object	60	103	103	79	207	267.500
272.023	4.000	weak related	3.378	learn a-b	test	object	face	scene	61	11	11	159	11	272.000
276.522	4.000	strong unrelated	3.147	learn a-b	restudy	face	scene	object	62	114	114	90	218	276.500
281.022	4.000	weak unrelated	2.734	learn a-b	test	scene	object	face	63	87	87	287	139	281.000
285.521	4.000	weak related	3.774	learn a-b	restudy	object	scene	face	64	140	140	192	244	285.500
290.020	4.000	weak related	3.033	learn a-b	restudy	face	scene	object	65	98	98	74	202	290.000
294.520	4.000	weak unrelated	2.995	learn a-b	test	scene	face	object	66	41	41	265	41	294.500
299.019	4.000	weak unrelated	3.746	learn a-b	restudy	scene	object	face	67	94	94	294	146	299.000
303.518	4.000	weak unrelated	3.610	learn a-b	test	face	object	scene	68	69	69	69	121	303.500
308.017	4.000	strong unrelated	1.711	learn a-b	restudy	object	scene	face	69	124	124	176	228	308.000
312.517	4.000	weak related	3.158	learn a-b	test	scene	object	face	70	93	93	293	145	312.500
317.016	4.000	strong unrelated	3.150	learn a-b	restudy	face	scene	object	71	104	104	80	208	317.000
321.515	4.000	strong unrelated	2.521	learn a-b	restudy	scene	face	object	72	44	44	268	44	321.500
326.014	4.000	no response	n/a	learn a-b	restudy	face	object	scene	73	62	62	62	114	326.000
330.514	4.000	no response	n/a	learn a-b	test	face	scene	object	74	117	117	93	221	330.500
335.013	4.000	weak related	2.879	learn a-b	restudy	object	scene	face	75	132	132	184	236	335.000
339.512	4.000	strong unrelated	3.583	learn a-b	restudy	scene	object	face	76	76	76	276	128	339.500
344.012	4.000	no response	n/a	learn a-b	restudy	object	scene	face	77	128	128	180	232	344.000
348.511	4.000	weak related	2.000	learn a-b	test	scene	face	object	78	39	39	263	39	348.500
353.010	4.000	weak related	2.989	learn a-b	restudy	face	object	scene	79	66	66	66	118	353.000
357.509	4.000	weak related	2.376	learn a-b	restudy	scene	object	face	80	74	74	274	126	357.500
362.009	4.000	weak related	3.221	learn a-b	test	scene	object	face	81	95	95	295	147	362.000
366.508	4.000	strong unrelated	3.898	learn a-b	test	object	scene	face	82	127	127	179	231	366.500
371.007	4.000	strong related	2.362	learn a-b	restudy	scene	face	object	83	38	38	262	38	371.000
375.526	4.000	weak unrelated	3.984	learn a-b	test	face	object	scene	84	63	63	63	115	375.500
380.026	4.000	weak unrelated	2.811	learn a-b	test	face	scene	object	85	101	101	77	205	380.000
384.525	4.000	weak unrelated	2.685	learn a-b	test	object	scene	face	86	135	135	187	239	384.500
389.024	4.000	weak related	3.723	learn a-b	test	scene	face	object	87	37	37	261	37	389.000
393.523	4.000	strong unrelated	2.590	learn a-b	test	object	face	scene	88	19	19	167	19	393.500
398.023	4.000	weak unrelated	3.389	learn a-b	restudy	scene	object	face	89	96	96	296	148	398.000
402.522	4.000	no response	n/a	learn a-b	test	scene	object	face	90	81	81	281	133	402.500
